growth_run_id,method,true_fsmi_nm,generated_sq_nm,generated_sa_nm,generated_analysis_scale_nm,generated_height_increment_rms_31nm,generated_scale_dependent_rms_slope_31nm,generated_curvature_relief_31nm,generated_scale_dependent_rms_curvature_31nm_inv,generated_sdq_31nm,generated_sdr_31nm_percent,generated_bearing_core_span_p90_p10_nm,generated_bearing_peak_span_p99_p90_nm,generated_bearing_valley_span_p10_p01_nm,generated_bearing_core_equivalent_nm,generated_island_prominence_nm,generated_island_median_area_nm2,generated_island_count_per_um2,generated_island_boundary_contrast,generated_functional_surface_morphology_index_nm,fsmi_absolute_error_nm
6028,M10_dense_island_spectral_pareto,4.936413231860013,2.4951678282525487,1.9843688606101546,31.496062992125985,1.9407965109200445,0.06162028922171141,1.307342170072225,0.0026357652326368646,0.06521277910503363,0.21211280649896253,6.468658633912564,2.3944676766326127,2.6273357381879325,1.617164658478141,1.968975115129084,2898.5057970115945,12.5,1.4039476247031994,1.9352600442977599,3.0011531875622532
6028,M11a_amplitude_conditioned_islands,4.936413231860013,5.594407277594245,4.372640684561588,31.496062992125985,4.281747341137137,0.13594547808110413,2.9050390354789672,0.005856921825405032,0.13944068036035137,0.9603180420014453,14.288712261600605,6.457267566326221,5.449184501321286,3.572178065400151,4.420392287430403,3084.5061690123384,17.5,1.3924224474127682,4.28688239686066,0.6495308349993527
6028,M11b_sdf_contour_soft,4.936413231860013,5.5944091242586005,4.501186529772977,31.496062992125985,4.343625750844001,0.137910117589297,2.9468181518119287,0.005941153746321824,0.141323294722776,0.9863073457878347,14.612348071103364,5.65973412778351,4.366205480962387,3.653087017775841,4.950287824244926,3658.0073160146326,16.0,1.5707450558250127,4.388681484181757,0.5477317476782559
6028,M11c_sdf_contour_selected,4.936413231860013,5.5944091297768495,4.584206833222776,31.496062992125985,4.427931483124284,0.14058682458919602,3.0344042709707093,0.006117738310810821,0.14275939362435675,1.0062651998603438,14.688912379197953,5.068449750592064,3.817450507107175,3.6722280947994883,5.63426514247791,4712.009424018848,15.0,1.6733644977015099,4.57822797528504,0.3581852565749726
6029,M10_dense_island_spectral_pareto,2.2241852747386375,2.5754803441991636,2.0096129227317325,31.496062992125985,2.0699267915721906,0.06572017563241704,1.4178242186474397,0.0028585108528205692,0.06761000779887083,0.22792439749953097,6.360734044412744,3.3184587453990972,2.8101457840655186,1.590183511103186,1.9848844175803881,2805.5056110112223,18.0,1.3112892384001573,1.9543458884539024,0.269839386284735
6029,M11a_amplitude_conditioned_islands,2.2241852747386375,2.6889744671509357,2.095332135467885,31.496062992125985,2.098176306059991,0.0666170977174047,1.423440222917705,0.0028698334194299574,0.06881671446350693,0.2360726099547455,6.842615541956874,2.88102429978442,2.9484366991306388,1.7106538854892186,1.8864871221217538,1891.0037820075643,16.5,1.3087096156877827,2.0105719638212705,0.21361331091736702
6029,M11b_sdf_contour_soft,2.2241852747386375,2.6889751811832356,2.160276853925579,31.496062992125985,2.1066276118437592,0.06688542667603935,1.4325808269232911,0.00288826201968072,0.06898556467174971,0.23723425205862042,7.043647239986092,2.5172440100084286,2.386530472466431,1.760911809996523,2.1649671580751826,2263.0045260090524,15.5,1.4421272464267725,2.0662646400262936,0.15792063471234385
6029,M11c_sdf_contour_selected,2.2241852747386375,2.6889751327139413,2.201090694758282,31.496062992125985,2.137304573744565,0.06785942021638994,1.4691561270147924,0.002962002396577698,0.06932778827850732,0.2396186221335137,7.110893699605536,2.270294224850102,2.0974148199720704,1.777723424901384,2.51708689931151,2015.0040300080602,14.5,1.5404983685804372,2.169823850184086,0.05436142455455162
6047,M10_dense_island_spectral_pareto,2.946047980770432,2.367623699502442,1.883636883519671,31.496062992125985,2.0632753599397335,0.06550899267808653,1.4802680350709783,0.0029844053922074756,0.06461063526990972,0.2082197251721207,6.015253481257526,2.682862229766573,2.5117556093166984,1.5038133703143814,1.8151940067512253,2309.504619009238,17.5,1.2771704245856408,1.8941701849198833,1.0518777958505487
6047,M11a_amplitude_conditioned_islands,2.946047980770432,2.948713360191939,2.3394381837337495,31.496062992125985,2.620541607431772,0.08320219603595874,1.8883854207394162,0.0038072210563882547,0.08204002343621349,0.33523169743875914,7.514399234213643,3.3249726730738134,3.021741835482718,1.8785998085534108,2.2768789032441914,2976.0059520119044,16.5,1.265854140712642,2.3686861165103617,0.5773618642600704
