prior,row_id,sample_id,group_id,candidate_index,calibration_mode,scale_nm_per_unit,offset_nm,scale_clamped,unclamped_scale_nm_per_unit,score,roughness_error,texture_error,realness_penalty,visual_richness_bonus,duplicate_penalty,normalized_std,calibrated_std_nm,nonconstant,requested_rq,uncalibrated_rq,calibrated_rq,requested_ra,uncalibrated_ra,calibrated_ra,requested_robust_range,uncalibrated_robust_range,calibrated_robust_range,requested_mean_abs_gradient,uncalibrated_mean_abs_gradient,calibrated_mean_abs_gradient,requested_gradient_std,uncalibrated_gradient_std,calibrated_gradient_std,requested_gradient_anisotropy,uncalibrated_gradient_anisotropy,calibrated_gradient_anisotropy,requested_psd_low_power,uncalibrated_psd_low_power,calibrated_psd_low_power,requested_psd_mid_power,uncalibrated_psd_mid_power,calibrated_psd_mid_power,requested_psd_high_power,uncalibrated_psd_high_power,calibrated_psd_high_power,requested_psd_slope,uncalibrated_psd_slope,calibrated_psd_slope,requested_autocorrelation_length_px,uncalibrated_autocorrelation_length_px,calibrated_autocorrelation_length_px,requested_island_count,uncalibrated_island_count,calibrated_island_count,requested_island_mean_area_px,uncalibrated_island_mean_area_px,calibrated_island_mean_area_px,rank,mode,prototype_id,generated_index,generated_std,generated_min,generated_max,generated_rq,generated_ra,generated_robust_range,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_count,generated_island_mean_area_px
mvp6_predicted_calibrated_v2,afmv2_89d4826511a7,6058,6058,0,weighted_rq_ra_range,8.637169312913857,0.0,False,8.637169312913857,1.0032425841802959,0.427375749320323,0.7939943048270426,0.0,0.2966430450083052,0.0,0.6239448189735413,5.3891167640686035,True,3.930673256,0.6239448195364332,5.389116780039513,3.104353805,0.5481784236375278,4.7347096232427415,18.24135249,1.9759398359060287,17.066525897979737,0.7025812429,0.1734345214092614,1.4979832507779878,0.5679264836,0.13315828544250735,1.1501106002615302,0.1874882458,0.14053470009111874,0.140534701041677,13.44763607,9.164908882101631,13.476176986651314,8.844555016,4.004461319663933,8.29666394641852,6.025994167,1.3078780765263824,5.21188383094167,-3.566858082,-3.9761321112939365,-3.9761321058429266,15.6,6.0,6.0,149.44,35.0,35.0,436.6463693,117.02857142857142,117.02857142857142,1,,,,,,,,,,,,,,,,,,,
mvp6_predicted_calibrated_v2,afmv2_89d4826511a7,6058,6058,1,weighted_rq_ra_range,8.615914196752144,0.0,False,8.615914196752144,1.162876934625383,0.4340293539358981,0.9818045765375393,0.0,0.28298040270273284,0.0,0.6282680630683899,5.4131035804748535,True,3.930673256,0.6282680495185761,5.413103699735583,3.104353805,0.5522194429178162,4.757875419733953,18.24135249,1.977854737639427,17.04102744102478,0.7025812429,0.16296140095811096,1.4040614720635554,0.5679264836,0.12680941834732062,1.0925790865482325,0.1874882458,0.07256516842436513,0.07256516836677233,13.44763607,9.096172939324845,13.402369857522816,8.844555016,3.955059733661772,8.24133498372824,6.025994167,1.249367874843298,5.0926423441114625,-3.566858082,-4.0473540699733315,-4.047354167984669,15.6,7.0,7.0,149.44,34.0,34.0,436.6463693,120.47058823529412,120.47058823529412,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_89d4826511a7,6058,6058,0,weighted_rq_ra_range,17.862938196247104,0.0,False,17.862938196247104,1.6707527564134088,1.1550512955684684,0.7125573869716135,0.0,0.2717222436617526,0.0,0.6388034224510193,11.410905838012695,True,7.461155891,0.6388034316471494,11.410906043942395,5.68375206,0.5636669596021379,10.068747908257022,38.45360184,1.9700030064582825,35.19004093170166,0.5738551617,0.15615688558951438,2.7894207527827235,0.5797569752,0.12353482506953299,2.2066949141790047,0.1581800729,0.02573556943193925,0.0257355701474219,15.35902119,9.058579663902197,14.822921616703306,11.07345772,3.8419434123125003,9.583983199294616,6.144528389,1.185499348737757,6.477006813894885,-4.185360432,-4.0774301395978165,-4.0774301101486765,23.0,7.0,7.0,56.0,27.0,27.0,1170.285767,151.7037037037037,151.7037037037037,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_89d4826511a7,6058,6058,1,weighted_rq_ra_range,17.927521656705153,0.0,False,17.927521656705153,1.57575716501847,1.0890816530974132,0.6789410425667514,0.0,0.2823866106617211,0.0,0.6246066689491272,11.197649002075195,True,7.461155891,0.6246066446626006,11.197648582962188,5.68375206,0.5479086642339788,9.822643947682025,38.45360184,1.977825367450714,35.45750535964966,0.5738551617,0.1683799464851323,3.0186349828160974,0.5797569752,0.12715924794888497,2.2796500581571197,0.1581800729,0.054444326207183875,0.05444432546812453,15.35902119,9.137676746035725,14.909367947435962,11.07345772,3.9524790004569534,9.704162430801594,6.144528389,1.2418189017026893,6.574144119136111,-4.185360432,-4.032672817660653,-4.03267281075345,23.0,6.0,6.0,56.0,33.0,33.0,1170.285767,124.12121212121212,124.12121212121212,1,,,,,,,,,,,,,,,,,,,
mvp6_mean_condition_calibrated_v2,afmv2_89d4826511a7,6058,6058,0,weighted_rq_ra_range,9.128825041833027,0.0,False,9.128825041833027,1.1984627016872684,0.4714252720095573,0.9762582563904856,0.0,0.2698458771733868,0.0,0.6358280181884766,5.804363250732422,True,4.184250401,0.6358280448657685,5.804363070535475,3.292603032,0.5563505378434244,5.078826802827052,19.40187733,1.981178364753723,18.085830945968628,0.7992681393,0.15916226102585582,1.4529644572716738,0.6662843896,0.12854251576505993,1.1734421547485339,0.1794238215,0.05578048420720152,0.05578048417941996,13.62486218,9.07413851121044,13.495905098412006,8.941313773,3.907899041779498,8.308518767003841,6.310598689,1.1304268912666153,5.048347751962934,-3.523139927,-4.09780581408862,-4.097805844694671,14.84347826,7.0,7.0,110.7043478,28.0,28.0,301.8089713,146.28571428571428,146.28571428571428,1,,,,,,,,,,,,,,,,,,,
,afmv2_89d4826511a7,6058,6058,,,,,,,,,,,,,,,,3.930673256,,,3.104353805,,,18.24135249,,,0.7025812429,,,0.5679264836,,,0.1874882458,,,13.44763607,,,8.844555016,,,6.025994167,,,-3.566858082,,,15.6,,,149.44,,,436.6463693,,,,mvp6_predicted_uncalibrated_v2_top0,,0,0.6239448189735413,-0.99796062707901,0.9993115067481995,0.6239448195364332,0.5481784236375278,1.9759398359060287,0.1734345214092614,0.13315828544250735,0.14053470009111874,9.164908882101631,4.004461319663933,1.3078780765263824,-3.9761321112939365,6.0,35.0,117.02857142857142
mvp6_predicted_calibrated_v2,afmv2_f797828167ab,6062,6062,0,weighted_rq_ra_range,8.666148017238253,0.0,False,8.666148017238253,1.1163661831087557,0.4243207860241447,0.9316225050900591,0.0,0.2662630349371812,0.0,0.6212003231048584,5.383413791656494,True,3.930673256,0.6212003173750935,5.383414002905092,3.104353805,0.5446191050337668,4.719749868362636,18.24135249,1.970524812936783,17.07686052322388,0.7025812429,0.1581899352329067,1.3708974202233661,0.5679264836,0.1223253850260235,1.060089913709445,0.1874882458,0.09791417683448915,0.09791417657089294,13.44763607,9.016343915835982,13.33406473350018,8.844555016,3.8576429231528806,8.15371701758507,6.025994167,1.1515011992892614,4.9870075380707695,-3.566858082,-4.066961471679123,-4.066961375063246,15.6,7.0,7.0,149.44,36.0,36.0,436.6463693,113.77777777777777,113.77777777777777,1,,,,,,,,,,,,,,,,,,,
mvp6_predicted_calibrated_v2,afmv2_f797828167ab,6062,6062,1,weighted_rq_ra_range,8.54757391766049,0.0,False,8.54757391766049,1.139149976418787,0.4767929457767048,0.898970945997818,0.0,0.28409863078086145,0.0,0.6481745839118958,5.54032039642334,True,3.930673256,0.6481745960824792,5.540320353174413,3.104353805,0.5765013227375649,4.927687742334149,18.24135249,1.9746131420135498,16.878151731491087,0.7025812429,0.16474065954615846,1.4081329853867848,0.5679264836,0.1327848432274577,1.1349882797805508,0.1874882458,0.1149701375019884,0.11497013826783507,13.44763607,9.124871345621532,13.41516935010249,8.844555016,3.9139216301407176,8.183355310316276,6.025994167,1.21051030042723,5.041475795369726,-3.566858082,-4.070237385613885,-4.070237439482942,15.6,7.0,7.0,149.44,34.0,34.0,436.6463693,120.47058823529412,120.47058823529412,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_f797828167ab,6062,6062,0,weighted_rq_ra_range,6.097910584450015,0.0,False,6.097910584450015,1.046161582959119,0.3667134932390124,0.91771126531043,0.0,0.2736046126411869,0.0,0.6245248913764954,3.8082969188690186,True,2.571070194,0.6245249217542072,3.8082970167541874,1.920552611,0.5461003016326988,3.3300707101868183,12.98373032,1.9635506242513658,11.973555622100829,0.3661493361,0.1571888926090952,0.9585237841843521,0.3454746902,0.12359758843663195,0.7536870190988615,0.04239833727,0.14946709152351026,0.1494670906058481,13.79552174,9.031032805770309,12.645774408658985,9.039554596,3.811838217584658,7.403997080327944,5.844088554,1.2000561936364398,4.367528543592414,-3.730400085,-4.051730281469358,-4.051730251846929,12.0,7.0,7.0,192.0,24.0,24.0,341.3333435,170.66666666666666,170.66666666666666,2,,,,,,,,,,,,,,,,,,,
mvp6_oracle_calibrated_v2,afmv2_f797828167ab,6062,6062,1,weighted_rq_ra_range,6.07624102069858,0.0,False,6.07624102069858,0.8679759764341245,0.3587578726152299,0.7097884161130861,0.0,0.2930631453578721,0.0,0.6220043301582336,3.7794482707977295,True,2.571070194,0.6220043316132787,3.779448232807666,1.920552611,0.5435576730959757,3.302787428866819,12.98373032,1.975846960544586,12.005722193717958,0.3661493361,0.16803515392535784,1.021022095072857,0.3454746902,0.1290937757037912,0.7844048947231904,0.04239833727,0.0793310620687447,0.07933106247335352,13.79552174,9.153470993917013,12.761305832120332,9.039554596,3.9957993989387623,7.5848184710607764,5.844088554,1.311754957232647,4.538868301528012,-3.730400085,-3.991916834006654,-3.9919167846356896,12.0,6.0,6.0,192.0,35.0,35.0,341.3333435,117.02857142857142,117.02857142857142,1,,,,,,,,,,,,,,,,,,,
mvp6_mean_condition_calibrated_v2,afmv2_89d4826511a7,6058,6058,0,weighted_rq_ra_range,9.123075124905366,0.0,False,9.123075124905366,1.220652737518355,0.5057296839968911,0.9604909247236961,0.0,0.2673484312874648,0.0,0.6465404033660889,5.898437023162842,True,4.184250401,0.6465404140660734,5.898437004594833,3.292603032,0.5723305135465393,5.221414479598042,19.40187733,1.9682491469383239,17.95648585319519,0.7992681393,0.15723730552559878,1.4344878074576415,0.6662843896,0.1253919790732785,1.1439604915555055,0.1794238215,0.06638281202549609,0.06638281291081703,13.62486218,9.055165366071012,13.47569732695582,8.941313773,3.8686215273308493,8.26764203225762,6.310598689,1.1356516177134905,5.044507757348255,-3.523139927,-4.111166593979415,-4.111166666490613,14.84347826,7.0,7.0,110.7043478,28.0,28.0,301.8089713,146.28571428571428,146.28571428571428,1,,,,,,,,,,,,,,,,,,,
,afmv2_f797828167ab,6062,6062,,,,,,,,,,,,,,,,3.930673256,,,3.104353805,,,18.24135249,,,0.7025812429,,,0.5679264836,,,0.1874882458,,,13.44763607,,,8.844555016,,,6.025994167,,,-3.566858082,,,15.6,,,149.44,,,436.6463693,,,,mvp6_predicted_uncalibrated_v2_top0,,0,0.6212003231048584,-0.9979424476623535,0.9999534487724304,0.6212003173750935,0.5446191050337668,1.970524812936783,0.1581899352329067,0.1223253850260235,0.09791417683448915,9.016343915835982,3.8576429231528806,1.1515011992892614,-4.066961471679123,7.0,36.0,113.77777777777777
