alpha,loo_scaled_psd_mae,loo_scaled_quantile_mae,selection_score
1.0,0.335936671823507,0.32335076070963725,0.3315316029336526
0.1,0.3590675002574295,0.34979175241365984,0.3558209885121101
10.0,0.4112029012738825,0.3967998917772042,0.4061618479500451
100.0,0.6370805669496479,0.6118578277357203,0.6282526082247732
