embedding_id,embedding_path,embedding_pca_components,embedding_pca_explained_variance,physics_columns,ridge_alpha,train_groups,excluded_sample_ids,feature_dim,val_condition_mae_z,val_rq_mae_nm,val_selection_score
dino_vits14__centered_8__raw_luminance,outputs/rheed_video_afm_story/phase2a/embeddings/dino_vits14__centered_8__raw_luminance.npz,8,0.76036536693573,"['spot_summary_raw', 'streak_summary_raw', 'connection_summary_raw', 'diffuse_summary_raw', 'temporal_brightness_drift']",100.0,"['6028', '6029', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6095']","['6018', '6023', '6041', '6061', '6066', '6067', '6068', '6073', '6087', '6088', '6104']",13,0.9289417266845703,1.23176664696666,0.7971243334149376
dino_vits14__keyframe_1__raw_luminance,outputs/rheed_video_afm_story/phase2a/embeddings/dino_vits14__keyframe_1__raw_luminance.npz,8,0.8640469312667847,"['spot_summary_raw', 'streak_summary_raw', 'connection_summary_raw', 'diffuse_summary_raw', 'temporal_brightness_drift']",100.0,"['6028', '6029', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6095']","['6018', '6023', '6041', '6061', '6066', '6067', '6068', '6073', '6087', '6088', '6104']",13,0.9347801208496094,1.9427822687877454,0.8594676746707401
r3d_18__selected_16__raw_luminance,outputs/rheed_video_afm_story/phase2a/embeddings/r3d_18__selected_16__raw_luminance.npz,8,0.8700135946273804,"['spot_summary_raw', 'streak_summary_raw', 'connection_summary_raw', 'diffuse_summary_raw', 'temporal_brightness_drift']",100.0,"['6028', '6029', '6047', '6048', '6057', '6062', '6063', '6070', '6072', '6078', '6082', '6084', '6085', '6090', '6095']","['6018', '6023', '6041', '6061', '6066', '6067', '6068', '6073', '6087', '6088', '6104']",13,1.0183571577072144,2.3116826473328707,0.9522245353152176
