split,method,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_psd_log_distance,median_sharpness_ratio,median_composite_error,texture_gate_pass_fraction,median_island_feature_mae_z,median_afm_prior_mahalanobis,median_q70_area_log_error,median_q70_count_log_error,median_fsmi_absolute_error_nm,median_generated_boundary_contrast
strict_15_growth_loo,M10_dense_island_spectral_pareto,0.9809093175012595,0.8304031491279602,0.8019607342245898,0.8290969216302952,7.6552453241087335,1.0,1.4047258096427528,5.354088850140363,0.8281442259761764,0.36544375427139597,1.0255728304762024,1.3312578736983678
strict_15_growth_loo,M11b_sdf_contour_soft,0.3998187672818889,0.7689862251281738,0.8455997838918002,0.7974195531010617,7.783242065060413,1.0,1.4325189829851097,7.616298104806208,0.4846449437629321,0.12975559774254242,0.3668512206941541,1.4817706794191738
preexisting_validation,M10_dense_island_spectral_pareto,0.8332059922803217,0.7263068556785583,0.9062647029845605,0.8352102412474852,7.908937843688397,1.0,1.560135132419389,7.892825547483292,0.78831366587064,0.37688590118819,0.6591510685154547,1.2717710380488583
preexisting_validation,M11b_sdf_contour_soft,0.42788288114918194,0.9154452085494995,0.9312629045295484,0.8442622573479819,7.94666368732925,1.0,1.2681080779633669,7.174830057539753,0.4217132424809673,0.28572512279121254,0.28063414428843414,1.5197902148142262
