sample_id,growth_run_id,dominant_prototype,prototype_distribution_across_scans,prototype_purity,mixed_morphology,within_sample_heterogeneity,selected_k,representation,is_prototype_medoid,rq_nm,unit_autocorr_length_nm,unit_anisotropy_ratio
6022,6022,P1,"{""P1"": 3}",1.0,False,4.264299481551897,5,descriptors,True,1.6493401527404785,50.98039215686274,1.3636363636363638
6028,6028,P2,"{""P2"": 3}",1.0,False,4.463704806693339,5,descriptors,False,6.072564601898193,39.2156862745098,1.0
6029,6029,P2,"{""P2"": 3}",1.0,False,3.984901470118592,5,descriptors,True,2.5610249042510986,39.2156862745098,1.1
6033,6033,P2,"{""P2"": 4}",1.0,False,3.4644158189264855,5,descriptors,False,2.5392303466796875,43.13725490196078,1.0454545454545454
6047,6047,P2,"{""P2"": 6}",1.0,False,4.238792848428437,5,descriptors,False,3.348536252975464,31.372549019607842,1.1428571428571428
6048,6048,P2,"{""P2"": 2}",1.0,True,11.00026384887411,5,descriptors,False,2.547742784023285,113.72549019607843,3.165
6056,6056,P2,"{""P2"": 19}",1.0,False,2.9203396711153693,5,descriptors,False,3.2253758907318115,43.13725490196078,1.125
6057,6057,P2,"{""P2"": 7}",1.0,False,2.3070841036787724,5,descriptors,False,5.337333679199219,47.05882352941176,1.1818181818181819
6062,6062,P1,"{""P1"": 6}",1.0,False,1.948115907443573,5,descriptors,False,3.0923656225204468,25.440313111545986,1.128787878787879
6063,6063,P2,"{""P2"": 6}",1.0,False,3.216735575303679,5,descriptors,False,5.867182016372681,35.29411764705882,1.0294117647058822
6070,6070,P4,"{""P4"": 5}",1.0,False,2.153668961975815,5,descriptors,True,3.047229528427124,35.29411764705882,1.1111111111111112
6072,6072,P4,"{""P4"": 7}",1.0,False,2.2775002758935323,5,descriptors,False,1.470114827156067,27.45098039215686,1.1666666666666667
6078,6078,P2,"{""P2"": 4}",1.0,True,8.363809353389115,5,descriptors,False,2.1140304803848267,57.75680135067726,2.935185185185185
6080,6080,P2,"{""P2"": 2}",1.0,False,7.76803358020621,5,descriptors,False,4.401600360870361,35.29411764705882,1.0555555555555556
6081,6081,P0,"{""P0"": 3}",1.0,True,11.229868785352442,5,descriptors,False,3.1814770698547363,223.52941176470588,3.0975609756097557
6082,6082,P2,"{""P2"": 3}",1.0,False,2.831103139350312,5,descriptors,False,1.863613247871399,39.2156862745098,1.1111111111111112
6084,6084,P2,"{""P2"": 4}",1.0,True,11.021306448795837,5,descriptors,False,2.012902617454529,107.84313725490196,2.254385964912281
6085,6085,P2,"{""P2"": 4}",1.0,False,5.509000448018938,5,descriptors,False,3.125662326812744,52.94117647058823,1.1607142857142856
6090,6090,P0,"{""P0"": 3}",1.0,True,11.205564472635416,5,descriptors,True,4.685108184814453,188.23529411764704,3.3421052631578947
6094,6094,P2,"{""P2"": 10}",1.0,False,2.203980487560732,5,descriptors,False,4.0923662185668945,31.372549019607842,1.1483516483516483
6095,6095,P3,"{""P3"": 5}",1.0,False,4.913095649381322,5,descriptors,True,9.867135047912598,35.29411764705882,1.0833333333333333
6099,6099,P3,"{""P3"": 5}",1.0,False,2.908929896063489,5,descriptors,False,10.32143783569336,35.29411764705882,1.0588235294117647
6101,6101,P0,"{""P0"": 2}",1.0,True,11.658629212729792,5,descriptors,False,1.4174392223358154,154.9019607843137,2.4762162162162165
