growth_run_id,method,true_fsmi_nm,generated_sq_nm,generated_sa_nm,generated_analysis_scale_nm,generated_height_increment_rms_31nm,generated_scale_dependent_rms_slope_31nm,generated_curvature_relief_31nm,generated_scale_dependent_rms_curvature_31nm_inv,generated_sdq_31nm,generated_sdr_31nm_percent,generated_bearing_core_span_p90_p10_nm,generated_bearing_peak_span_p99_p90_nm,generated_bearing_valley_span_p10_p01_nm,generated_bearing_core_equivalent_nm,generated_island_prominence_nm,generated_island_median_area_nm2,generated_island_count_per_um2,generated_island_boundary_contrast,generated_functional_surface_morphology_index_nm,fsmi_absolute_error_nm
6022,M10_dense_island_spectral_pareto,1.2832086750870029,1.2679999257589125,1.0167129918220863,31.496062992125985,1.087583776984879,0.03453078491926991,0.7790026299182626,0.0015705666772439573,0.03391220467643828,0.05746670079221356,3.296390763720967,1.2685076008213314,1.1980526141395638,0.8240976909302418,1.0084847117395097,1627.5032550065102,15.5,1.3135661322315497,1.005736905596292,0.27747176949071095
6022,M12a_edge_preserving_terrace,1.2832086750870029,1.267999969708617,1.0543010596776692,31.496062992125985,1.0337299154956416,0.03282092481698662,0.7156432033912806,0.0014428261534372455,0.033475565442021446,0.05599154000161382,3.367542305681327,0.9992719653022043,0.812891010609878,0.8418855764203318,1.194858823008599,2604.0052080104165,17.0,1.5496015571494492,1.0346730253058016,0.24853564978120124
6028,M10_dense_island_spectral_pareto,4.415429811910861,3.878517661151534,3.1158146057210576,31.496062992125985,3.2443315484371062,0.10300752666287813,2.2920393986089858,0.004621037932520541,0.10423305062969598,0.5399971400954262,10.154507536803283,3.4509499823450125,3.560679608166329,2.538626884200821,3.200815444182395,3658.007316014632,16.5,1.327350624237516,3.0839670094359866,1.3314628024748743
6028,M12a_edge_preserving_terrace,4.415429811910861,3.8785176544479816,3.239351838857192,31.496062992125985,3.190642751564669,0.10130290736217824,2.1904811342086115,0.004416283776706336,0.1047471471862618,0.5452259390275904,10.363764987512493,2.859521610194596,2.628623614419087,2.590941246878123,3.857124348080503,3534.007068014136,13.5,1.5348925225708274,3.205348181896248,1.2100816300146127
6029,M10_dense_island_spectral_pareto,2.0210013039871706,1.6237509256790599,1.2869316296402873,31.496062992125985,1.3799473292599107,0.04381332770400216,0.976070299154238,0.001967879731882338,0.043912757099436026,0.09630430911902302,4.1808184842893255,1.682587556164589,1.8607056950695118,1.0452046210723314,1.1273069255190422,2542.0050840101685,20.0,1.2948131234147384,1.2578223158039052,0.7631789881832653
6029,M12a_edge_preserving_terrace,2.0210013039871706,1.6237510107940611,1.3402355508580264,31.496062992125985,1.361884101121114,0.043239820210595366,0.9572290166316524,0.0019298933511564898,0.0439627419295339,0.09653455806509112,4.282434110269256,1.3582793225195615,1.286318670416351,1.070608527567314,1.5124882765043761,3317.0066340132685,15.5,1.5489993991729842,1.3275522911690638,0.6934490128181068
6033,M10_dense_island_spectral_pareto,1.8207478300807216,2.1547114843895843,1.717948075055447,31.496062992125985,1.85627971870669,0.05893688106893741,1.2986471116791578,0.0026182349080341423,0.05935466168950297,0.17578854409525968,5.480818649779158,2.7078840041109364,2.025406623417754,1.3702046624447894,1.7806644819298594,3162.0063240126483,17.0,1.3286152357717613,1.7274115625887232,0.09333626749199841
6033,M12a_edge_preserving_terrace,1.8207478300807216,2.1547115346097403,1.7898779663160016,31.496062992125985,1.8673702167005204,0.059289004380241525,1.2886216116577285,0.0025980222468034377,0.06023799982867989,0.18106336678236895,5.65377175358431,2.013322695716268,1.4860754666538716,1.4134429383960776,2.1547111789385385,3410.00682001364,17.0,1.534670826629423,1.796414345283417,0.024333484797304683
6047,M10_dense_island_spectral_pareto,2.9460538647912466,2.6720192297395617,2.1389176930461637,31.496062992125985,2.2157568828148593,0.07035028102937177,1.5809423048312468,0.003187377304327897,0.07026867402105122,0.24635151390954013,6.918783593891238,2.7115315552407075,2.573560927969483,1.7296958984728095,1.9181670955850216,2015.0040300080602,17.5,1.2795653819305444,2.0603393893088597,0.8857144754823869
6047,M12a_edge_preserving_terrace,2.9460538647912466,2.6720194798089723,2.227924997242991,31.496062992125985,2.168131477933726,0.06883817442439581,1.5116337151973975,0.0030476425240523524,0.06948302977600163,0.2409304507756449,7.049733202925661,2.1245648441664953,1.8693664293523187,1.7624333007314152,2.4797149647595624,2387.0047740095483,14.0,1.5352824809823507,2.1468659115506514,0.7991879532405952
