held_out_growth_group,training_group_count,repeat,descriptor_mae_z,rq_absolute_error_nm
6028,5,0,1.7895371913909912,4.003424839866405
6028,5,1,0.6639321446418762,1.9869638748114689
6028,5,2,0.795494794845581,2.793530953393471
6028,5,3,1.0140151977539062,3.9479854910028536
6028,8,0,0.5146729946136475,2.9985579030293903
6028,8,1,0.44685083627700806,3.3654688224374616
6028,8,2,0.48883914947509766,2.7432748040033585
6028,8,3,0.5234173536300659,3.3459235214894933
6028,11,0,0.5458933115005493,3.1895298578569653
6028,11,1,0.5762417316436768,3.4057895704129146
6028,11,2,0.6333441734313965,3.3374293000935094
6028,11,3,0.5449491739273071,3.3565808583813257
6028,14,0,0.5496697425842285,3.2731644374097812
6029,5,0,0.7539628744125366,0.48308535902210936
6029,5,1,4.1036176681518555,0.5149074330803085
6029,5,2,0.6097026467323303,0.7733406911590102
6029,5,3,0.5852749347686768,0.9149776622233512
6029,8,0,0.5006718039512634,1.4196002464976596
6029,8,1,0.4905017614364624,0.35525003999724536
6029,8,2,0.4613613486289978,1.3628006624704918
6029,8,3,0.41799211502075195,1.9618821140484388
6029,11,0,0.4660564959049225,0.35179396539543095
6029,11,1,0.4447104036808014,0.8071997621415377
6029,11,2,0.44792425632476807,0.4322912959301779
6029,11,3,0.41911324858665466,0.35910696293844113
6029,14,0,0.41828301548957825,0.3721340100068766
6047,5,0,0.31064721941947937,0.4653113771128803
6047,5,1,0.6203808188438416,1.580233621249028
6047,5,2,1.4992969036102295,2.353589827894309
6047,5,3,0.44932684302330017,0.0015261979949166005
6047,8,0,0.7943652868270874,0.3529350432969558
6047,8,1,0.46906301379203796,1.07022406269056
6047,8,2,0.33717602491378784,0.03485433923036618
6047,8,3,0.23264408111572266,0.10697295424981013
6047,11,0,0.24332740902900696,0.05714678419691532
6047,11,1,0.2908977270126343,0.40722433861568286
6047,11,2,0.24445046484470367,0.22637704756640176
6047,11,3,0.19908277690410614,0.17019890195926735
6047,14,0,0.26418763399124146,0.27232672866318497
6048,5,0,0.6581664085388184,2.1672984306435588
6048,5,1,0.5862902402877808,2.3676180154811624
6048,5,2,0.5102177858352661,2.1781321270663883
6048,5,3,1.0112147331237793,0.890769146946579
6048,8,0,0.8642044067382812,0.5433533619306012
6048,8,1,2.8619394302368164,0.4453900273337328
6048,8,2,0.5192039012908936,0.088018651706812
6048,8,3,0.4997673034667969,0.3612026918851341
6048,11,0,0.604019284248352,0.3767765281146618
6048,11,1,0.5587467551231384,0.7762076115660279
6048,11,2,0.49976846575737,0.4577835650185649
6048,11,3,0.9784491658210754,0.4861722068110925
6048,14,0,0.4714321494102478,0.4621551928707013
6057,5,0,0.9209349751472473,1.9669350684733327
6057,5,1,0.94623863697052,2.719199296905527
6057,5,2,0.7282343506813049,3.141360407132417
6057,5,3,0.6114752888679504,2.0024766234523197
6057,8,0,0.4715792238712311,2.453994776465783
6057,8,1,1.0637962818145752,1.963581487158908
6057,8,2,1.0537306070327759,2.41213786786129
6057,8,3,0.7039268016815186,2.491913086585671
6057,11,0,0.8371752500534058,2.3102582723012186
6057,11,1,1.0120787620544434,2.5659817176479027
6057,11,2,0.8983813524246216,2.4329592340845227
6057,11,3,0.6378507018089294,2.10735116675601
6057,14,0,0.8777923583984375,2.422840495861383
6062,5,0,1.800362467765808,0.01787995240958562
6062,5,1,2.2124366760253906,0.04360805716448457
6062,5,2,1.473787546157837,0.6853243715784725
6062,5,3,1.992748498916626,0.12409556285635182
6062,8,0,1.3971573114395142,0.27254417153016464
6062,8,1,1.8005259037017822,1.0090730448465206
6062,8,2,2.1696267127990723,0.006345234709447034
6062,8,3,1.3823339939117432,0.07848189861818788
6062,11,0,1.3186511993408203,0.010015117299014165
6062,11,1,1.4682663679122925,0.3918768492262874
6062,11,2,1.4748883247375488,0.508798474967612
6062,11,3,1.259804368019104,0.16373367919210713
6062,14,0,1.3185287714004517,0.018277815942983278
6063,5,0,1.340538740158081,3.0880417734864305
6063,5,1,1.5308014154434204,1.1969707854660685
6063,5,2,1.2398362159729004,2.425269985216044
6063,5,3,1.0683907270431519,2.5688572511460728
6063,8,0,0.9916375279426575,3.4336390445272005
6063,8,1,1.667948603630066,3.121682378488252
6063,8,2,1.1119147539138794,2.216927068475968
6063,8,3,1.0749268531799316,3.4617143923682736
6063,11,0,1.0756853818893433,3.2360922027173102
6063,11,1,0.9606896638870239,3.0959436217885523
6063,11,2,0.756188690662384,3.106987032371673
6063,11,3,0.9763205647468567,3.241595534867755
6063,14,0,0.8531438112258911,3.0636798451350313
6070,5,0,0.7736662030220032,1.6271244598969448
6070,5,1,1.5176544189453125,0.009074753636939104
6070,5,2,2.054378032684326,0.8762578847407605
6070,5,3,0.9137227535247803,0.06891993878477676
6070,8,0,1.5678331851959229,0.7422355383373493
6070,8,1,2.5984089374542236,1.0383212680054044
6070,8,2,1.9629931449890137,0.35000690438640136
6070,8,3,1.5767631530761719,0.6129620979349428
6070,11,0,1.503136157989502,0.25709960840547597
6070,11,1,0.8965697884559631,0.16968701778060025
6070,11,2,0.9429488778114319,0.0809417483210857
6070,11,3,0.8965697884559631,0.16968701778060025
6070,14,0,0.948729932308197,0.21482795719871772
6072,5,0,2.809110403060913,3.1929832007786407
6072,5,1,2.530989408493042,1.4880098598261653
6072,5,2,2.58534574508667,1.1773784881743534
6072,5,3,2.91678524017334,1.6606456432940413
6072,8,0,2.770087718963623,2.2322729338464073
6072,8,1,2.3454010486602783,1.5352489335035062
6072,8,2,2.436640739440918,1.6135291528286566
6072,8,3,2.1647377014160156,1.420019568468562
6072,11,0,2.1266238689422607,1.3168475303199192
6072,11,1,2.55497670173645,1.2302425740949405
6072,11,2,2.142648458480835,1.4325030386591107
6072,11,3,2.111790895462036,1.806886993713635
6072,14,0,2.1778507232666016,1.4447529966210855
6078,5,0,0.4575463831424713,1.426434814733887
6078,5,1,0.7429015040397644,1.2015982024215313
6078,5,2,0.9122906923294067,1.1877527970998045
6078,5,3,0.5931555032730103,1.2456565533842325
6078,8,0,0.5968303084373474,0.8785119128337002
6078,8,1,0.8536927103996277,1.18380154917023
6078,8,2,0.6030470728874207,1.338652454142382
6078,8,3,0.7069253921508789,0.8325928543974968
6078,11,0,0.5546014308929443,1.2468940940969762
6078,11,1,0.7997727394104004,1.1990895815317262
6078,11,2,0.4718013405799866,0.8512602125805233
6078,11,3,0.6761480569839478,0.845834991884951
6078,14,0,0.6375419497489929,0.9416590849339435
6082,5,0,0.4310370683670044,0.8649146984927198
6082,5,1,0.7640497088432312,0.7407908780160439
6082,5,2,0.9133425951004028,0.5876375682867132
6082,5,3,0.9159268140792847,3.476866235451637
6082,8,0,0.3511005938053131,1.1328950867164096
6082,8,1,0.43232402205467224,0.961959862913365
6082,8,2,0.39541757106781006,0.8338274740608722
6082,8,3,0.6201465129852295,2.028809484189798
6082,11,0,0.9761740565299988,1.461376112202808
6082,11,1,0.6630931496620178,1.5691463925659348
6082,11,2,0.3564864993095398,1.4231657373304225
6082,11,3,0.5675584077835083,1.4692965308927346
6082,14,0,0.5758192539215088,1.1188602556980216
6084,5,0,1.9558088779449463,1.0950038819045544
6084,5,1,1.2922682762145996,0.9399332620448337
6084,5,2,0.8546084761619568,2.6847910176763623
6084,5,3,2.219212055206299,3.087632566750215
6084,8,0,0.8680510520935059,1.982796292306301
6084,8,1,0.49168825149536133,0.9650348244638076
6084,8,2,0.45553678274154663,0.9661097453552112
6084,8,3,0.397845983505249,0.9086318409633267
6084,11,0,0.770592451095581,1.3072200834043128
6084,11,1,0.43798208236694336,1.323175806203695
6084,11,2,0.5450060367584229,1.1893376059027103
6084,11,3,0.513609766960144,1.1432614095158127
6084,14,0,0.5212151408195496,1.1512708511463643
6085,5,0,1.191428303718567,0.24915013725499735
6085,5,1,0.523402214050293,0.15453147496779218
6085,5,2,0.5058001279830933,0.23955365858309952
6085,5,3,0.5511558055877686,0.013537508548378874
6085,8,0,0.3652525246143341,0.17301943450761081
6085,8,1,0.38952767848968506,0.8317670614244448
6085,8,2,0.4862200915813446,0.1748043149678189
6085,8,3,0.44596460461616516,0.6621838475995991
6085,11,0,0.3711785674095154,0.15494026293421959
6085,11,1,0.5533493161201477,0.016346386341955288
6085,11,2,0.7600046992301941,0.3235975894681
6085,11,3,0.39590299129486084,0.040268745245508164
6085,14,0,0.33445703983306885,0.06511166591124562
6090,5,0,1.96078622341156,1.5806608141004395
6090,5,1,1.5942409038543701,2.539953841998312
6090,5,2,1.7136749029159546,1.7097739393265061
6090,5,3,1.9305882453918457,1.737968635437563
6090,8,0,1.7840750217437744,1.3361948438557953
6090,8,1,1.4849709272384644,2.428296973818126
6090,8,2,1.951740026473999,1.570644366416559
6090,8,3,1.1729722023010254,1.9292278196548396
6090,11,0,1.327030062675476,1.854132461981791
6090,11,1,1.5459965467453003,1.8133657336468798
6090,11,2,1.3898564577102661,1.9569760273844752
6090,11,3,1.3660082817077637,2.0091834897047915
6090,14,0,1.28307044506073,1.8061979795480996
6095,5,0,2.132307767868042,7.254119429778339
6095,5,1,1.6169061660766602,7.244381454747025
6095,5,2,1.1684197187423706,7.007141337757033
6095,5,3,1.7219676971435547,6.651993049138058
6095,8,0,1.209755539894104,6.909152909694792
6095,8,1,1.1774837970733643,6.902003338228269
6095,8,2,1.231693148612976,7.477424954845246
6095,8,3,1.1506353616714478,7.161660474631835
6095,11,0,1.0040082931518555,6.763010943656634
6095,11,1,1.1810154914855957,6.822988109411703
6095,11,2,1.1446164846420288,6.772381514452507
6095,11,3,1.1044161319732666,6.980090978533765
6095,14,0,1.13768470287323,6.943173396491119
