prior,row_id,candidate_index,scale_nm_per_unit,offset_nm,clamped,calibration_error,target_rq,before_rq,after_rq,target_ra,before_ra,after_ra,target_robust_range,before_robust_range,after_robust_range,rank
v2,afmv2_06e9a8457ab9,0,13.083929943973384,0.0,False,0.33985273296846924,5.841896534,0.6203131335959584,8.116133629840082,4.556092739,0.544648682762107,7.126145249474053,27.66728783,1.9746794670820236,25.83656798362732,1
v2,afmv2_06e9a8457ab9,1,13.005930638591954,0.0,False,0.35242639702530854,5.841896534,0.6305450252505442,8.200825025723404,4.556092739,0.5548455881910085,7.216283378594959,27.66728783,1.9792048919200897,25.741401834487917,
v2,afmv2_06e9a8457ab9,2,13.090396488470578,0.0,False,0.34874511835563365,5.841896534,0.6258620021641945,8.19278200090051,4.556092739,0.5482026427537274,7.176190164500912,27.66728783,1.9682668405771255,25.765393276214603,2
v2,afmv2_06e9a8457ab9,3,12.988108172339706,0.0,False,0.3549713776776493,5.841896534,0.6336908051714608,8.230445019060651,4.556092739,0.556219918006708,7.224244720389,27.66728783,1.980179780125618,25.718790292739868,
v2,afmv2_06e9a8457ab9,4,13.115229354818771,0.0,False,0.35217611650862124,5.841896534,0.6257383347076765,8.20670192831864,4.556092739,0.5496121215464415,7.208289164813111,27.66728783,1.962715404033661,25.74146306991577,
v2,afmv2_06e9a8457ab9,5,13.060537537186617,0.0,False,0.3463944613096952,5.841896534,0.6257619934609586,8.172787877285796,4.556092739,0.5484278067647238,7.1627618456254645,27.66728783,1.9742116636037828,25.78426510810852,
v2,afmv2_06e9a8457ab9,6,13.048717165114944,0.0,False,0.34651578175862513,5.841896534,0.6261059960175434,8.169880264842803,4.556092739,0.5492253499679116,7.166686434272661,27.66728783,1.9759993582963942,25.784257221221925,3
v2,afmv2_06e9a8457ab9,7,12.981554046826064,0.0,False,0.3657190545930829,5.841896534,0.6398568231218371,8.30633592134574,4.556092739,0.5621864215413542,7.298053406625612,27.66728783,1.974674450159073,25.634343214035034,
v2,afmv2_06e9a8457ab9,8,13.134439382032046,0.0,False,0.3418367595393083,5.841896534,0.619103641877404,8.131579310261978,4.556092739,0.543509008424544,7.138686173376886,27.66728783,1.9659154134988786,25.821196899414062,4
v2,afmv2_06e9a8457ab9,9,12.988090967744986,0.0,False,0.3614702394489671,5.841896534,0.6362323076160671,8.263442799838732,4.556092739,0.5604743756584643,7.2794919225517205,27.66728783,1.97651413500309,25.67114418029785,
v2,afmv2_06e9a8457ab9,10,13.04205751193776,0.0,False,0.34966330318805916,5.841896534,0.6291654434636157,8.205611598915983,4.556092739,0.5503205330455938,7.177311779746997,27.66728783,1.9748997110128403,25.756754455566405,
v2,afmv2_06e9a8457ab9,11,13.111373544571046,0.0,False,0.3443046304018313,5.841896534,0.621481396834647,8.148474965467198,4.556092739,0.5457987445768706,7.156171413575237,27.66728783,1.967952229976654,25.802557744979858,
v2,afmv2_06e9a8457ab9,12,13.030106479455062,0.0,False,0.367777676934436,5.841896534,0.6357687853286643,8.28413501190093,4.556092739,0.5634891806566271,7.3423240618291095,27.66728783,1.9667657339572906,25.6271675491333,
v2,afmv2_06e9a8457ab9,13,13.032657417968899,0.0,False,0.35155238299809466,5.841896534,0.629410383537114,8.20289003128429,4.556092739,0.5527274046207094,7.203507021910411,27.66728783,1.9755095982551576,25.74614092826843,
v2,afmv2_06e9a8457ab9,14,13.09390836939934,0.0,False,0.34836246177067504,5.841896534,0.6252034192279389,8.186356243872222,4.556092739,0.5480874300823377,7.176606552746277,27.66728783,1.9680335104465483,25.76925058364868,
v2,afmv2_06e9a8457ab9,15,13.017250190229426,0.0,False,0.3616056776073639,5.841896534,0.6339671531077413,8.2525089550857,4.556092739,0.5600399114977814,7.290179566684309,27.66728783,1.9722307819128035,25.673021440505984,
v3,afmv2_06e9a8457ab9,0,16.365495725225855,0.0,False,0.032619451271387025,5.841896534,0.36854313585832305,6.031391101110617,4.556092739,0.295449737266733,4.835181401370618,27.66728783,1.683545268177986,27.552052297592162,
v3,afmv2_06e9a8457ab9,1,16.069394924675656,0.0,False,0.029562542229230725,5.841896534,0.3723054337467233,5.982723101340202,4.556092739,0.30081851024524037,4.833971485209078,27.66728783,1.7155556958913802,27.567941923141483,
v3,afmv2_06e9a8457ab9,2,15.932497637668769,0.0,False,0.04434988171460443,5.841896534,0.3831682090233367,6.104826715722309,4.556092739,0.30948378271444976,4.930849742346947,27.66728783,1.7264807742834094,27.50715131759644,
v3,afmv2_06e9a8457ab9,3,16.12191757042967,0.0,False,0.030853729022044155,5.841896534,0.3734469523513044,6.02068104046117,4.556092739,0.29900190140428684,4.820484054311819,27.66728783,1.7093894881010057,27.558636589050295,2
v3,afmv2_06e9a8457ab9,4,16.22421924056945,0.0,False,0.04255484481125459,5.841896534,0.37483376252743156,6.081384814193583,4.556092739,0.30362329459383575,4.926050632479502,27.66728783,1.695981764793396,27.515978584289552,
v3,afmv2_06e9a8457ab9,5,15.844386419679585,0.0,False,0.0695327213148519,5.841896534,0.39712423026630816,6.292189638749921,4.556092739,0.3226050220321527,5.111478530213734,27.66728783,1.729392783045769,27.401166372299198,
v3,afmv2_06e9a8457ab9,6,16.440072596056233,0.0,False,0.04008201996851031,5.841896534,0.3696243284579588,6.07665094713058,4.556092739,0.2978845558316318,4.897243847126021,27.66728783,1.6741942954063416,27.523876180648806,4
v3,afmv2_06e9a8457ab9,7,16.359820042973677,0.0,False,0.03560060836787139,5.841896534,0.37131744376144593,6.074686326709932,4.556092739,0.2958271032656975,4.839677987839413,27.66728783,1.6832070541381836,27.536963310241703,1
v3,afmv2_06e9a8457ab9,8,16.703941324894835,0.0,False,0.03773142118546231,5.841896534,0.36406413338753846,6.081305929678918,4.556092739,0.29109749788078476,4.862475530063618,27.66728783,1.6481075608730316,27.52989253997803,
v3,afmv2_06e9a8457ab9,9,16.63349372742543,0.0,False,0.060556270615279593,5.841896534,0.37604833762015416,6.254997553383625,4.556092739,0.3020025172974389,5.023356886261611,27.66728783,1.6493804836273194,27.434959669113162,3
v3,afmv2_06e9a8457ab9,10,17.09464277387904,0.0,False,0.05765921650471976,5.841896534,0.3636029945009658,6.215663253243435,4.556092739,0.2934798523786694,5.0169331974946525,27.66728783,1.6057735055685045,27.450124435424808,
v3,afmv2_06e9a8457ab9,11,16.138327975745845,0.0,False,0.03763766986622616,5.841896534,0.37591148637701116,6.0665830739250355,4.556092739,0.3019579083382798,4.873095933964317,27.66728783,1.7060279589891434,27.53243983268738,
v3,afmv2_06e9a8457ab9,12,16.748918558282472,0.0,False,0.07024902530623102,5.841896534,0.3771637934466836,6.317085649585057,4.556092739,0.30454566501028546,5.100810532622876,27.66728783,1.6356182897090912,27.39483720779419,
v3,afmv2_06e9a8457ab9,13,16.295027870016092,0.0,False,0.060361400678379216,5.841896534,0.3825418738300886,6.233530808182699,4.556092739,0.3091806518551953,5.038107591834483,27.66728783,1.6838903892040253,27.439042491912844,
v3,afmv2_06e9a8457ab9,14,16.685167247486575,0.0,False,0.03513702464158283,5.841896534,0.3620309321432819,6.040546674589054,4.556092739,0.29133962359082666,4.861050364042558,27.66728783,1.6507800722122195,27.543541545867924,
v3,afmv2_06e9a8457ab9,15,15.978788308431131,0.0,False,0.03775755513460175,5.841896534,0.37857227735979604,6.049126304870098,4.556092739,0.3059512436067229,4.88873017494681,27.66728783,1.723206639289856,27.534754028320314,
v2,afmv2_84343ccdd8fc,0,12.706646551591945,0.0,False,0.35064400102464766,5.760004044,0.6349007229594388,8.067459311986843,4.460754871,0.5552116987504759,7.054879018983932,27.0523243,1.9804106998443602,25.164378995895383,
v2,afmv2_84343ccdd8fc,1,12.756601392667049,0.0,False,0.34868854551056105,5.760004044,0.6308548155664104,8.047563380818797,4.460754871,0.5524065290303677,7.046829864143882,27.0523243,1.9739443737268447,25.180820760726927,
v2,afmv2_84343ccdd8fc,2,12.720381837012416,0.0,False,0.34982611874219455,5.760004044,0.6307947690587349,8.023950259796717,4.460754871,0.5566022734148512,7.080193393616473,27.0523243,1.9794949787855147,25.17993152618408,4
v2,afmv2_84343ccdd8fc,3,12.699923817406676,0.0,False,0.35408928487232333,5.760004044,0.6353010301728028,8.068274493520148,4.460754871,0.5588193301319584,7.09696275156484,27.0523243,1.979839950799942,25.143816270828246,
v2,afmv2_84343ccdd8fc,4,12.795298046312947,0.0,False,0.3341222920957057,5.760004044,0.6213418675227426,7.9502541253505195,4.460754871,0.5427842002796248,6.945085391546494,27.0523243,1.976423150897026,25.28892191886902,
v2,afmv2_84343ccdd8fc,5,12.837751731942623,0.0,False,0.329703799411665,5.760004044,0.6174346550666588,7.926472600777427,4.460754871,0.5382139402820636,6.909456759602179,27.0523243,1.972288617491722,25.319751110076904,2
v2,afmv2_84343ccdd8fc,6,12.636971221427922,0.0,False,0.37812230002166713,5.760004044,0.6502869550951915,8.217657698395156,4.460754871,0.5755014923284483,7.27259593920204,27.0523243,1.975163894891739,24.960090274810792,
v2,afmv2_84343ccdd8fc,7,12.733574926414134,0.0,False,0.35016400107113155,5.760004044,0.6313922683863923,8.03988071852186,4.460754871,0.5553355844231318,7.071407239565619,27.0523243,1.976981708407402,25.174044923782347,1
v2,afmv2_84343ccdd8fc,8,12.843985939665313,0.0,False,0.3204243715079314,5.760004044,0.6132590170006866,7.8766899570806554,4.460754871,0.5321062122286642,6.8343645038750935,27.0523243,1.9763051384687422,25.383634910583496,3
v2,afmv2_84343ccdd8fc,9,12.66831231388051,0.0,False,0.36812968648379746,5.760004044,0.644066442639826,8.159234686314598,4.460754871,0.5680884651836575,7.196721958299796,27.0523243,1.9763116997480394,25.03653308868408,
v2,afmv2_84343ccdd8fc,10,12.746175552266358,0.0,False,0.3669490236526595,5.760004044,0.6377438895659241,8.12879570949724,4.460754871,0.5654198745858809,7.206941101991807,27.0523243,1.9654026234149933,25.051367168426513,
v2,afmv2_84343ccdd8fc,11,12.7295886057209,0.0,False,0.3607806862717264,5.760004044,0.6360682909042396,8.096887606617711,4.460754871,0.5622004754536125,7.1565807115343425,27.0523243,1.9715248322486878,25.096700325012208,
