prior,row_id,sample_id,group_id,candidate_index,calibration_mode,scale_nm_per_unit,offset_nm,scale_clamped,unclamped_scale_nm_per_unit,score,roughness_error,texture_error,realness_penalty,visual_richness_bonus,duplicate_penalty,normalized_std,calibrated_std_nm,nonconstant,requested_rq,uncalibrated_rq,calibrated_rq,requested_ra,uncalibrated_ra,calibrated_ra,requested_robust_range,uncalibrated_robust_range,calibrated_robust_range,requested_mean_abs_gradient,uncalibrated_mean_abs_gradient,calibrated_mean_abs_gradient,requested_gradient_std,uncalibrated_gradient_std,calibrated_gradient_std,requested_gradient_anisotropy,uncalibrated_gradient_anisotropy,calibrated_gradient_anisotropy,requested_psd_low_power,uncalibrated_psd_low_power,calibrated_psd_low_power,requested_psd_mid_power,uncalibrated_psd_mid_power,calibrated_psd_mid_power,requested_psd_high_power,uncalibrated_psd_high_power,calibrated_psd_high_power,requested_psd_slope,uncalibrated_psd_slope,calibrated_psd_slope,requested_autocorrelation_length_px,uncalibrated_autocorrelation_length_px,calibrated_autocorrelation_length_px,requested_island_count,uncalibrated_island_count,calibrated_island_count,requested_island_mean_area_px,uncalibrated_island_mean_area_px,calibrated_island_mean_area_px,rank
v2,afmv2_06e9a8457ab9,6058,6058,0,weighted_rq_ra_range,13.083929943973384,0.0,False,13.083929943973384,0.7268601237004743,0.6704151975693121,0.14462438049276924,0.0,0.296272891315266,0.0,0.6203131675720215,8.116133689880371,True,5.841896534,0.6203131335959584,8.116133629840082,4.556092739,0.544648682762107,7.126145249474053,27.66728783,1.9746794670820236,25.83656798362732,1.131164074,0.17340623410104034,2.268835032803713,1.006361246,0.13302057092119352,1.7404318400000787,0.1476658583,0.14011712432391218,0.14011712431023993,14.50712395,9.159088910451933,14.300970181521137,9.412350655,4.014671287226114,9.137526536734244,5.901864052,1.3060185631525798,6.035000175530181,-3.952002764,-3.968822522743357,-3.9688224632626308,9.0,6.0,6.0,66.0,37.0,37.0,248.2424316,110.70270270270271,110.70270270270271,1
v2,afmv2_06e9a8457ab9,6058,6058,1,weighted_rq_ra_range,13.005930638591954,0.0,False,13.005930638591954,0.9085187629384887,0.6952416951155165,0.33787036526776015,0.0,0.28509612195617984,0.0,0.6305450201034546,8.200824737548828,True,5.841896534,0.6305450252505442,8.200825025723404,4.556092739,0.5548455881910085,7.216283378594959,27.66728783,1.9792048919200897,25.741401834487917,1.131164074,0.1637520704295809,2.1297481129997897,1.006361246,0.1278380050238187,1.6626522591742958,0.1476658583,0.07548296098876627,0.07548296141130406,14.50712395,9.108612239325653,14.238406015912688,9.412350655,3.968135872569332,9.078127774119416,5.901864052,1.258064935458889,5.922803551573022,-3.952002764,-4.04640124741902,-4.0464012080078815,9.0,7.0,7.0,66.0,32.0,32.0,248.2424316,128.0,128.0,
v2,afmv2_06e9a8457ab9,6058,6058,2,weighted_rq_ra_range,13.090396488470578,0.0,False,13.090396488470578,0.7700007758958154,0.6879523396966364,0.17624767105972675,0.0,0.29474850324301216,0.0,0.6258620023727417,8.192781448364258,True,5.841896534,0.6258620021641945,8.19278200090051,4.556092739,0.5482026427537274,7.176190164500912,27.66728783,1.9682668405771255,25.765393276214603,1.131164074,0.17072417943556906,2.234847266828713,1.006361246,0.12784869225725334,1.673590118503947,0.1476658583,0.1197983926852712,0.11979839180220896,14.50712395,9.136093809014001,14.278952412949357,9.412350655,4.0432471111984265,9.167862774906542,5.901864052,1.3351984878860708,6.073551807575547,-3.952002764,-3.951658775609642,-3.951658798074276,9.0,6.0,6.0,66.0,39.0,39.0,248.2424316,105.02564102564102,105.02564102564102,2
v2,afmv2_06e9a8457ab9,6058,6058,3,weighted_rq_ra_range,12.988108172339706,0.0,False,12.988108172339706,0.9314658141790244,0.7002516804202709,0.3555843871962844,0.0,0.26626687999136966,0.0,0.6336907744407654,8.23044490814209,True,5.841896534,0.6336908051714608,8.230445019060651,4.556092739,0.556219918006708,7.224244720389,27.66728783,1.980179780125618,25.718790292739868,1.131164074,0.15904027238752394,2.0656323355365096,1.006361246,0.1219652158022674,1.584097473260727,0.1476658583,0.09063176723344188,0.09063176768889165,14.50712395,9.069472154937747,14.196430709633509,9.412350655,3.8885591529288135,8.994080467183563,5.901864052,1.1544133135128183,5.776401878320959,-3.952002764,-4.103336747700964,-4.103336716039627,9.0,7.0,7.0,66.0,25.0,25.0,248.2424316,163.84,163.84,
v2,afmv2_06e9a8457ab9,6058,6058,4,weighted_rq_ra_range,13.115229354818771,0.0,False,13.115229354818771,0.83356312258643,0.6947382359620984,0.24761398133873852,0.0,0.2963314922332958,0.0,0.6257383227348328,8.20670223236084,True,5.841896534,0.6257383347076765,8.20670192831864,4.556092739,0.5496121215464415,7.208289164813111,27.66728783,1.962715404033661,25.74146306991577,1.131164074,0.1618867211939896,2.123181514745907,1.006361246,0.12945361465900346,1.6978138824312483,0.1476658583,0.10313298853109877,0.10313298820166526,14.50712395,9.106149563452307,14.252719982927912,9.412350655,3.934179789429004,9.060232653636938,5.901864052,1.3350230205943387,6.078098741131313,-3.952002764,-3.982466214504307,-3.982466260137025,9.0,6.0,6.0,66.0,33.0,33.0,248.2424316,124.12121212121212,124.12121212121212,
v2,afmv2_06e9a8457ab9,6058,6058,5,weighted_rq_ra_range,13.060537537186617,0.0,False,13.060537537186617,0.8285093368116407,0.6833160513264591,0.2524141081080287,0.0,0.2836900050062069,0.0,0.6257619857788086,8.1727876663208,True,5.841896534,0.6257619934609586,8.172787877285796,4.556092739,0.5484278067647238,7.1627618456254645,27.66728783,1.9742116636037828,25.78426510810852,1.131164074,0.16517246888524012,2.157241197029987,1.006361246,0.13337178432336305,1.7419071674050632,0.1476658583,0.16475176207587997,0.16475176335086092,14.50712395,9.164714636420959,14.30303128487103,9.412350655,3.97090165672486,9.088905542269067,5.901864052,1.2025457654627505,5.850637589570928,-3.952002764,-4.066685161302439,-4.0666851953117265,9.0,6.0,6.0,66.0,27.0,27.0,248.2424316,151.7037037037037,151.7037037037037,
v2,afmv2_06e9a8457ab9,6058,6058,6,weighted_rq_ra_range,13.048717165114944,0.0,False,13.048717165114944,0.7955635713693462,0.6835601628067725,0.2088064731447733,0.0,0.2752088497662248,0.0,0.6261060237884521,8.169880867004395,True,5.841896534,0.6261059960175434,8.169880264842803,4.556092739,0.5492253499679116,7.166686434272661,27.66728783,1.9759993582963942,25.784257221221925,1.131164074,0.15757035721142537,2.056091078046464,1.006361246,0.12913215900526126,1.6850090609563897,0.1476658583,0.1513764331369378,0.15137643346426202,14.50712395,9.103959482463479,14.240382251304775,9.412350655,3.964359468447618,9.081045904667171,5.901864052,1.1686135260877082,5.7947030848688605,-3.952002764,-4.0697296880927585,-4.069729648690398,9.0,7.0,7.0,66.0,26.0,26.0,248.2424316,157.53846153846155,157.53846153846155,3
v2,afmv2_06e9a8457ab9,6058,6058,7,weighted_rq_ra_range,12.981554046826064,0.0,False,12.981554046826064,0.9119089191712911,0.7214704451876824,0.3076134343898632,0.0,0.27826136764140985,0.0,0.6398568153381348,8.306336402893066,True,5.841896534,0.6398568231218371,8.30633592134574,4.556092739,0.5621864215413542,7.298053406625612,27.66728783,1.974674450159073,25.634343214035034,1.131164074,0.15928123941600986,2.0677180147077623,1.006361246,0.12869450012524403,1.6706546063659258,0.1476658583,0.09918375796625484,0.09918375887730277,14.50712395,9.117804565808454,14.243924525601123,9.412350655,3.9840336352625645,9.090691631975435,5.901864052,1.1965349401293264,5.83265377761101,-3.952002764,-4.070067227693398,-4.070067231179196,9.0,7.0,7.0,66.0,28.0,28.0,248.2424316,146.28571428571428,146.28571428571428,
v2,afmv2_06e9a8457ab9,6058,6058,8,weighted_rq_ra_range,13.134439382032046,0.0,False,13.134439382032046,0.7985777040814127,0.6743299406512943,0.22638041595959396,0.0,0.2842828466877837,0.0,0.6191036701202393,8.131579399108887,True,5.841896534,0.619103641877404,8.131579310261978,4.556092739,0.543509008424544,7.138686173376886,27.66728783,1.9659154134988786,25.821196899414062,1.131164074,0.16404209928243704,2.1546010227735577,1.006361246,0.12727295980613224,1.6716589878991686,0.1476658583,0.1717577463133538,0.17175774641465888,14.50712395,9.130267368607772,14.279734769007492,9.412350655,4.001893781822329,9.132094618113143,5.901864052,1.2560790950532117,5.9759934560881804,-3.952002764,-4.018911891175059,-4.018911911349373,9.0,6.0,6.0,66.0,32.0,32.0,248.2424316,128.0,128.0,4
v2,afmv2_06e9a8457ab9,6058,6058,9,weighted_rq_ra_range,12.988090967744986,0.0,False,12.988090967744986,0.9401835326361987,0.7130977312590421,0.35317020250553666,0.0,0.27725180313636344,0.0,0.636232316493988,8.263442993164062,True,5.841896534,0.6362323076160671,8.263442799838732,4.556092739,0.5604743756584643,7.2794919225517205,27.66728783,1.97651413500309,25.67114418029785,1.131164074,0.16322770887504673,2.120016256932609,1.006361246,0.12958491520320672,1.6830606092884979,0.1476658583,0.09009009656288054,0.09009009660544082,14.50712395,9.136458318998178,14.263520192942348,9.412350655,3.9441929335769292,9.050568996540695,5.901864052,1.1813351034652537,5.793687090814592,-3.952002764,-4.1011564228188435,-4.101156398675364,9.0,7.0,7.0,66.0,26.0,26.0,248.2424316,157.53846153846155,157.53846153846155,
