split,growth_run_id,sq_nm,sa_nm,analysis_scale_nm,height_increment_rms_31nm,scale_dependent_rms_slope_31nm,curvature_relief_31nm,scale_dependent_rms_curvature_31nm_inv,sdq_31nm,sdr_31nm_percent,bearing_core_span_p90_p10_nm,bearing_peak_span_p99_p90_nm,bearing_valley_span_p10_p01_nm,bearing_core_equivalent_nm,island_prominence_nm,island_median_area_nm2,island_count_per_um2,island_boundary_contrast,functional_surface_morphology_index_nm
retrospective_full23_loo,6022,1.6493402247579043,1.302845105147906,31.372549019607842,1.4768894558771068,0.04707585140608278,1.094172970229821,0.002223393668412316,0.04496978723608308,0.10095033103424388,4.263931437824187,1.3367709874516054,2.554396544127611,1.0659828594560468,1.029369479277288,3521.722414455978,15.0,1.6181321604027912,1.283204177965711
retrospective_full23_loo,6028,6.07256439790624,4.713696692899092,31.372549019607842,5.991932385309144,0.19099284478172898,4.351701558748153,0.008842793558049959,0.18626340547251552,1.7010742298563228,14.726672761662542,6.029923700837167,9.40739787097855,3.6816681904156354,3.9622049364087215,6166.858900422914,19.0,1.053760353256849,4.936413231860013
retrospective_full23_loo,6029,2.5610249171691337,2.0408186445142036,31.372549019607842,2.543331178145977,0.08106868130340301,1.8636239105411951,0.003786942024466913,0.07830604005761864,0.3054774931506169,6.474012694449103,2.750770477446542,3.020874756752973,1.6185031736122757,2.348106075752931,4652.056901191849,26.0,1.2868855644598098,2.2241852747386375
retrospective_full23_loo,6033,2.539230308280678,2.021432468400097,31.372549019607842,2.4516512691967116,0.07814638420564518,1.8134008622271045,0.0036848872208224215,0.07428297424528797,0.2750370831829329,6.518050158161753,3.1144067378880975,2.5048812876393374,1.6295125395404382,2.1083662769235247,4532.8719723183385,25.0,1.3700209292860759,2.1349665471520227
retrospective_full23_loo,6047,3.3485361203576183,2.5505700495356787,31.372549019607842,3.871615034213939,0.1234077292155693,2.957293873558359,0.006009313566504135,0.1138783488355474,0.7419531568436102,8.244553001862295,2.9463562171554702,5.754958256092689,2.0611382504655738,2.069139350392386,2779.7001153402534,43.0,1.182104212144514,2.946047980770432
retrospective_full23_loo,6048,2.547742860528005,2.0414738608128884,31.372549019607842,2.0910272891763686,0.06665149484249674,1.5291500524587938,0.0031072806925354084,0.06456208814540754,0.20826987857173085,6.50624519128042,2.917588547815124,2.480969221199386,1.626561297820105,1.7923246043665004,2679.738562091503,27.5,1.3230093318258183,1.9658126479353135
retrospective_full23_loo,6056,3.2253759375055298,2.5149483904572443,31.372549019607842,3.1661592512057672,0.10092132613218384,2.36178665708167,0.004799224293022987,0.09191684831469012,0.42017531607744335,8.027067822923414,4.185486500846006,3.4491887460454365,2.0067669557308534,2.3747088890889123,3191.0803537101115,25.0,1.3940554835398724,2.6635524818908394
retrospective_full23_loo,6057,5.337333424909866,4.130427442589799,31.372549019607842,4.716274394587075,0.15033124632746303,3.4793075857197793,0.0070700617425446454,0.14500309358354144,1.039816614077137,13.095052527266986,5.826424118355031,6.382192588155812,3.2737631318167466,3.598016229841539,3983.083429450211,19.0,1.3058884521511587,4.20513929744002
retrospective_full23_loo,6062,3.0923655415462123,2.327687539131165,31.31115459882583,3.9723538607574107,0.1268670514279398,3.1827157694641155,0.006492765034673746,0.10768366357785178,0.5758887801147436,7.403522378266943,2.430868527564318,5.6749405604228595,1.8508805945667357,1.9142399683193454,1875.5672657503605,64.0,1.1328274663338913,2.9196628392759068
retrospective_full23_loo,6063,5.867181940726434,4.547023496979505,31.372549019607842,6.177704417218725,0.19710701117491616,4.495220888091863,0.009170285730620589,0.1859290792761476,1.689896517978191,14.363259862663972,4.88270321082212,9.336475492263975,3.590814965665993,3.9314275031122037,4884.264200604426,21.0,1.2348897891398178,4.880341349767348
