growth_run_id,device,step,condition_loss,content_loss,total_loss
6022,mps,1.0,1.2144451141357422,1.0747066620962406e-13,1.2144451141357422
6022,mps,10.0,0.41179078817367554,0.0024796663783490658,0.41191476583480835
6022,mps,20.0,0.1344744861125946,0.006130339577794075,0.13478100299835205
6022,mps,30.0,0.11638236045837402,0.008614570833742619,0.11681308597326279
6022,mps,40.0,0.08182860910892487,0.00978523213416338,0.08231787383556366
6022,mps,50.0,0.06303375214338303,0.010516251437366009,0.06355956196784973
6056,mps,1.0,0.8087137937545776,1.1494272330811461e-13,0.8087137937545776
6056,mps,10.0,0.8392313718795776,0.0010816811118274927,0.8392854332923889
6056,mps,20.0,0.27338850498199463,0.0026657069101929665,0.2735217809677124
6056,mps,30.0,0.17685256898403168,0.0042632329277694225,0.17706573009490967
6056,mps,40.0,0.1557367593050003,0.005227741785347462,0.1559981405735016
6056,mps,50.0,0.13645392656326294,0.005750757642090321,0.13674145936965942
6080,mps,1.0,1.254313588142395,1.1093937454884767e-13,1.254313588142395
6080,mps,10.0,0.4328027069568634,0.002745433244854212,0.43293997645378113
6080,mps,20.0,0.13196240365505219,0.006665788125246763,0.13229569792747498
6080,mps,30.0,0.11376827210187912,0.009091952815651894,0.11422286927700043
6080,mps,40.0,0.07574140280485153,0.010244237259030342,0.07625361531972885
6080,mps,50.0,0.05934273451566696,0.0109304990619421,0.059889260679483414
