growth_run_id,device,step,condition_loss,content_loss,total_loss
6022,mps,1.0,1.254311442375183,1.0200655831084024e-13,1.254311442375183
6022,mps,10.0,0.42148256301879883,0.0027569159865379333,0.4216203987598419
6022,mps,20.0,0.1287531554698944,0.0067259203642606735,0.12908944487571716
6022,mps,30.0,0.10971326380968094,0.009198121726512909,0.11017317324876785
6022,mps,40.0,0.07254881411790848,0.010409045964479446,0.073069266974926
6022,mps,50.0,0.056769877672195435,0.011112947016954422,0.05732552334666252
6056,mps,1.0,1.2144584655761719,1.041465023487835e-13,1.2144584655761719
6056,mps,10.0,0.4050186574459076,0.0025150440633296967,0.40514442324638367
6056,mps,20.0,0.136314257979393,0.0061846449971199036,0.13662348687648773
6056,mps,30.0,0.11870511621236801,0.008655046112835407,0.11913786828517914
6056,mps,40.0,0.08408636599779129,0.009812489151954651,0.08457699418067932
6056,mps,50.0,0.06490199267864227,0.010550327599048615,0.06542950868606567
6080,mps,1.0,0.8088222742080688,1.149435635647983e-13,0.8088222742080688
6080,mps,10.0,0.8367213010787964,0.0010378998704254627,0.8367732167243958
6080,mps,20.0,0.2694641947746277,0.00258595310151577,0.2695935070514679
6080,mps,30.0,0.1734766811132431,0.004185338504612446,0.1736859530210495
6080,mps,40.0,0.15308907628059387,0.005166024900972843,0.15334737300872803
6080,mps,50.0,0.13407285511493683,0.0057011498138308525,0.13435791432857513
