growth_run_id,device,step,condition_loss,content_loss,total_loss
6022,mps,1.0,3.689488649368286,1.0950645230010936e-13,3.689488649368286
6022,mps,10.0,1.6274157762527466,0.003522306215018034,1.627591848373413
6022,mps,20.0,0.7615336775779724,0.010073293000459671,0.7620373368263245
6022,mps,30.0,0.5153802037239075,0.016203388571739197,0.5161903500556946
6022,mps,40.0,0.4393916130065918,0.019608762115240097,0.4403720498085022
6022,mps,50.0,0.3587423861026764,0.021250339224934578,0.3598048985004425
6056,mps,1.0,0.6846117377281189,1.1383163292175147e-13,0.6846117377281189
6056,mps,10.0,0.6485424041748047,0.0010009584948420525,0.648592472076416
6056,mps,20.0,0.1682279258966446,0.002677483018487692,0.16836179792881012
6056,mps,30.0,0.12705659866333008,0.004009614698588848,0.1272570788860321
6056,mps,40.0,0.1039300337433815,0.004662236664444208,0.10416314750909805
6056,mps,50.0,0.08813663572072983,0.005134955979883671,0.08839338272809982
6080,mps,1.0,0.669754147529602,1.0709036874509761e-13,0.669754147529602
6080,mps,10.0,0.7852181196212769,0.0009176071616820991,0.7852640151977539
6080,mps,20.0,0.11261438578367233,0.0022264679428189993,0.11272571235895157
6080,mps,30.0,0.022775134071707726,0.0036285785026848316,0.022956563159823418
6080,mps,40.0,0.017616793513298035,0.004469780717045069,0.01784028299152851
6080,mps,50.0,0.015255694277584553,0.004800617229193449,0.015495724976062775
