growth_run_id,true_target,prior_predicted_rq_nm,prior_rq_absolute_error_nm,full23_predicted_rq_nm,full23_rq_absolute_error_nm,rq_absolute_error_change_nm
6028,6.072564601898193,6.131415614666699,0.058851012768506,5.4692124767466535,0.6033521251515399,0.5445011123830339
6029,2.561024904251098,2.5997000307101343,0.0386751264590361,2.4065989771293146,0.1544259271217836,0.11575080066274751
6047,3.066597064069266,2.8681638713989557,0.1984331926703104,3.9223745726714014,0.8557775086021353,0.6573443159318249
6048,2.455431633201468,1.5297524245255163,0.9256792086759518,4.532502680841329,2.077071047639861,1.1513918389639093
6057,5.337333679199219,5.549023491713952,0.2116898125147335,4.066279111030214,1.2710545681690046,1.0593647556542711
6062,3.091214734236458,3.408657707890912,0.3174429736544533,2.5481412052748853,0.5430735289615733,0.22563055530712006
6063,5.865590098313159,7.033225761753825,1.1676356634406666,3.1460069367520425,2.719583161561116,1.5519474981204495
6070,3.047229528427124,2.640625388625884,0.4066041398012401,5.174788929025459,2.1275594005983347,1.7209552607970946
6072,1.470114827156067,1.4986408335193715,0.0285260063633046,2.561484053284454,1.091369226128387,1.0628432197650823
6078,2.0597975274126674,2.957887415700462,0.8980898882877946,3.9562680618284705,1.896470534415803,0.9983806461280085
6082,1.863613247871399,1.970025130364652,0.1064118824932531,2.3195438777068222,0.4559306298354233,0.3495187473421702
6084,1.9596685775258929,2.240505665401505,0.2808370878756125,3.281820954264108,1.3221523767382153,1.0413152888626027
6085,3.1255097083820487,4.251281349216936,1.1257716408348872,5.277086105287854,2.151576396905805,1.0258047560709178
6090,4.685108184814453,4.794107297380862,0.1089991125664084,8.269986562032416,3.5848783772179633,3.475879264651555
6095,9.867135047912596,5.787773568720253,4.079361479192343,4.551130391967414,5.316004655945182,1.236643176752839
