prior,calibration_state,descriptor,count,mae,rmse,pearson,spearman
v2,uncalibrated_all,rq,128,4.900190391353607,4.907658177927661,0.016550184988672837,0.0009455814320532305
v2,uncalibrated_all,ra,128,3.712865425566938,3.7207857448918777,-0.0018988763046042618,-0.004727907160266152
v2,uncalibrated_all,robust_range,128,24.481660745444962,24.502894702899194,0.22322520750019514,0.20727144990606813
v2,calibrated_top1,rq,4,2.245275977431893,2.246143839774202,0.9767062400541164,0.7999999999999999
v2,calibrated_top1,ra,4,2.5334058525387055,2.534155123116278,0.9679926228567445,0.6000000000000001
v2,calibrated_top1,robust_range,4,1.811918306092986,1.8124958269223315,0.9989970103325478,1.0
v3,uncalibrated_all,rq,128,5.157415960232023,5.164499972834828,0.04231412387151146,0.059193397646532225
v3,uncalibrated_all,ra,128,3.966012647672799,3.97342279067492,-0.0007414511963437123,0.023072186942098824
v3,uncalibrated_all,robust_range,128,24.770032090883028,24.79097834920153,0.09226320289777709,0.09909693407917855
v3,calibrated_top1,rq,4,0.16462401999201037,0.20146550658218682,0.9147219680231978,0.7999999999999999
v3,calibrated_top1,ra,4,0.2951432500847757,0.31195752503882124,0.9090083615978647,0.7999999999999999
v3,calibrated_top1,robust_range,4,0.10942912552810657,0.122375398354555,0.9986333919950848,1.0
