prior,calibration_state,descriptor,count,mae,rmse,pearson,spearman
v2,uncalibrated_all,rq,128,4.900190391353607,4.907658177927661,0.016550184988672837,0.0009455814320532305
v2,uncalibrated_all,ra,128,3.712865425566938,3.7207857448918777,-0.0018988763046042618,-0.004727907160266152
v2,uncalibrated_all,robust_range,128,24.481660745444962,24.502894702899194,0.22322520750019514,0.20727144990606813
v2,uncalibrated_all,psd_slope,128,0.11222849888267224,0.13054163004323835,-0.09326372433616446,-0.10420307381226601
v2,uncalibrated_all,autocorrelation_length_px,128,3.7734375,5.385890130702631,-0.05549418589464512,-0.09037723553523043
v2,uncalibrated_all,gradient_anisotropy,128,0.052707550727656045,0.06736326832369667,-0.05670552116138626,-0.05522195563190866
v2,uncalibrated_all,island_count,128,36.4921875,37.42836908683038,0.009096847865772762,0.07176638045751733
v2,calibrated_top1,rq,4,2.245275977431893,2.246143839774202,0.9767062400541164,0.7999999999999999
v2,calibrated_top1,ra,4,2.5334058525387055,2.534155123116278,0.9679926228567445,0.6000000000000001
v2,calibrated_top1,robust_range,4,1.811918306092986,1.8124958269223315,0.9989970103325478,1.0
v2,calibrated_top1,psd_slope,4,0.05316093146488521,0.06945064721351013,0.3668125753847846,0.19999999999999998
v2,calibrated_top1,autocorrelation_length_px,4,4.0,5.338539126015656,0.5298129428260174,0.23570226039551584
v2,calibrated_top1,gradient_anisotropy,4,0.010473930352248851,0.01375443945125295,0.8769221922366757,0.7999999999999999
v2,calibrated_top1,island_count,4,32.25,33.079449814046185,0.21285140562248994,-0.10540925533894598
v3,uncalibrated_all,rq,128,5.157415960232023,5.164499972834828,0.04231412387151146,0.059193397646532225
v3,uncalibrated_all,ra,128,3.966012647672799,3.97342279067492,-0.0007414511963437123,0.023072186942098824
v3,uncalibrated_all,robust_range,128,24.770032090883028,24.79097834920153,0.09226320289777709,0.09909693407917855
v3,uncalibrated_all,psd_slope,128,0.2794105842839584,0.28692888127042426,0.010884600776636767,0.012859907475923934
v3,uncalibrated_all,autocorrelation_length_px,128,5.375,6.522796562824874,0.28160222305598936,0.2783971269921087
v3,uncalibrated_all,gradient_anisotropy,128,0.048455057770334715,0.05907585421527205,0.03382730424229489,0.014183721480798456
v3,uncalibrated_all,island_count,128,16.6953125,18.836259912732146,-0.05848795240101069,-0.07853173688165724
v3,calibrated_top1,rq,4,0.16462401999201037,0.20146550658218682,0.9147219680231978,0.7999999999999999
v3,calibrated_top1,ra,4,0.2951432500847757,0.31195752503882124,0.9090083615978647,0.7999999999999999
v3,calibrated_top1,robust_range,4,0.10942912552810657,0.122375398354555,0.9986333919950848,1.0
v3,calibrated_top1,psd_slope,4,0.22413747970853126,0.22858002276752645,0.4564300918236307,0.39999999999999997
v3,calibrated_top1,autocorrelation_length_px,4,5.5,6.670832032063167,nan,nan
v3,calibrated_top1,gradient_anisotropy,4,0.016256959298218715,0.017827567776077052,0.8616393331126379,0.7999999999999999
v3,calibrated_top1,island_count,4,11.5,13.397761006974262,-0.1900686238162212,0.19999999999999998
