split,growth_run_id,sq_nm,sa_nm,analysis_scale_nm,height_increment_rms_31nm,scale_dependent_rms_slope_31nm,curvature_relief_31nm,scale_dependent_rms_curvature_31nm_inv,sdq_31nm,sdr_31nm_percent,bearing_core_span_p90_p10_nm,bearing_peak_span_p99_p90_nm,bearing_valley_span_p10_p01_nm,bearing_core_equivalent_nm,island_prominence_nm,island_median_area_nm2,island_count_per_um2,island_boundary_contrast,functional_surface_morphology_index_nm
retrospective_full28_loo_orientation90_keyframe_locked,6022,1.6493402243808166,1.3028529324903582,31.372549019607842,1.4768892704263445,0.04707584549483974,1.0941729512037734,0.002223393629750793,0.04496978794806358,0.1009503345558062,4.263935804367065,1.336724245548249,2.5543886661529545,1.0659839510917664,1.029290606422221,3521.722414455978,15.0,1.6181340637174955,1.2832086750870029
retrospective_full28_loo_orientation90_keyframe_locked,6028,5.214306898001644,3.990836583648757,31.372549019607842,5.6585495274192485,0.18036626618648854,4.147353043651581,0.008427550989482627,0.1750048508204674,1.5045705083909207,12.562278032302856,4.284494066238406,8.47577772140503,3.140569508075714,3.347866310803166,3091.118800461361,37.0,1.1286395252704422,4.415429811910861
retrospective_full28_loo_orientation90_keyframe_locked,6029,2.289763258630059,1.8005356630251248,31.372549019607842,2.5178991719694683,0.0802580361065268,1.8628674574304134,0.003785404888106645,0.0777370981174458,0.3010951911367995,5.80947470664978,2.038027429580689,2.961653542518616,1.452368676662445,2.100094905465007,3806.228373702422,40.0,1.2588137214625843,2.0210013039871706
retrospective_full28_loo_orientation90_keyframe_locked,6033,2.0502288469039893,1.6154608729359026,31.372549019607842,2.2982561497764693,0.07325691477412496,1.71554263398295,0.003486036242960667,0.06939778753139682,0.24014217816042466,5.195870399475098,2.300979018211367,2.453109979629516,1.2989675998687744,1.668431766479368,4244.521337946943,47.0,1.2696169358938394,1.8207478300807216
retrospective_full28_loo_orientation90_keyframe_locked,6047,3.348536119726721,2.5505780466673036,31.372549019607842,3.871615006730538,0.12340772833953591,2.9572938686157726,0.0060093135564606446,0.11387834363935609,0.7419530783576541,8.2445627450943,2.8177567720413226,5.754951977729798,2.061140686273575,2.069154521389319,2395.23260284506,43.0,1.140438574636721,2.9460538647912466
retrospective_full28_loo_orientation90_keyframe_locked,6048,1.8154828647322656,1.432320287048618,31.372549019607842,1.9995183172159563,0.06373464636125861,1.4851770404389562,0.003017926157954473,0.0606913243169732,0.18386014632325515,4.635622918605804,1.639848238229752,2.3381249547004703,1.158905729651451,1.3929850013298855,2964.244521337947,40.5,1.337119573445255,1.599313301289055
retrospective_full28_loo_orientation90_keyframe_locked,6056,2.5294262589551333,1.9849166393770261,31.372549019607842,2.9688981107074874,0.09463362727880117,2.2709121620469928,0.004614564479284555,0.08635464920813637,0.37117598306519306,6.342417240142822,2.585950219631197,3.265392792224884,1.5856043100357056,1.7683968860694277,2137.2297258547023,49.0,1.315695685606252,2.284561920801109
retrospective_full28_loo_orientation90_keyframe_locked,6057,3.9545385810940297,3.053810885369899,31.372549019607842,4.3898493877140305,0.13992644923338474,3.2703967397220364,0.006645548375013295,0.13257016385396175,0.8692489322614025,9.782636880874634,3.943173360824585,5.525846719741821,2.4456592202186584,2.9037616405517648,3798.539023452518,37.0,1.2235577275663285,3.497051746189597
retrospective_full28_loo_orientation90_keyframe_locked,6062,3.0923655409506767,2.327696274669872,31.31115459882583,3.9723539052836507,0.1268670528499966,3.182715766273911,0.006492765028165703,0.10768364955978535,0.5758886421575805,7.403514194488527,2.4308544278144852,5.674900381565095,1.8508785486221317,1.9142737462383823,1948.3304674844226,64.0,1.127988957232098,2.9196668297119013
retrospective_full28_loo_orientation90_keyframe_locked,6063,5.2457010551460295,3.9700692132747695,31.372549019607842,5.8002900560835045,0.18506780089136823,4.250130276440499,0.008670298968081407,0.1743314737353432,1.4911525303325375,12.63653826713562,3.728134012222292,8.604380774497987,3.159134566783905,3.20348593342557,3252.595155709342,34.0,1.1729172333045486,4.4421744453751355
