growth_run_id,method,true_fsmi_nm,generated_sq_nm,generated_sa_nm,generated_analysis_scale_nm,generated_height_increment_rms_31nm,generated_scale_dependent_rms_slope_31nm,generated_curvature_relief_31nm,generated_scale_dependent_rms_curvature_31nm_inv,generated_sdq_31nm,generated_sdr_31nm_percent,generated_bearing_core_span_p90_p10_nm,generated_bearing_peak_span_p99_p90_nm,generated_bearing_valley_span_p10_p01_nm,generated_bearing_core_equivalent_nm,generated_island_prominence_nm,generated_island_median_area_nm2,generated_island_count_per_um2,generated_island_boundary_contrast,generated_functional_surface_morphology_index_nm,fsmi_absolute_error_nm
6022,M10_dense_island_spectral_pareto,1.283204177965711,4.0326549954957915,3.1695751367929406,31.496062992125985,3.154440672895964,0.10015349136444686,2.181406516147625,0.00439798821236813,0.10292263579195367,0.5264811771375727,10.160467407474616,4.378169170625055,5.00564003420839,2.540116851868654,2.863939923964594,1674.0033480066961,11.5,1.3074682276153915,3.029147773061672,1.745943595095961
6022,M12a_edge_preserving_terrace,1.283204177965711,4.03265542380498,3.326404062281657,31.496062992125985,3.054511654243493,0.09698074502223089,2.1018678415248653,0.004237628301994319,0.1009616554239606,0.506542348184106,10.411234661058277,3.378710770007719,3.8336199924737304,2.602808665264569,3.3283291991406383,1937.5038750077504,14.0,1.5155789293172748,3.0966803654286283,1.8134761874629173
6028,M10_dense_island_spectral_pareto,4.936413231860013,5.469204830029752,4.408058786095504,31.496062992125985,4.1792419320345795,0.1326909313420979,2.8763024924933527,0.00579898536267816,0.13757047459993565,0.9355314397694106,14.360393957331087,5.563730596060184,4.535165044660506,3.590098489332772,4.473400516229276,6076.012152024305,13.5,1.356242821801024,4.241606175547227,0.6948070563127855
6028,M12a_edge_preserving_terrace,4.936413231860013,5.469205198339182,4.565724875536618,31.496062992125985,4.21100825332314,0.1336995120430097,2.8591615883434076,0.005764427157298852,0.14026589410169926,0.9718800370321572,14.508866348069546,4.065472249070825,3.6094952415826476,3.6272165870173865,5.706637417889569,5053.010106020212,13.5,1.6165082686723908,4.533450832994781,0.402962398865232
6029,M10_dense_island_spectral_pareto,2.2241852747386375,2.4065957274577023,1.9033483781862728,31.496062992125985,1.8605685291228826,0.05907305079965153,1.2843205380234954,0.0025893507447226193,0.0602899762327437,0.18135425514655024,6.114335641929596,2.751036980647249,2.7119611845605096,1.528583910482399,1.9176317239648821,2573.0051460102923,14.0,1.3878411214352844,1.8409648691039617,0.38322040563467574
6029,M12a_edge_preserving_terrace,2.2241852747386375,2.4065958179867177,1.9916404871290045,31.496062992125985,1.8190754271891043,0.057755644813254056,1.237855689156937,0.002495671801301529,0.05960557751955063,0.17725562452645688,6.342509544229156,1.8535241947550136,1.894091856437441,1.585627386057289,2.3077064285317546,3255.0065100130205,11.5,1.7169068508720966,1.911388296842356,0.3127969778962816
6033,M10_dense_island_spectral_pareto,2.1349665471520227,6.180332000117511,4.900666848062329,31.496062992125985,4.7097838974887205,0.14953563874526687,3.1955417903345,0.006442611692038143,0.15540313245353593,1.1905954866453181,15.91136464284498,7.045624153242205,6.102552296176608,3.977841160711245,4.224983436781073,1968.5039370078744,16.0,1.338338258021614,4.509093802775066,2.3741272556230433
6033,M12a_edge_preserving_terrace,2.1349665471520227,6.180332453297066,5.117848637871571,31.496062992125985,4.809947959938766,0.15271584772805583,3.2275868179532115,0.0065072184733459175,0.1601307771512337,1.2632267079552588,16.20000235229076,5.750593998951738,4.87238774332514,4.05000058807269,5.618799218359183,4185.008370016741,10.0,1.6034639966243787,4.946688642908514,2.8117220957564912
6047,M10_dense_island_spectral_pareto,2.946047980770432,3.9223693329857334,3.1556742810956884,31.496062992125985,2.975327046968248,0.09446663374124187,2.0314905787681328,0.004095738943118901,0.09660768179674321,0.464490637600112,10.160114440126975,3.5266718541883257,4.088415296858321,2.5400286100317437,2.587088045297237,1953.0039060078125,14.0,1.2723754165842867,2.882717732161572,0.06333024860886027
6047,M12a_edge_preserving_terrace,2.946047980770432,3.9223693421883508,3.2845275288906945,31.496062992125985,2.8749019993857075,0.09127813848049621,1.9178193878093008,0.003866563613247026,0.09658381381072065,0.463714953464914,10.524294106102758,2.683271068099478,2.909970236000999,2.6310735265256895,3.1800381703627902,2511.0050220100443,8.5,1.5279749272763814,2.973999479745081,0.02795149897464899
6048,M10_dense_island_spectral_pareto,1.9658126479353135,4.532496424001606,3.5753828260292067,31.496062992125985,3.3337530666362705,0.1058466598657016,2.235704930052678,0.004507460602102455,0.11073979616425478,0.6086493338599721,11.550035415060877,4.569177419998395,5.379499925211082,2.8875088537652194,2.850253784045436,1844.5036890073782,13.5,1.4019591241582015,3.2793339643448967,1.3135213164095831
6048,M12a_edge_preserving_terrace,1.9658126479353135,4.532496700133381,3.744882032172156,31.496062992125985,3.39275148108744,0.10771985952452623,2.3010600668746335,0.004639224727327621,0.11272079832058843,0.6304165292164663,11.877032780900308,3.293149186034065,4.043602659260513,2.969258195225077,4.020672441998797,2480.00496000992,11.5,1.6655028657846374,3.5464266461033285,1.580613998168015
6056,M10_dense_island_spectral_pareto,2.6635524818908394,3.0156319905816464,2.4041889210710714,31.496062992125985,2.3659259986839016,0.07511815045821388,1.6237258912180055,0.003273634362431901,0.07774206741005948,0.3011302356704699,7.824795857541002,3.0365541479843805,2.950811859503495,1.9561989643852504,2.1500490219018786,2232.004464008928,14.0,1.3637923795050988,2.2652583243194,0.3982941575714394
