growth_run_id,method,wrong_condition_source_group,correct_condition_error_z,wrong_condition_error_z,wrong_minus_correct,correct_condition_wins
6022,M2_spectral_rheed_condition,6056,2.0498881340026855,2.012666702270508,-0.037221431732177734,False
6056,M2_spectral_rheed_condition,6080,1.125615119934082,1.017524003982544,-0.10809111595153809,False
6080,M2_spectral_rheed_condition,6022,1.2696831226348877,1.4470486640930176,0.17736554145812988,True
6022,M2b_calibrated_spectral_rheed_condition,6056,1.1424691677093506,1.1572521924972534,0.014783024787902832,True
6056,M2b_calibrated_spectral_rheed_condition,6080,0.4763798713684082,0.4909685552120209,0.014588683843612671,True
6080,M2b_calibrated_spectral_rheed_condition,6022,0.659157931804657,0.6930921077728271,0.033934175968170166,True
6022,M3_refiner_rheed_condition,6056,1.6315021514892578,1.6224455833435059,-0.009056568145751953,False
6056,M3_refiner_rheed_condition,6080,0.8693588376045227,0.7513414025306702,-0.11801743507385254,False
6080,M3_refiner_rheed_condition,6022,0.9637114405632019,1.095552682876587,0.131841242313385,True
6022,M3b_calibrated_refiner_rheed_condition,6056,0.8938049674034119,0.9956419467926025,0.10183697938919067,True
6056,M3b_calibrated_refiner_rheed_condition,6080,0.6281763315200806,0.5416231155395508,-0.08655321598052979,False
6080,M3b_calibrated_refiner_rheed_condition,6022,0.6127111315727234,0.6555159687995911,0.042804837226867676,True
