method,growth_group_count,median_cross_validation_fold,median_true_rq_nm,median_generated_rq_nm,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_generated_pairwise_l1,median_real_pairwise_l1,median_diversity_ratio,median_unit_l1,median_unit_rmse,median_ssim,median_gradient_mae,median_physical_ra_error_nm,median_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,median_psd_low_band_error,median_psd_mid_band_error,median_psd_high_band_error,median_psd_slope_error,median_correlation_length_abs_error_nm,median_correlation_length_relative_error,median_anisotropy_error,median_skewness_error,median_kurtosis_error,median_height_quantile_error,median_ra_rq_error,median_physical_psd_distance,median_physical_correlation_length_error_nm,median_ssim_penalty,median_composite_score,median_nearest_training_l1,median_max_training_ssim,median_exact_training_pixel_equality,median_generated_mean_gradient,median_real_mean_gradient,median_mean_gradient_relative_error,median_generated_rms_gradient,median_real_rms_gradient,median_rms_gradient_relative_error,median_generated_laplacian_rms,median_real_laplacian_rms,median_laplacian_rms_relative_error,median_generated_edge_energy_ratio,median_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,median_real_high_psd_fraction,median_high_psd_fraction_relative_error,median_generated_robust_height_range,median_real_robust_height_range,median_robust_height_range_relative_error,median_generated_skewness,median_real_skewness,median_skewness_relative_error,median_generated_kurtosis,median_real_kurtosis,median_kurtosis_relative_error,median_sharpness_ratio,median_afm_texture_gate_pass
M5_cloudlike_spectral_hybrid,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.9863879680633545,1.1199389100074768,1.1030480861663818,1.0339247347777103,1.1250858306884766,1.416096568107605,0.006346456963716702,38.835554814623144,0.022785114309095356,0.5315919971466077,0.1557238819685276,3.0923626133876776,3.0091327691827985e-06,0.9253710764619187,0.0016918134673908902,0.0016460959756177023,6.34840551729487e-05,0.3429547490450533,31.496062992125985,0.56,0.16666666666666674,0.2918482298859632,0.3693360223777109,0.12348627306787055,0.007477321209904408,0.9253710764619187,31.496062992125985,0.9936535430362833,8.54472155731617,1.0492327213287354,0.03720861684962498,0.0,0.2939733862876892,0.3343275785446167,0.22007734415197058,0.33474230766296387,0.43132510781288147,0.2783798832074665,0.3917492777109146,0.4963996857404709,0.2594236632866466,1.0170233249664307,1.0176516771316528,0.0339836587017237,1.001322090625763,4.758741855621338,0.789582599559811,7.202735981048264e-05,8.677488393813045e-05,0.5714547116724074,4.743185724020004,4.812647156715393,0.027196567910203813,-0.09063868685514914,0.02843638546901522,0.9225689202045605,3.2533322837147276,3.432365839864702,0.0980914740647298,0.9385023985683347,1.0
M6a_superellipse_island_primitives,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.852541446685791,0.9967649579048157,1.1030480861663818,0.9076636561771738,1.0876338481903076,1.4092333316802979,0.011441094452155992,37.231304077646044,0.3783627603042963,2.314049892425537,0.7301643230623298,3.0923626084336875,3.0140867592898246e-06,0.7645390633001794,0.0015882987568758278,0.0015374036971041686,4.654932487967551e-05,0.22106364690588176,23.62204724409449,0.6,0.19999999999999996,0.9136162585470942,2.531640568875332,0.4062684828309073,0.15021163564339368,0.7645390633001794,23.62204724409449,0.988558905547844,7.991064638757757,0.9982292652130127,0.03704062352540096,0.0,0.24335738271474838,0.3343275785446167,0.2783922050963104,0.331669881939888,0.43132510781288147,0.2310443423484314,0.32971298694610596,0.4963996857404709,0.33453137750096634,0.9551635086536407,1.0176516771316528,0.08982526449195144,0.9990751147270203,4.758741855621338,0.8107167601656166,4.5253172759559474e-05,8.677488393813045e-05,0.5051340327870076,5.583132063150407,4.812647156715393,0.1438096848346056,0.9023098476138247,0.02843638546901522,2.8280769334679228,6.0791978095458585,3.432365839864702,0.7691314640056286,0.7421193043364969,1.0
M6b_multiscale_laguerre_terraces,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,0.9659495949745178,1.1251964569091797,1.1030480861663818,1.0188666752437332,1.1253736019134521,1.4168720245361328,0.008999953752820571,37.070896363041676,0.06700843476085794,0.6502248001098607,0.20229670791666887,3.0923627282630117,2.9318022880531203e-06,1.0536064295313443,0.0018253042493353577,0.0017551454017208541,7.002101291023623e-05,0.43333771086210326,31.496062992125985,0.75,0.125,0.322442408992217,0.46392674661847044,0.13664713583886612,0.015533735658243009,1.0536064295313443,31.496062992125985,0.9910000462471794,7.956999915698524,1.0430476665496826,0.030477358559140834,0.0,0.2457723394036293,0.3343275785446167,0.2879658780414492,0.3243694603443146,0.43132510781288147,0.2665909733637534,0.2881990075111389,0.4963996857404709,0.4559874182079567,1.001411259174347,1.0176516771316528,0.062232785415601996,0.9452426135540009,4.758741855621338,0.7957575569130338,1.622396823186576e-05,8.677488393813045e-05,0.8223409230618316,4.69874146103859,4.812647156715393,0.058792906210271174,0.11542765655761505,0.02843638546901522,0.9889668249248231,2.9471959688397193,3.432365839864702,0.16534145551918053,0.7120341219585509,1.0
M6c_island_structure_plus_spectral_prior,15,7.0,3.0923656225204468,2.5904786702816622,0.8293883576494947,1.1135554313659668,1.116944670677185,1.1030480861663818,1.0174599867307237,1.11863374710083,1.4076780080795288,0.013590247976822538,38.11302398005827,0.043732787511749915,0.5327927207946779,0.1291796655837124,3.0923626530002717,3.0884291470911762e-06,0.8412036932659701,0.0020308495539633764,0.001958721322312448,5.231818655670949e-05,0.15551484336517074,31.496062992125985,0.6,0.19999999999999996,0.3366587694289985,0.2683886005786835,0.12284493617713446,0.012850384538002024,0.8412036932659701,31.496062992125985,0.9864097520231775,8.148401008362647,1.047397494316101,0.036015258136486844,0.0,0.2738380432128906,0.3343275785446167,0.22852916678403576,0.32352425158023834,0.43132510781288147,0.23831724651923736,0.32937954366207123,0.4963996857404709,0.3570386405310604,1.0045881271362305,1.0176516771316528,0.04032006462592176,0.9660038650035858,4.758741855621338,0.7877520855996648,3.688519686608693e-05,8.677488393813045e-05,0.6547147016536999,4.662801858186722,4.812647156715393,0.039345909284471875,0.06852083934718498,0.02843638546901522,1.0453524933606302,3.0645323858929534,3.432365839864702,0.1373628482000754,0.8645629184682316,1.0
