epoch,train_loss,val_mse
1,2.033744692802429,1.0005608797073364
2,1.9666350185871124,1.0029642581939697
3,1.8188115954399109,1.0056135654449463
4,1.8805299401283264,1.0067720413208008
5,1.8169448375701904,1.007814884185791
