review_id,sample_id,frame_idx,morphology_index,raw_spottiness,raw_streakiness,afm_Rq_median_nm,source_raw_frame_path
HR0078,6022,809,0.3902798374,24.8,38.74414863,1.649340225,reports/rheed_roughness/assets/rheed_frames/6022/frame_000809_raw.png
HR0079,6095,499,0.3756628725,32.6,54.17993591,9.867135055,reports/rheed_roughness/assets/rheed_frames/6095/frame_000499_raw.png
HR0080,6072,493,0.3618927261,41.6,73.35119131,1.468175651,reports/rheed_roughness/assets/rheed_frames/6072/frame_000493_raw.png
HR0081,6085,447,0.4297995791,30.8,40.86130796,3.125662312,reports/rheed_roughness/assets/rheed_frames/6085/frame_000447_raw.png
HR0082,6073,483,0.3884427548,19.6,30.85788537,1.456798988,reports/rheed_roughness/assets/rheed_frames/6073/frame_000483_raw.png
HR0083,6101,383,0.4081383719,39.6,57.42591749,1.417439172,reports/rheed_roughness/assets/rheed_frames/6101/frame_000383_raw.png
HR0084,6056,439,0,0,0,3.225375938,reports/rheed_roughness/assets/rheed_frames/6056/frame_000439_raw.png
HR0085,6058,348,0,0,0,5.800950394,reports/rheed_roughness/assets/rheed_frames/6058/frame_000348_raw.png
HR0086,6056,487,0,0,0,3.225375938,reports/rheed_roughness/assets/rheed_frames/6056/frame_000487_raw.png
HR0087,6048,370,0,0,0.6019832397,2.547742861,reports/rheed_roughness/assets/rheed_frames/6048/frame_000370_raw.png
HR0088,6057,372,0.3558355172,21.2,38.37808867,5.337333425,reports/rheed_roughness/assets/rheed_frames/6057/frame_000372_raw.png
HR0089,6068,688,0.3545920016,27.4,49.8719065,10.62212219,reports/rheed_roughness/assets/rheed_frames/6068/frame_000688_raw.png
HR0090,6070,690,0.326178022,13.6,28.0950226,3.047229531,reports/rheed_roughness/assets/rheed_frames/6070/frame_000690_raw.png
HR0091,6090,243,0.4186968444,29.4,40.81786859,4.685108055,reports/rheed_roughness/assets/rheed_frames/6090/frame_000243_raw.png
HR0092,6093,362,0.3814251906,20.4,33.08362011,7.062594145,reports/rheed_roughness/assets/rheed_frames/6093/frame_000362_raw.png
