sample_id,growth_run_id,split,sq_nm,sa_nm,analysis_scale_nm,height_increment_rms_31nm,scale_dependent_rms_slope_31nm,curvature_relief_31nm,scale_dependent_rms_curvature_31nm_inv,sdq_31nm,sdr_31nm_percent,bearing_core_span_p90_p10_nm,bearing_peak_span_p99_p90_nm,bearing_valley_span_p10_p01_nm,bearing_core_equivalent_nm,island_prominence_nm,island_median_area_nm2,island_count_per_um2,island_boundary_contrast,functional_surface_morphology_index_nm
6028,6028,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,5.214306898001644,3.990836583648757,31.372549019607842,5.6585495274192485,0.18036626618648854,4.147353043651581,0.008427550989482627,0.1750048508204674,1.5045705083909207,12.562278032302856,4.960604476928715,9.19049463272095,3.140569508075714,3.347866310803166,3091.118800461361,37.0,1.0181932300586618,4.415429811910861
6028,6028,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,5.318342314224533,4.113774789525027,31.372549019607842,5.696062187647744,0.18156198223127185,4.151339497205918,0.008435651587681715,0.17631969883796836,1.5240828668993909,13.221764087677002,4.284494066238406,8.47577772140503,3.3054410219192505,4.234653069410378,6136.101499423298,25.0,1.1286395252704422,4.622158283865597
6028,6028,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.3199469327011704,1.810985305432637,31.372549019607842,2.551164415176499,0.08131836573375091,1.9206314661783837,0.003902783159007794,0.07618831484014534,0.2892156806669752,5.839941501617432,2.5667574644088784,2.8951583385467528,1.459985375404358,1.4364138251223442,1522.4913494809687,45.0,1.3143684640785493,1.9886810124343297
6029,6029,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.289763258630059,1.8005356630251248,31.372549019607842,2.5178991719694683,0.0802580361065268,1.8628674574304134,0.003785404888106645,0.0777370981174458,0.3010951911367995,5.80947470664978,1.796218037605287,3.3011726856231687,1.452368676662445,1.6572577964384,2099.19261822376,42.0,1.2442245162965964,1.995444078972699
6029,6029,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.223264821282137,1.758793004730091,31.372549019607842,2.4190728050171244,0.07710794565992084,1.7801466939660138,0.0036173137117231267,0.07403594855424347,0.2731421005077588,5.568954586982727,2.038027429580689,2.961653542518616,1.3922386467456818,2.1260670145916682,4951.9415609381,33.0,1.2970684209189987,2.0210013039871706
6029,6029,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.5294087791556144,2.0002075968845343,31.372549019607842,2.7420816332789753,0.08740385206076734,2.011754884854525,0.004087948793364547,0.08441554634861695,0.35491000710461773,6.454939484596252,2.830209851264963,2.8597306728363043,1.613734871149063,2.100094905465007,3806.228373702422,40.0,1.2588137214625843,2.2351114969367405
6033,6033,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.1352259927662405,1.688959763228938,31.372549019607842,2.439332195092772,0.07775371371858211,1.8204018183786341,0.003699113382502209,0.073976279057139,0.27279950794454016,5.408937931060791,2.300979018211367,2.539029955863953,1.3522344827651978,1.8037031707038318,4244.521337946943,47.0,1.2491898355261248,1.9444936411797933
6033,6033,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.0502288469039893,1.6154608729359026,31.372549019607842,2.2982561497764693,0.07325691477412496,1.71554263398295,0.003486036242960667,0.06939778753139682,0.24014217816042466,5.195870399475098,2.407075357437143,2.259805130958557,1.2989675998687744,1.5238338497143384,2891.19569396386,49.0,1.3413334265712502,1.813168089875831
6033,6033,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.0052845979986333,1.6144748673053009,31.372549019607842,2.2728796070379245,0.07244803747433384,1.7118853918420525,0.0034786046126415457,0.06561037198084368,0.21473086033780864,5.175711154937744,1.5279121637344368,2.453109979629516,1.293927788734436,1.668431766479368,4244.521337946943,39.0,1.2696169358938394,1.8207478300807216
6047,6047,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,5.025601540949032,3.8130340408989856,31.372549019607842,5.655522325286995,0.18026977411852296,4.219990502032056,0.008575152574832327,0.1686314513674978,1.3979613081467852,12.253325939178467,4.243959665298463,9.113895177841187,3.0633314847946167,2.924749608469261,2360.630526720492,36.0,1.0046857257443216,4.312495414847992
6047,6047,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,5.234367122046856,3.9875695800035924,31.372549019607842,5.844027106206058,0.1862783640103181,4.371883355813887,0.008883803600368688,0.1768623937788081,1.53596915018841,12.877804517745972,3.6400084018707286,9.207283067703248,3.219451129436493,3.638326488946443,5390.234525182621,32.0,1.011432394172969,4.566550148159505
6047,6047,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,4.693406793135006,3.5281258998261027,31.372549019607842,5.459365432377103,0.17401727315702017,4.169759066747118,0.00847308072860098,0.15941234499282186,1.2509764379769375,11.347132444381714,3.8971119403839243,8.826489114761353,2.8367831110954285,2.7426967661219135,1799.3079584775085,43.0,0.9392186945275496,4.117993513717367
6047,6047,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,1.8974817361091139,1.4781920739916576,31.372549019607842,2.2626572402128007,0.07212219953178302,1.7448286704844271,0.0035455463843203088,0.06506045425069087,0.21107978178785572,4.70742404460907,1.995505142211917,2.6828769922256464,1.1768560111522675,1.3956122766567243,2429.834678969627,54.0,1.269444755100473,1.7376539075799708
6047,6047,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,1.8641512574581376,1.4464318106296405,31.372549019607842,2.226224894140218,0.07096091850071945,1.7196482814595153,0.003494379046934531,0.0641418347056985,0.2051635725783449,4.560397267341614,1.9695553302764992,2.6834148406982417,1.1400993168354034,1.3778249720835318,3129.56555171088,50.0,1.2882989499754347,1.7080137884598345
6047,6047,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.0036654463184367,1.5730301935085043,31.372549019607842,2.283864581083973,0.07279818352205164,1.717773366260349,0.003490569160658725,0.0683443422858903,0.23292971873837073,5.141993045806885,1.8512416124343871,2.4737248420715336,1.2854982614517212,1.3796530328834617,1599.3848519800076,43.0,1.4077314738176494,1.774114215865127
6048,6048,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,1.7628175269866806,1.3967935310940847,31.372549019607842,1.9599683611200935,0.062473991510702986,1.4691801417827384,0.0029854199599819555,0.05947409263457925,0.17652562899646362,4.539389371871948,1.631458127498627,2.11556293964386,1.134847342967987,1.4429116739497434,3321.799307958477,43.0,1.3575055523293218,1.5797065860288053
6048,6048,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,1.8681482024778508,1.4678470430031516,31.372549019607842,2.039068273311819,0.06499530121181422,1.501173939095174,0.00305043235592699,0.061908555999367156,0.19119466365004667,4.731856465339661,1.6482383489608767,2.560686969757081,1.1829641163349152,1.3430583287100277,2606.6897347174163,38.0,1.3167335945611882,1.618920016549305
6056,6056,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.7354509650945236,2.1207501219614437,31.372549019607842,3.2994088375691213,0.10516865669751574,2.5688070776585086,0.005219896257023266,0.09400293752474406,0.4394050591290774,6.782486796379089,3.188169836997988,3.582391810417176,1.6956216990947723,1.8417309196606186,3521.722414455978,47.0,1.3144082798550527,2.49938657230006
6056,6056,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.4337750378127936,1.906762488216759,31.372549019607842,2.868136415066367,0.09142184823024045,2.2224748113470456,0.004516138268995051,0.08309087957727233,0.3438004161330564,6.073385834693909,2.597038650512696,3.3761263132095336,1.5183464586734772,1.7321367956225402,1806.9973087274125,50.0,1.2975485330360639,2.2088248262140806
6056,6056,retrospective_full26_loo_orientation90_keyframe_locked_exclude6022_6081,2.514664658651926,1.9758971415382631,31.372549019607842,2.9415543169690253,0.09376204385338768,2.2266372159167456,0.004524596405155824,0.08369661743571188,0.34880291695117427,6.198972105979919,2.7903557777404826,3.1919306278228756,1.5497430264949799,1.7920581032314948,1537.8700499807765,43.0,1.3543151607976294,2.260414525257926
