growth_run_id,source,true_sq_nm,predicted_sq_nm,dark_fraction,largest_dark_component_fraction,display_median,display_mean,height_skewness
6028,real,5.214306831359862,5.019938142800873,0.0274810791015625,0.0026702880859375,0.6332980145513714,0.6070571762490622,-0.7819739815487791
6028,m22_frozen,5.214306831359862,5.019938142800873,0.03021240234375,0.00335693359375,0.5730149572237704,0.5665861349656625,-0.2717218362652677
6028,m23,5.214306831359862,5.019938142800873,0.03021240234375,0.00335693359375,0.5730149572237704,0.5665861349656625,-0.2717218362652677
6029,real,2.2897632122039795,1.410400419864728,0.0283966064453125,0.0047454833984375,0.5931438095439577,0.5789834378473266,-0.4839709308361029
6029,m22_frozen,2.2897632122039795,1.410400419864728,0.0572509765625,0.0125732421875,0.48399416924360217,0.497135746373906,0.11396638610746683
6029,m23,2.2897632122039795,1.410400419864728,0.0413818359375,0.006103515625,0.5287622411616941,0.5243312668563809,-0.13680489457861864
6033,real,2.0502288341522217,2.031847339506771,0.0427703857421875,0.0030670166015625,0.49758535809691085,0.4967279893523264,0.00044466420813279127
6033,m22_frozen,2.0502288341522217,2.031847339506771,0.09576416015625,0.0235595703125,0.42865944210840556,0.4516116823176409,0.28324510865151065
6033,m23,2.0502288341522217,2.031847339506771,0.0413818359375,0.00634765625,0.5287622408018551,0.52433126818351,-0.13680481065375172
6047,real,3.348536252975464,2.5072100913430075,0.0317230224609375,0.0029754638671875,0.539546729970904,0.5406746947093896,-0.10237070633878893
6047,m22_frozen,3.348536252975464,2.5072100913430075,0.08575439453125,0.0203857421875,0.4720275114390273,0.4857397163804902,0.09573124373183922
6047,m23,3.348536252975464,2.5072100913430075,0.0413818359375,0.0081787109375,0.5287622415215332,0.5243312683924644,-0.13680481381462567
6048,real,1.8154829144477844,3.33386441363801,0.0347442626953125,0.0030517578125,0.5351760139277095,0.5343417601969315,-0.13364885371955862
6048,m22_frozen,1.8154829144477844,3.33386441363801,0.033203125,0.00341796875,0.5835245305123674,0.5655670153157102,-0.4821649303696255
