growth_run_id,true_target,prior_predicted_rq_nm,prior_rq_absolute_error_nm,current_predicted_rq_nm,current_rq_absolute_error_nm,rq_absolute_error_change_nm
6028,6.072564601898193,6.131415614666699,0.058851012768506,5.019938142800873,0.1943686885589892,0.13551767579048318
6029,2.561024904251098,2.5997000307101343,0.0386751264590361,1.410400419864728,0.8793627923392515,0.8406876658802154
6047,3.066597064069266,2.8681638713989557,0.1984331926703104,2.5072100913430075,0.8413261616324563,0.6428929689621459
6048,2.455431633201468,1.5297524245255163,0.9256792086759518,3.33386441363801,1.5183814991902254,0.5927022905142736
6057,5.337333679199219,5.549023491713952,0.2116898125147335,3.1000038636978706,0.8545347200576221,0.6428449075428886
6062,3.091214734236458,3.408657707890912,0.3174429736544533,3.8106222846849063,0.7182566621644595,0.4008136885100062
6063,5.865590098313159,7.033225761753825,1.1676356634406666,4.649623227301118,0.5960778472991013,-0.5715578161415653
6070,3.047229528427124,2.640625388625884,0.4066041398012401,1.759026091081472,0.785926063078074,0.3793219232768339
6072,1.470114827156067,1.4986408335193715,0.0285260063633046,0.7422541545602325,0.7278606725958344,0.6993346662325298
6078,2.0597975274126674,2.957887415700462,0.8980898882877946,2.653502121620272,1.1504897624779684,0.25239987419017385
6082,1.863613247871399,1.970025130364652,0.1064118824932531,2.535174805417047,0.671561557545648,0.5651496750523949
6084,1.9596685775258929,2.240505665401505,0.2808370878756125,2.8602026633360924,1.4682218960860314,1.1873848082104188
6085,3.1255097083820487,4.251281349216936,1.1257716408348872,4.2855071028198,2.0459211071456664,0.9201494663107792
6090,4.685108184814453,4.794107297380862,0.1089991125664084,3.2119699715102574,0.802376150938358,0.6933770383719496
6095,9.867135047912596,5.787773568720253,4.079361479192343,8.52456568858861,0.5496177754616802,-3.529743703730663
