growth_run_id,nearest_rheed_distance,knn_rheed_distance,maximum_absolute_robust_z,ledoit_wolf_mahalanobis,density_ood_z,support_confidence,knn_rheed_distance_percentile_rank,maximum_absolute_robust_z_percentile_rank,ledoit_wolf_mahalanobis_percentile_rank,rheed_only_ood_score,rheed_only_ood_rank,excluded_in_top2_sensitivity,excluded_in_top3_sensitivity,excluded_in_top4_sensitivity,selection_used_afm_target
6101,11.193902536367013,11.564851400784462,46.60262008734036,43.72953941026902,55.29166230042766,9.708143063570135e-25,1.0,1.0,1.0,1.0,1,True,True,True,False
6063,2.789944881106354,2.8320193881403406,8.375553395840946,5.035528390580862,7.941338674256478,0.0003557299528918498,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304349,2,True,True,True,False
6029,1.6849710160778784,1.960534344311144,7.899998399803669,3.7922956507512,5.408792236674996,0.004477044157085056,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,3,False,True,True,False
6028,1.3892959248704397,1.4283284630357578,5.133824415794975,2.5146448536868973,2.244632180691996,0.10596650973454647,0.782608695652174,0.8260869565217391,0.8695652173913043,0.8260869565217391,4,False,False,True,False
6070,1.3159531454921551,1.516811339097849,3.866666666666509,2.4395609982787962,2.848862891603648,0.05791013354876719,0.8695652173913043,0.7391304347826086,0.8260869565217391,0.8115942028985508,5,False,False,False,False
6090,0.9184305373182361,1.1083626990743956,5.5781393563572435,2.309046043117737,0.5642438646331475,0.5687900664838847,0.6521739130434783,0.8695652173913043,0.782608695652174,0.7681159420289855,6,False,False,False,False
6048,1.2561304922650727,1.3202566310123431,4.618779341970763,2.1504456253429267,1.9738041701340763,0.13892734641889745,0.7391304347826086,0.782608695652174,0.7391304347826086,0.7536231884057972,7,False,False,False,False
6022,1.4277915150252303,1.4346711497503188,3.4061135371181748,1.770139515599866,2.2109426742108544,0.10959728526982919,0.8260869565217391,0.6521739130434783,0.5652173913043478,0.681159420289855,8,False,False,False,False
6062,1.0681210244562322,1.180005073443779,3.1121051160190056,2.0284500353427215,0.7490737394839023,0.4728042899259826,0.6956521739130435,0.6086956521739131,0.6956521739130435,0.6666666666666666,9,False,False,False,False
6081,0.6699731525875137,0.9669459648652697,3.4316375059254143,1.8526331669295049,-0.047351520594129434,1.0,0.391304347826087,0.6956521739130435,0.6521739130434783,0.5797101449275363,10,False,False,False,False
6033,0.9123982500956862,0.9649114167648808,2.8502110613989142,1.827423610068692,0.017899707965845314,0.9822595402257981,0.34782608695652173,0.5217391304347826,0.6086956521739131,0.49275362318840576,11,False,False,False,False
6082,0.9645516510212903,0.9951802778817549,2.257679505995431,1.6963171316944552,0.1431461911639637,0.8666273663709073,0.5217391304347826,0.34782608695652173,0.4782608695652174,0.4492753623188406,12,False,False,False,False
6056,0.9534960664176152,1.0867607870520188,2.7094198350911043,1.445949647049424,0.6563977498659392,0.5187165196955683,0.6086956521739131,0.43478260869565216,0.2608695652173913,0.43478260869565216,13,False,False,False,False
6095,0.9065762240762578,0.9246964916532775,3.0699788813309867,1.6509470376843822,-0.31825892127709143,1.0,0.30434782608695654,0.5652173913043478,0.43478260869565216,0.43478260869565216,14,False,False,False,False
6047,0.9190394611569475,0.9882415529208148,2.509565949082446,1.5503914652461885,-0.00830663027611683,1.0,0.4782608695652174,0.391304347826087,0.391304347826087,0.4202898550724638,15,False,False,False,False
6072,0.9078384626064411,0.9753451787181319,2.1562745148748856,1.7513740708882677,-0.02712856592321633,1.0,0.43478260869565216,0.2608695652173913,0.5217391304347826,0.4057971014492754,16,False,False,False,False
6057,0.9876133502031075,1.0095810759503905,2.1728547449218625,1.4782339760582663,0.12232649722904436,0.8848594171864868,0.5652173913043478,0.30434782608695654,0.30434782608695654,0.3913043478260869,17,False,False,False,False
6084,0.6111868481336836,0.8241908883350287,2.721735425997602,1.5029239272225778,-0.48168616780876206,1.0,0.17391304347826086,0.4782608695652174,0.34782608695652173,0.3333333333333333,18,False,False,False,False
6094,0.8253430228985845,0.8798189276169041,1.9594030505603268,1.2755242608620796,-0.4622298971980687,1.0,0.2608695652173913,0.21739130434782608,0.17391304347826086,0.21739130434782608,19,False,False,False,False
6080,0.7828659864661281,0.8375983722141789,1.3394495412840617,1.3452468132845339,-0.494537699212313,1.0,0.21739130434782608,0.13043478260869565,0.21739130434782608,0.18840579710144925,20,False,False,False,False
6085,0.7608374027216313,0.7950366422056891,1.7182105218609411,1.0329788607590067,-0.6570368820896003,1.0,0.13043478260869565,0.17391304347826086,0.043478260869565216,0.11594202898550725,21,False,False,False,False
6078,0.668331224024758,0.743634410138375,0.9724770642201427,1.172346429019086,-1.2517934989086172,1.0,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.10144927536231885,22,False,False,False,False
6099,0.6379942856664902,0.7278280345507137,0.951681109185442,1.0551117640396086,-1.2832704743009133,1.0,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.057971014492753624,23,False,False,False,False
