method,n,median_absolute_frame_error,median_periodic_phase_error,median_nearest_vertex_error,p90_nearest_vertex_error,median_pattern_ncc,median_pattern_ssim,median_gradient_ncc,median_clarity_ratio,direction_consistency_rate
quality_only,27,111.0,11.0,2.0,17.60000000000001,0.5047405766703577,0.35847210332536217,0.20032079046730622,1.1405640068958802,0.0
vertex_clarity,27,104.0,4.0,2.0,17.60000000000001,0.5107778987611139,0.3561012943438341,0.23289900499150598,1.0585754963232672,0.5925925925925926
physics_vertex,27,79.0,4.0,2.0,17.60000000000001,0.6526863233613209,0.43645708532576394,0.35530724804543345,1.0186075869835463,0.9259259259259259
front_visibility,27,42.0,3.0,2.0,17.60000000000001,0.6424633056100926,0.4570681205788247,0.35530724804543345,1.000224640150099,0.9259259259259259
compact_physics,27,106.0,5.0,2.0,13.200000000000006,0.6021726900652165,0.43318325718832285,0.27728082709717067,1.0155179784294095,0.8148148148148148
compact_visibility,27,46.0,4.0,2.0,13.200000000000006,0.6693628945271786,0.4420200964561484,0.2937882097440575,1.0,0.8518518518518519
