method,n,median_iou,median_manual_coverage,median_center_error,median_safe_fraction,minimum_safe_fraction,median_activity_coverage
aperture_inscribed,27,0.6018610061064262,0.8162790910505267,0.06644214136378723,0.9980959634424981,0.9980011757789535,0.27197208398979406
activity_safe,27,0.4868593955321945,0.5369087743990518,0.10249587593434024,0.998162890385793,0.998023343373494,0.3125576391287967
calibrated_safe,27,0.5698047463055159,0.7982646420824295,0.08759403188447572,0.9980728335991493,0.9980015987210232,0.3258260225513506
