growth_run_id,true__log_rq_nm,predicted__log_rq_nm,true__unit_ra,predicted__unit_ra,true__unit_psd_mid_fraction,predicted__unit_psd_mid_fraction,true__unit_psd_high_fraction,predicted__unit_psd_high_fraction,true__unit_psd_slope,predicted__unit_psd_slope,true__log_unit_autocorr_length_nm,predicted__log_unit_autocorr_length_nm,true__log_unit_anisotropy_ratio,predicted__log_unit_anisotropy_ratio,true__unit_skewness,predicted__unit_skewness,true__unit_kurtosis,predicted__unit_kurtosis
6022,-0.5873580574989319,-0.09732331335544586,-0.7944891452789307,-0.11756089329719543,-0.43512508273124695,0.21609796583652496,-0.401847243309021,0.36246973276138306,0.1728261560201645,0.36961087584495544,1.7966293096542358,-0.1114409863948822,0.9674103856086731,0.025548575446009636,-1.7802503108978271,0.1993577480316162,2.284226894378662,0.019470451399683952
6028,1.1893994808197021,-0.11382146924734116,-0.39137741923332214,0.017276331782341003,-0.5848661065101624,-0.010068029165267944,-0.4988684356212616,-0.006250997073948383,-0.5664664506912231,-0.005994745530188084,0.1453334540128708,-0.021099254488945007,0.26126551628112793,-0.04347726330161095,-0.9208219647407532,0.017808374017477036,0.16241861879825592,-0.013755561783909798
6029,-0.0809369906783104,0.03863561898469925,0.48663240671157837,0.053175147622823715,-0.472621351480484,-0.11173275858163834,-0.5274146795272827,-0.15979376435279846,-0.7766117453575134,-0.16873738169670105,0.1453334540128708,-0.02790181152522564,0.26126551628112793,-0.09197218716144562,0.20729497075080872,-0.07744710892438889,-0.3409166932106018,-0.058552294969558716
6033,-0.2515026926994324,-0.23274517059326172,0.49768534302711487,0.09720790386199951,-0.43284645676612854,-0.1816130131483078,-0.5019165873527527,-0.27557939291000366,-0.712698757648468,-0.29275116324424744,-0.38358014822006226,-0.007047574035823345,0.26126551628112793,-0.12489121407270432,0.7009848952293396,-0.1442601978778839,-0.8589287400245667,-0.0735604539513588
6047,0.5057553648948669,-0.04252847656607628,-0.6274433732032776,0.10249797254800797,-0.3278157711029053,-0.1225331723690033,-0.4197324216365814,-0.16957825422286987,-0.20840224623680115,-0.20065654814243317,-0.38358014822006226,-0.004982717335224152,-0.4659861624240875,-0.06283989548683167,-0.6735636591911316,-0.03987954929471016,0.3829682469367981,-0.09144727140665054
6048,-0.4392071068286896,-0.15394006669521332,0.39833781123161316,0.41978147625923157,-0.42785099148750305,-0.6545555591583252,-0.4921377897262573,-1.0505808591842651,-0.6313400268554688,-1.1511036157608032,0.1453334540128708,-0.08594853430986404,-0.16626359522342682,-0.3498041033744812,0.46574103832244873,-0.45711517333984375,-0.7024054527282715,-0.3388465344905853
6056,0.07272160798311234,-0.007175280712544918,0.037370286881923676,-0.05773315206170082,0.43669864535331726,0.03081769123673439,-0.0890514925122261,0.10730823129415512,0.39739328622817993,0.10031070560216904,-0.5328859090805054,0.01265025045722723,-0.4659861624240875,0.027146052569150925,0.19589191675186157,0.014445674605667591,-0.3201988637447357,0.05878860875964165
6057,0.7625225782394409,-0.18558745086193085,-0.45063579082489014,-0.2689478397369385,-0.20329126715660095,0.40790918469429016,-0.3804374039173126,0.6667938828468323,-0.07801903784275055,0.7243582606315613,0.1453334540128708,0.005427869502454996,-0.5937926769256592,0.22731594741344452,-0.26566559076309204,0.21303175389766693,0.05428276211023331,0.2653004825115204
6062,0.382903128862381,0.016278116032481194,-1.6626063585281372,0.47279152274131775,-0.9351676106452942,-0.3956930339336395,-0.5835409760475159,-0.6434314250946045,-0.9559966921806335,-0.6954272389411926,-1.3247967958450317,0.0828283429145813,-0.7186570763587952,-0.16834509372711182,-1.7236464023590088,-0.05193344131112099,2.073826313018799,-0.49392279982566833
6063,1.1986654996871948,-0.17033877968788147,-0.7565094232559204,-0.1401023417711258,-0.5212615728378296,0.24341079592704773,-0.5420802235603333,0.38971033692359924,-1.2526462078094482,0.4711005985736847,-0.38358014822006226,0.019655805081129074,-0.5937926769256592,0.11562162637710571,-1.214792013168335,0.15850532054901123,0.47320473194122314,0.1340343952178955
