descriptor,mae,rmse,correlation
height_mean,0.02234619111,0.0264293626,
height_std,5.383156776,6.425776005,-0.03935450673
rq,5.383156776,6.425776005,-0.03935450673
ra,3.604538918,4.262900352,-0.03592283407
peak_to_valley,55.93366623,66.68401337,-0.01293067542
p01,20.22105217,24.85422134,0.1051535294
p05,9.168449402,11.04166317,0.03984379545
p50,0.7038418055,1.054958224,-0.4130697786
p95,7.05278635,8.269739151,-0.04061035282
p99,10.60883904,12.5041666,0.02533140491
robust_range,30.8298912,37.07340622,-0.01051012662
skewness,1.309696436,1.466890454,-0.04612572335
kurtosis,6.538508415,7.474946499,0.04722457221
mean_abs_gradient,0.4962686002,0.582324326,-0.1301855053
gradient_std,0.5837503672,0.6610135436,-0.232924391
gradient_orientation_entropy,0.004604741931,0.00625866605,0.005091060307
gradient_anisotropy,0.0934882015,0.1281310767,0.1255272562
psd_low_power,5.036774635,5.19695425,-0.1636664538
psd_mid_power,4.036427021,4.268731594,-0.2311504509
psd_high_power,3.4976964,3.55325222,-0.01774277266
psd_slope,0.6997255087,0.7786642909,0.1747342451
autocorrelation_length_px,7.65625,8.338540077,-0.01312498718
island_coverage,0,0,
island_count,103.9375,113.759613,0.2467128418
island_mean_area_px,348.8695679,406.3857422,0.4577854339
height_min,42.05348969,51.14345169,0.1544372222
height_max,13.88017464,16.11349869,0.008662275737
slope_p50,0.3015828729,0.375536263,-0.05569313051
slope_p95,1.555202961,1.757905364,-0.1929380819
slope_p99,2.747974396,3.06619668,-0.2626717773
psd_peak_frequency,0.01940507255,0.02379123122,0.1810537696
island_mean_height,5.350277901,6.241856098,-0.06775535908
