method,growth_group_count,median_cross_validation_fold,median_island_feature_mae_z,median_island_feature_rmse_z,median_afm_prior_mahalanobis,median_held_real_afm_prior_mahalanobis,median_afm_likeness_percentile,median_held_real_likeness_percentile,median_boundary_ratio_q70_absolute_error,median_median_area_q70_log_absolute_error,median_component_count_q70_log_absolute_error,median_generated__log_component_count_q55,median_true__log_component_count_q55,median_generated__log_component_count_q70,median_true__log_component_count_q70,median_generated__log_component_count_q82,median_true__log_component_count_q82,median_generated__log_median_area_q55,median_true__log_median_area_q55,median_generated__log_median_area_q70,median_true__log_median_area_q70,median_generated__log_median_area_q82,median_true__log_median_area_q82,median_generated__median_solidity_q70,median_true__median_solidity_q70,median_generated__median_eccentricity_q70,median_true__median_eccentricity_q70,median_generated__boundary_gradient_ratio_q55,median_true__boundary_gradient_ratio_q55,median_generated__boundary_gradient_ratio_q70,median_true__boundary_gradient_ratio_q70,median_generated__boundary_gradient_ratio_q82,median_true__boundary_gradient_ratio_q82,median_generated__log_valley_component_count_q18,median_true__log_valley_component_count_q18,median_generated__log_valley_median_area_q18,median_true__log_valley_median_area_q18,median_generated__gradient_p90,median_true__gradient_p90,median_generated__laplacian_rms,median_true__laplacian_rms,median_generated__flat_fraction,median_true__flat_fraction
M5_cloudlike_spectral_hybrid,3,1.0,1.5194734197615036,1.9966068735318205,8.449830682814824,2.9622902259698,6.666666666666667,66.66666666666667,0.14927512407302856,1.1991128983408652,0.26685972181592144,2.1972245773362196,2.3978952727983707,2.623512036080243,2.8903717578961645,3.3619162204106043,3.044522437723423,3.037673015544342,4.543294782270004,3.3576916931673404,4.634728988229636,3.5800346037980635,4.204692619390966,0.8824200913242009,0.8736479842674533,0.8317648844605217,0.8168899108266634,1.2094593048095703,1.3104304075241089,1.1871716380119324,1.174737811088562,1.1627548336982727,1.1723089814186096,2.995732273553991,3.6375861597263857,3.2430803944720443,3.676300671907076,0.4467376321554184,0.5960701107978821,0.21234209835529327,0.25343936681747437,0.064422607421875,0.10955810546875
M6a_superellipse_island_primitives,3,1.0,2.656968190432861,4.236266100069927,25.847452664336252,2.9622902259698,6.666666666666667,66.66666666666667,0.10519200563430786,0.4238924934502233,0.16202485831132796,2.8903717578961645,2.3978952727983707,2.8029010331479984,2.8903717578961645,2.7403194616709956,3.044522437723423,2.607467878804493,4.543294782270004,4.210836494779413,4.634728988229636,4.323013031629603,4.204692619390966,0.8984262912482066,0.8736479842674533,0.8066916714297254,0.8168899108266634,0.6806588470935822,1.3104304075241089,1.263778269290924,1.174737811088562,2.4786388874053955,1.1723089814186096,2.884160497896886,3.6375861597263857,4.17432809479645,3.676300671907076,0.4897327125072479,0.5960701107978821,0.17739418894052505,0.25343936681747437,0.3375244140625,0.10955810546875
M6b_multiscale_laguerre_terraces,3,1.0,5.955934128747006,7.452284628475476,29.210276703890365,2.9622902259698,6.666666666666667,66.66666666666667,0.9446233510971069,1.2408037028103909,1.60441274450735,1.0397207708399179,2.3978952727983707,1.354025100551105,2.8903717578961645,1.9560115027140732,3.044522437723423,2.5619819897016294,4.543294782270004,3.3160008886978147,4.634728988229636,3.9882977046582884,4.204692619390966,0.8749843379911761,0.8736479842674533,0.6685861816684291,0.8168899108266634,2.578869938850403,1.3104304075241089,2.087157666683197,1.174737811088562,2.1147186756134033,1.1723089814186096,1.5890269151739727,3.6375861597263857,4.32008137687996,3.676300671907076,0.32330015301704407,0.5960701107978821,0.11334532871842384,0.25343936681747437,0.532135009765625,0.10955810546875
M6c_island_structure_plus_spectral_prior,3,1.0,2.124317847125031,2.7035979810414728,8.446385330761705,2.9622902259698,6.666666666666667,66.66666666666667,0.1324060559272766,1.780563624070604,0.5343796627592141,2.0126758453675744,2.3978952727983707,2.4337672252277915,2.8903717578961645,2.888826161611328,3.044522437723423,3.1815140517702325,4.543294782270004,2.92896657724173,4.634728988229636,2.7557052910043724,4.204692619390966,0.8891774891774891,0.8736479842674533,0.7786915497607754,0.8168899108266634,1.3322467803955078,1.3104304075241089,1.3071438670158386,1.174737811088562,1.2618470788002014,1.1723089814186096,2.8173948015846246,3.6375861597263857,2.8392323333359553,3.676300671907076,0.3394099622964859,0.5960701107978821,0.14883030951023102,0.25343936681747437,0.133270263671875,0.10955810546875
