modality,sample_id,path,expected_sha256,actual_sha256,hash_match,expected_size_bytes,actual_size_bytes,size_match,selected_for_modeling,expected_mtime_ns,actual_mtime_ns,mtime_match
AFM,N6324,data/AFM-extra-five/N6324/N6324_2um_1.000,12c353bf7753b04285f2f9b73a4d856284c5c461501f189f0b48b4084d1783e2,12c353bf7753b04285f2f9b73a4d856284c5c461501f189f0b48b4084d1783e2,True,4235264,4235264,True,False,,,
AFM,N6324,data/AFM-extra-five/N6324/N6324_2um_2.000,517a0d8ed79fcb55d39bfff74471b7312edc5618a2b6496c5699594e31f234ce,517a0d8ed79fcb55d39bfff74471b7312edc5618a2b6496c5699594e31f234ce,True,4235264,4235264,True,False,,,
AFM,N6324,data/AFM-extra-five/N6324/N6324_2um_3.000,df4340460db087e69b187d5d56755faa19c5d1e641b44aed57b77d5465d734c6,df4340460db087e69b187d5d56755faa19c5d1e641b44aed57b77d5465d734c6,True,4235264,4235264,True,False,,,
AFM,N6324,data/AFM-extra-five/N6324/N6324_2um_4.000,5e0e8d32c1af5acb1ef243bad44a030029967b98362594856da50ad2f4f772d6,5e0e8d32c1af5acb1ef243bad44a030029967b98362594856da50ad2f4f772d6,True,4235264,4235264,True,False,,,
AFM,N6324,data/AFM-extra-five/N6324/N6324_2um_5.000,a45adf902161f75897e99f654b0602db3d89f931049d60345440ab955d662de2,a45adf902161f75897e99f654b0602db3d89f931049d60345440ab955d662de2,True,4235264,4235264,True,False,,,
AFM,N6342,data/AFM-extra-five/N6342/N6342_2um_1.000,fd79ddcbce7a7376ecb241bfeb78541b9ac54b2fdab11dbb91ebb84481d68761,fd79ddcbce7a7376ecb241bfeb78541b9ac54b2fdab11dbb91ebb84481d68761,True,4235264,4235264,True,True,,,
AFM,N6342,data/AFM-extra-five/N6342/N6342_2um_2.000,cf4e14a5df8888283d3e77949bf2df88df2469e01d6709a9ec82b87fa1be4726,cf4e14a5df8888283d3e77949bf2df88df2469e01d6709a9ec82b87fa1be4726,True,4235264,4235264,True,True,,,
AFM,N6342,data/AFM-extra-five/N6342/N6342_2um_3.000,80aca89fc4174a734e06e30c2699b9ea1ffde8eb1d104ec083eb05e58b5fb210,80aca89fc4174a734e06e30c2699b9ea1ffde8eb1d104ec083eb05e58b5fb210,True,4235264,4235264,True,True,,,
AFM,N6342,data/AFM-extra-five/N6342/N6342_2um_4.000,f05d05ca724c8b1e2b92896f68bb5c09a692615115aa096d7c5053c431218f35,f05d05ca724c8b1e2b92896f68bb5c09a692615115aa096d7c5053c431218f35,True,4235264,4235264,True,True,,,
AFM,N6342,data/AFM-extra-five/N6342/N6342_2um_5.000,ece79fb1b45dd837251a8500097a78ca4a96a907fb6c68fa3749475855d4fcb4,ece79fb1b45dd837251a8500097a78ca4a96a907fb6c68fa3749475855d4fcb4,True,4235264,4235264,True,True,,,
AFM,N6358,data/AFM-extra-five/M6358/N6358_2um_1.000,1b9e2c5891b610467d34760de6482592317a3ab75bd680b78b26b6a13fe20771,1b9e2c5891b610467d34760de6482592317a3ab75bd680b78b26b6a13fe20771,True,4235264,4235264,True,True,,,
AFM,N6358,data/AFM-extra-five/M6358/N6358_2um_2.000,fea94e883c81c6a08405a43990e53238bffc3bc93fbe5c11d1706d9b431afb0a,fea94e883c81c6a08405a43990e53238bffc3bc93fbe5c11d1706d9b431afb0a,True,4235264,4235264,True,True,,,
AFM,N6358,data/AFM-extra-five/M6358/N6358_2um_3.000,80fd4ac81ff78859bfca2f38a77cb2e7fbeb9251d26003fce04920a8057ac0f5,80fd4ac81ff78859bfca2f38a77cb2e7fbeb9251d26003fce04920a8057ac0f5,True,4235264,4235264,True,True,,,
AFM,N6358,data/AFM-extra-five/M6358/N6358_2um_4.000,bd34bc6bdfbafc81379d4ebd237b80dcc83a5b90ca34c70e279e774bf91f0a3e,bd34bc6bdfbafc81379d4ebd237b80dcc83a5b90ca34c70e279e774bf91f0a3e,True,4235264,4235264,True,True,,,
AFM,N6358,data/AFM-extra-five/M6358/N6358_2um_5.000,58255fb1bee7fa2cf6d264ca810fa63dae22bc6fbdef23ddf8422baeeab1cfb2,58255fb1bee7fa2cf6d264ca810fa63dae22bc6fbdef23ddf8422baeeab1cfb2,True,4235264,4235264,True,True,,,
AFM,N6382,data/AFM-extra-five/N6382/N6382_2um_1.000,f08ae612d45cfb94231f6a91ebcac76e77a1c9fedcd24e524ba201d9c5331f09,f08ae612d45cfb94231f6a91ebcac76e77a1c9fedcd24e524ba201d9c5331f09,True,4235264,4235264,True,True,,,
AFM,N6382,data/AFM-extra-five/N6382/N6382_2um_2.000,ae10dd26e8a6b2151d154287091a72dc54a93ff1cb34d0947a04d174c5373163,ae10dd26e8a6b2151d154287091a72dc54a93ff1cb34d0947a04d174c5373163,True,4235264,4235264,True,True,,,
AFM,N6382,data/AFM-extra-five/N6382/N6382_2um_3.000,4c9533853ce08b5a1335d012090f88905c55f86217bc44427fc544a26ce7039f,4c9533853ce08b5a1335d012090f88905c55f86217bc44427fc544a26ce7039f,True,4235264,4235264,True,True,,,
AFM,N6382,data/AFM-extra-five/N6382/N6382_2um_4.000,2ebb5d61b732f9de9c36e52e7f82bc9186185a299829a392251d1f94226c1db9,2ebb5d61b732f9de9c36e52e7f82bc9186185a299829a392251d1f94226c1db9,True,4235264,4235264,True,True,,,
AFM,N6382,data/AFM-extra-five/N6382/N6382_2um_5.000,0074f358815162fc28ad1b3df872823defef093f4559eea638c3a24031b3d92e,0074f358815162fc28ad1b3df872823defef093f4559eea638c3a24031b3d92e,True,4235264,4235264,True,True,,,
AFM,N6389,data/AFM-extra-five/N6389/N6389_2um_1.000,e3ba1b28ba66062e31242be08f40ec991bd4294aa37c8c92ad6b33dc6eaf4bc0,e3ba1b28ba66062e31242be08f40ec991bd4294aa37c8c92ad6b33dc6eaf4bc0,True,4235264,4235264,True,True,,,
AFM,N6389,data/AFM-extra-five/N6389/N6389_2um_2.000,a719cc8b9ad021a7cd1119a2a19a1aefb2a92cd98d50063f26989cc89d5ca281,a719cc8b9ad021a7cd1119a2a19a1aefb2a92cd98d50063f26989cc89d5ca281,True,4235264,4235264,True,True,,,
AFM,N6389,data/AFM-extra-five/N6389/N6389_2um_3.000,46f00a11be8ca22d61302050d8dc5c045f06a476205dfec0fecff200638d3120,46f00a11be8ca22d61302050d8dc5c045f06a476205dfec0fecff200638d3120,True,4235264,4235264,True,True,,,
AFM,N6389,data/AFM-extra-five/N6389/N6389_2um_4.000,50158db2d3556e34b1e678853e404b943268ebc8fa3102c86c35f126a1834cf1,50158db2d3556e34b1e678853e404b943268ebc8fa3102c86c35f126a1834cf1,True,4235264,4235264,True,True,,,
AFM,N6389,data/AFM-extra-five/N6389/N6389_2um_5.000,668f2f1e90938d3df71ba6aca3621ce8cf120fed77dbaea85fc7be312513ef22,668f2f1e90938d3df71ba6aca3621ce8cf120fed77dbaea85fc7be312513ef22,True,4235264,4235264,True,True,,,
AFM,N6390,data/AFM-extra-five/N6390/N6390_2um_1.0_00000.spm,a35995899302e4aed0daaac7754e289a5b71438a54422069330f3ee7272e19c5,a35995899302e4aed0daaac7754e289a5b71438a54422069330f3ee7272e19c5,True,8469568,8469568,True,True,,,
AFM,N6390,data/AFM-extra-five/N6390/N6390_2um_1.0_00001.spm,93fdea3090a4dbb9a3aa0d36acd6f20774c03db68bd11e0ccf7d4926600db58b,93fdea3090a4dbb9a3aa0d36acd6f20774c03db68bd11e0ccf7d4926600db58b,True,8469568,8469568,True,True,,,
