sample_directory,sample_id,raw_afm_path,raw_afm_sha256,size_bytes,decision,decision_reason,raw_data_modified
N6324,N6324,data/AFM-extra-five/N6324/N6324_2um_1.000,12c353bf7753b04285f2f9b73a4d856284c5c461501f189f0b48b4084d1783e2,4235264,excluded,operator-declared rejected sample; N6324 must not be used,False
N6324,N6324,data/AFM-extra-five/N6324/N6324_2um_2.000,517a0d8ed79fcb55d39bfff74471b7312edc5618a2b6496c5699594e31f234ce,4235264,excluded,operator-declared rejected sample; N6324 must not be used,False
N6324,N6324,data/AFM-extra-five/N6324/N6324_2um_3.000,df4340460db087e69b187d5d56755faa19c5d1e641b44aed57b77d5465d734c6,4235264,excluded,operator-declared rejected sample; N6324 must not be used,False
N6324,N6324,data/AFM-extra-five/N6324/N6324_2um_4.000,5e0e8d32c1af5acb1ef243bad44a030029967b98362594856da50ad2f4f772d6,4235264,excluded,operator-declared rejected sample; N6324 must not be used,False
N6324,N6324,data/AFM-extra-five/N6324/N6324_2um_5.000,a45adf902161f75897e99f654b0602db3d89f931049d60345440ab955d662de2,4235264,excluded,operator-declared rejected sample; N6324 must not be used,False
N6342,N6342,data/AFM-extra-five/N6342/N6342_2um_1.000,fd79ddcbce7a7376ecb241bfeb78541b9ac54b2fdab11dbb91ebb84481d68761,4235264,include,declared extra-five growth,False
N6342,N6342,data/AFM-extra-five/N6342/N6342_2um_2.000,cf4e14a5df8888283d3e77949bf2df88df2469e01d6709a9ec82b87fa1be4726,4235264,include,declared extra-five growth,False
N6342,N6342,data/AFM-extra-five/N6342/N6342_2um_3.000,80aca89fc4174a734e06e30c2699b9ea1ffde8eb1d104ec083eb05e58b5fb210,4235264,include,declared extra-five growth,False
N6342,N6342,data/AFM-extra-five/N6342/N6342_2um_4.000,f05d05ca724c8b1e2b92896f68bb5c09a692615115aa096d7c5053c431218f35,4235264,include,declared extra-five growth,False
N6342,N6342,data/AFM-extra-five/N6342/N6342_2um_5.000,ece79fb1b45dd837251a8500097a78ca4a96a907fb6c68fa3749475855d4fcb4,4235264,include,declared extra-five growth,False
