sample_directory,sample_id,raw_afm_path,raw_afm_sha256,size_bytes,decision,decision_reason,raw_data_modified
M6358,N6358,data/AFM-extra-five/M6358/N6358_2um_1.000,1b9e2c5891b610467d34760de6482592317a3ab75bd680b78b26b6a13fe20771,4235264,include,declared extra-five growth,False
M6358,N6358,data/AFM-extra-five/M6358/N6358_2um_2.000,fea94e883c81c6a08405a43990e53238bffc3bc93fbe5c11d1706d9b431afb0a,4235264,include,declared extra-five growth,False
M6358,N6358,data/AFM-extra-five/M6358/N6358_2um_3.000,80fd4ac81ff78859bfca2f38a77cb2e7fbeb9251d26003fce04920a8057ac0f5,4235264,include,declared extra-five growth,False
M6358,N6358,data/AFM-extra-five/M6358/N6358_2um_4.000,bd34bc6bdfbafc81379d4ebd237b80dcc83a5b90ca34c70e279e774bf91f0a3e,4235264,include,declared extra-five growth,False
M6358,N6358,data/AFM-extra-five/M6358/N6358_2um_5.000,58255fb1bee7fa2cf6d264ca810fa63dae22bc6fbdef23ddf8422baeeab1cfb2,4235264,include,declared extra-five growth,False
N6382,N6382,data/AFM-extra-five/N6382/N6382_2um_1.000,f08ae612d45cfb94231f6a91ebcac76e77a1c9fedcd24e524ba201d9c5331f09,4235264,include,declared extra-five growth,False
N6382,N6382,data/AFM-extra-five/N6382/N6382_2um_2.000,ae10dd26e8a6b2151d154287091a72dc54a93ff1cb34d0947a04d174c5373163,4235264,include,declared extra-five growth,False
N6382,N6382,data/AFM-extra-five/N6382/N6382_2um_3.000,4c9533853ce08b5a1335d012090f88905c55f86217bc44427fc544a26ce7039f,4235264,include,declared extra-five growth,False
N6382,N6382,data/AFM-extra-five/N6382/N6382_2um_4.000,2ebb5d61b732f9de9c36e52e7f82bc9186185a299829a392251d1f94226c1db9,4235264,include,declared extra-five growth,False
N6382,N6382,data/AFM-extra-five/N6382/N6382_2um_5.000,0074f358815162fc28ad1b3df872823defef093f4559eea638c3a24031b3d92e,4235264,include,declared extra-five growth,False
N6389,N6389,data/AFM-extra-five/N6389/N6389_2um_1.000,e3ba1b28ba66062e31242be08f40ec991bd4294aa37c8c92ad6b33dc6eaf4bc0,4235264,include,declared extra-five growth,False
N6389,N6389,data/AFM-extra-five/N6389/N6389_2um_2.000,a719cc8b9ad021a7cd1119a2a19a1aefb2a92cd98d50063f26989cc89d5ca281,4235264,include,declared extra-five growth,False
N6389,N6389,data/AFM-extra-five/N6389/N6389_2um_3.000,46f00a11be8ca22d61302050d8dc5c045f06a476205dfec0fecff200638d3120,4235264,include,declared extra-five growth,False
N6389,N6389,data/AFM-extra-five/N6389/N6389_2um_4.000,50158db2d3556e34b1e678853e404b943268ebc8fa3102c86c35f126a1834cf1,4235264,include,declared extra-five growth,False
N6389,N6389,data/AFM-extra-five/N6389/N6389_2um_5.000,668f2f1e90938d3df71ba6aca3621ce8cf120fed77dbaea85fc7be312513ef22,4235264,include,declared extra-five growth,False
N6390,N6390,data/AFM-extra-five/N6390/N6390_2um_1.0_00000.spm,a35995899302e4aed0daaac7754e289a5b71438a54422069330f3ee7272e19c5,8469568,include,declared extra-five growth,False
N6390,N6390,data/AFM-extra-five/N6390/N6390_2um_1.0_00001.spm,93fdea3090a4dbb9a3aa0d36acd6f20774c03db68bd11e0ccf7d4926600db58b,8469568,include,declared extra-five growth,False
N6390,N6390,data/AFM-extra-five/N6390/N6390_2um_2.0_00000.spm,c9471928b4104eaabfb57f93d2ee9f1c87f847e6456c2acd40bd3cdae6d05405,8469568,include,declared extra-five growth,False
N6390,N6390,data/AFM-extra-five/N6390/N6390_2um_3.0_00000.spm,a017288dda07933113a12e0a47d5553539a30a921f8da99c450243efea58632d,8469568,include,declared extra-five growth,False
N6390,N6390,data/AFM-extra-five/N6390/N6390_2um_4.0_00000.spm,c962075e7b3aa2071e312c868ca74e5840edb7c03cb360c2ef0fa3955cab425f,8469568,include,declared extra-five growth,False
N6390,N6390,data/AFM-extra-five/N6390/N6390_2um_5.0_00000.spm,0135a270bc8cf92283594775043a9eedb5f5ae9232155558eccbab62ec05f1bd,8469568,include,declared extra-five growth,False
