cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass,island_feature_mae_z,afm_likeness_percentile,true_fsmi_nm,generated_functional_surface_morphology_index_nm,fsmi_absolute_error_nm,cohort_origin
23,N6342,M10_dense_island_spectral_pareto,0.8041046559810638,1.7402825266275856,0.9361778706465218,1.5807079076766968,1.1238362193107605,1.114773452281952,1.0081296939842417,1.0905516147613523,1.3527640104293823,0.0052678902033559,42.84086852413584,0.0076889606643822,0.0489243781566623,0.0309925172150724,0.8041038886491682,7.673318956902264e-07,0.4020312744365422,0.0019778973377343,0.0018023084680343,0.0001755888696999,0.024391102313777,23.62204724409449,0.75,0.25,0.0629725615130384,0.0053143609482044,0.0475662769270791,0.0095621385097549,0.4020312744365422,23.62204724409449,0.994732109796644,8.982891239676858,0.9924837350845336,0.0457588704353748,False,0.3229609131813049,0.4230566322803497,0.236601228917063,0.3788544535636902,0.5073041617870331,0.2532005804384988,0.531931608915329,0.6329904496669769,0.1596530260524721,1.002255082130432,0.9881450533866882,0.0142793091918887,1.014218807220459,4.142215013504028,0.7551506129174835,0.0002212967509792,0.0004306386191788,0.486119588156801,4.735953568220139,4.785787682533265,0.0104129388136055,0.0645990022642786,0.1547126465115249,0.5824581653739179,3.0715058404008415,3.3262159714676907,0.076576546217009,0.763398771082937,True,1.0498187190769237,14.285714285714286,0.7560989711345802,1.3699329974486698,0.6138340263140896,extra5
23,N6342,M12a_edge_preserving_terrace,0.8041046559810638,1.7402825266275856,0.9361778706465218,2.398324966430664,1.1476036310195925,1.114773452281952,1.0294500902137889,1.1195398569107056,1.4061062335968018,0.0096576334247421,41.0366349168803,0.03813187084808,0.574901082515717,0.0723622330872695,0.8041038730802741,7.829007897530715e-07,1.6239988006497768,0.0032711014907603,0.0028951341616064,0.0003759673291539,0.8704843656013663,31.496062992125985,1.0,0.125,0.0220422280770301,0.9274169163025924,0.1456651630252595,0.0474215250562318,1.6239988006497768,31.496062992125985,0.990342366575258,9.065410634682308,1.0492005348205566,0.0411610621842836,False,0.2700620591640472,0.4230566322803497,0.3616408807767291,0.3380538076162338,0.5073041617870331,0.3336269775012229,0.3185303658246994,0.6329904496669769,0.4967848788361947,1.0161601901054382,0.9881450533866882,0.028351239145238,1.1042091250419617,4.142215013504028,0.7334254447337641,3.049264978626252e-05,0.0004306386191788,0.9291920222008748,4.3152496004104615,4.785787682533265,0.0983198823968164,0.2131233583524079,0.1547126465115249,0.3775432271241755,2.4938306623530515,3.3262159714676907,0.2502499285238383,0.6383591192232709,False,1.7282620119809635,10.714285714285714,0.7560989711345802,1.392293280037139,0.6361943089025588,extra5
24,N6358,M10_dense_island_spectral_pareto,0.9793977737426758,1.9402559892617608,0.960858215519085,1.2174029350280762,1.0828633904457092,1.1165079474449158,0.9698662628634208,1.111261010169983,1.41123628616333,0.0127103501601883,40.431362573609974,0.0124646931686667,0.0512931871414181,0.0365382133602814,0.9793967805967454,9.931459303835766e-07,0.3910266521692525,0.0003849518000809,0.0003045697532262,8.038204685444493e-05,0.2122694788833641,15.748031496062993,0.4,0.1999999999999999,0.1760736618362878,0.1675556066823409,0.067548189163208,0.012726895586275,0.3910266521692525,15.748031496062993,0.9872896498398116,8.412441703731234,1.0348811149597168,0.041116746345495,False,0.3482046872377395,0.3363641053438186,0.035201680874414,0.4073798507452011,0.4042454063892364,0.0077538156437245,0.5710266530513763,0.4878641366958618,0.1704624507116797,1.0380091071128843,0.9552905559539796,0.0865899392005398,0.9723031222820282,5.087141513824463,0.808870439393171,0.0002628452971006,0.0002165515610206,0.2137769677660254,4.692685023546219,4.807016297578812,0.0237842493045382,0.0871571847877295,0.0104617451728564,7.331036872687725,3.114936416711146,3.4292355816221622,0.0916528355751924,1.035201680874414,True,0.5939851301678627,14.285714285714286,0.8146778778150339,1.5551411807252615,0.7404633029102277,extra5
24,N6358,M12a_edge_preserving_terrace,0.9793977737426758,1.9402559892617608,0.960858215519085,1.7234649658203125,1.096453845500946,1.1165079474449158,0.9820385497569788,1.0911672115325928,1.3830660581588743,0.0279378667187597,36.797165031423106,0.0396978772660873,0.3677966427803039,0.0694318181916622,0.9793968281717969,9.45570878929658e-07,1.00222334288635,0.0012188901710227,0.0010380613478028,0.0001808288232197,0.6791886920409387,15.748031496062993,0.4,0.1999999999999999,0.1761570035863153,0.7022159199299547,0.0953856406999487,0.0405329459490063,1.00222334288635,15.748031496062993,0.9720621332812402,7.871614068583643,1.033072590827942,0.0422158775141938,False,0.291607454419136,0.3363641053438186,0.1330601280387336,0.3611181825399399,0.4042454063892364,0.1066857487250469,0.3441584855318069,0.4878641366958618,0.2945608015734144,1.0505387783050537,0.9552905559539796,0.0997060232171527,1.0202402472496033,5.087141513824463,0.7994472446899562,3.506694323891071e-05,0.0002165515610206,0.8380665414110217,4.261300731301308,4.807016297578812,0.1135248005196839,0.2154340251693843,0.0104617451728564,19.59255139652419,2.5248984944434314,3.4292355816221622,0.2637138993964784,0.8669398719612663,True,0.9911256116748114,10.714285714285714,0.8146778778150339,1.603299166869034,0.7886212890540001,extra5
25,N6382,M10_dense_island_spectral_pareto,1.1125519275665283,1.35332854022843,0.2407766126619017,1.3531488180160522,1.0923516750335691,1.105527639389038,0.988081741345924,1.0852434635162354,1.3747715950012207,-0.0018947952082296,43.77691269020525,0.0230760650714564,0.3144913458824163,0.0927957020918366,1.1125507794667826,1.1480997457180564e-06,1.1704613807777025,0.0016223645358137,0.0009402002409339,0.0006821642948794,0.7971147868905115,23.62204724409449,0.75,0.1071428571428572,0.2942381522827125,0.7265006829127412,0.1267770665724363,0.0207415624456883,1.1704613807777025,23.62204724409449,1.0018947952082298,9.41322699178105,1.0404934883117676,0.0392656781601315,False,0.37032251060009,0.3940049111843109,0.0601068664678205,0.4299163073301315,0.4788719415664673,0.1022311603310772,0.8220159411430359,0.5470546185970306,0.5026213346871425,0.978924721479416,0.9505957365036012,0.0298012960588399,0.9240597188472748,4.076759338378906,0.7733347391522207,0.0008636814416436,0.0002264982827776,2.8131920076926464,4.7198507583141325,4.967018510103226,0.0497617939788906,0.1836422102033464,0.5666155352426518,0.675896266902209,3.153131225848436,3.98646261623284,0.2090403123288015,0.9398931335321794,True,1.286689097215129,10.714285714285714,1.0237676864754848,1.0850220024440986,0.0612543159686138,extra5
25,N6382,M12a_edge_preserving_terrace,1.1125519275665283,1.35332854022843,0.2407766126619017,1.8571001291275024,1.1112362146377563,1.105527639389038,1.0051636657875629,1.1549690961837769,1.4680331945419312,0.0155624935206354,41.699527166601094,0.0639095850938321,0.8937720751762406,0.1165310124924622,1.1125508099264647,1.1176400636081496e-06,0.8236203590695942,0.0019366041626882,0.0017603943404448,0.0001762098222437,0.3940101955874104,23.62204724409449,0.75,0.1071428571428572,0.2641702290202241,1.5488793874757762,0.1630133895150252,0.0574441369831827,0.8236203590695942,23.62204724409449,0.9844375064793646,8.897387300116288,1.0627920627593994,0.0428930090640825,False,0.278986319899559,0.3940049111843109,0.291921719805537,0.3483652919530868,0.4788719415664673,0.272529330464575,0.3556814789772033,0.5470546185970306,0.3498245570261711,0.9501239061355592,0.9505957365036012,0.0004963522872272,0.9330332577228546,4.076759338378906,0.7711335940438739,4.968712506843003e-05,0.0002264982827776,0.7806291312273785,4.229390487670899,4.967018510103226,0.1485051889643547,0.309256180708323,0.5666155352426518,0.4542045505761067,2.4638866344150556,3.98646261623284,0.3819366010401976,0.7080782801944631,True,1.5591444609283074,10.714285714285714,1.0237676864754848,1.0866394126193266,0.0628717261438418,extra5
26,N6389,M10_dense_island_spectral_pareto,2.0189785957336426,2.025477170711332,0.0064985749776895,0.7572464346885681,1.1409244537353516,1.1141919493675232,1.02399272798821,1.1256422996520996,1.419019103050232,0.0177286068437764,43.61580421653703,0.0240467606070919,0.3943236207962037,0.1127362500142601,2.018976526649511,2.069084131139931e-06,0.8595479356934956,7.516273112639915e-05,0.0001342531798328,0.0002094159109595,0.641866262856496,7.874015748031496,0.2,0.0833333333333332,0.1829837007402704,0.4107520532883835,0.0827928726109011,0.0119103598937468,0.8595479356934956,7.874015748031496,0.9822713931562236,9.141671294222713,1.0348364114761353,0.0398948872825016,False,0.3439271450042724,0.3649488091468811,0.0576016789635503,0.4028455317020416,0.4433935284614563,0.091449229987892,0.5744300782680511,0.5091073513031006,0.1283083553944995,1.0408089756965635,0.9674664437770844,0.0758088638538644,1.030074119567871,4.594696521759033,0.7758123709172597,0.0002838842989799,0.0001181893843928,1.4019441376920203,4.778256386518478,4.91376669406891,0.0275776844907995,0.0840886025182355,0.1212890554061705,0.3067090659034224,3.1270303742377816,3.543156290020158,0.1174449789173733,0.9423983210364496,True,0.7311751015926651,35.714285714285715,1.7659275986645624,1.632043192095022,0.1338844065695403,extra5
26,N6389,M12a_edge_preserving_terrace,2.0189785957336426,2.025477170711332,0.0064985749776895,1.2283101081848145,1.1459369659423828,1.1141919493675232,1.0284915149430758,1.1325587034225464,1.412716507911682,0.012948863388218,40.6115367379549,0.1065175731424745,1.1829321432113655,0.1942487570581379,2.0189766673531895,1.9283804530978443e-06,0.688421303939713,0.0014728873659458,0.0014053308976373,6.755646830834908e-05,0.2602601106351665,15.748031496062993,0.4,0.25,0.1470572264938487,1.0202797792684293,0.1369164716345923,0.0527581496202849,0.688421303939713,15.748031496062993,0.987051136611782,8.548076323179261,1.0392980575561523,0.0362027183696637,False,0.29537034034729,0.3649488091468811,0.1906526807478574,0.3658657073974609,0.4433935284614563,0.1748510433452002,0.3446540385484695,0.5091073513031006,0.323022860176149,1.0277255177497864,0.9674664437770844,0.062285440864951,1.083775520324707,4.594696521759033,0.764124678269329,3.686719668241633e-05,0.0001181893843928,0.6880667678252828,4.365494911670685,4.91376669406891,0.1115787168039558,0.2722681336134666,0.1212890554061705,1.2447873198591584,2.5093385762510056,3.543156290020158,0.2917787501164027,0.8093473192521426,True,1.292187214396225,10.714285714285714,1.7659275986645624,1.7126797831470628,0.0532478155174995,extra5
27,N6390,M10_dense_island_spectral_pareto,1.9620892405509949,1.1791310663270234,0.7829581742239715,1.146458387374878,1.144298255443573,1.1211718320846558,1.0206270106839173,1.129481077194214,1.4060440063476562,-0.0062826950564787,44.29111048428223,0.011312405613999,0.0009959077835084,0.0500891162444363,1.9620874130182484,1.8275327464678528e-06,1.1982636204636985,0.0002300666171479,0.0006517636225895,0.0004216970054414,0.9104549798071346,23.62204724409449,0.75,0.1071428571428572,0.106798955740378,0.2282465649095986,0.036519827391021,0.0057654902589148,1.1982636204636985,23.62204724409449,1.0062826950564787,9.511307426609855,1.0135092735290527,0.0396387852942519,False,0.3690463602542877,0.400641918182373,0.0788623369003114,0.4309760928153991,0.4886756241321563,0.118073274923885,0.717873215675354,0.5742148160934448,0.2501823282082135,0.9808454811573027,0.984565645456314,0.0037784827412773,0.9435514509677888,4.026071786880493,0.7656396853025621,0.0005597312236881,0.0001322256172753,3.2331526615046213,4.777727584838868,4.818722552061081,0.0085074346529202,0.112408697452902,0.0435271997952927,1.5824931992307585,3.262110131163417,3.2264753758877633,0.0110444838792078,0.9211376630996884,True,0.996173742449147,14.285714285714286,1.7769079672453123,0.9662349098555854,0.810673057389727,extra5
27,N6390,M12a_edge_preserving_terrace,1.9620892405509949,1.1791310663270234,0.7829581742239715,1.2901734113693235,1.1745195388793943,1.1211718320846558,1.047582096934728,1.1229209899902344,1.3909204006195068,0.0290568603430079,41.216781660741304,0.0826542372514222,1.2847775673866266,0.206743737440366,1.962087300705598,1.939845396758954e-06,0.8149543478907035,0.0027370502917389,0.0026534830619804,8.356722975869408e-05,0.2072286865841137,23.62204724409449,0.75,0.25,0.1656257636736268,0.8773043737468309,0.1660799119674735,0.0421256240830636,0.8149543478907035,23.62204724409449,0.970943139656992,8.797348937276293,1.0654938220977783,0.0380606214629525,False,0.2912424206733703,0.400641918182373,0.2730605374627919,0.3652575463056564,0.4886756241321563,0.2525562392142625,0.3535245805978775,0.5742148160934448,0.3843339274959657,0.9472914934158324,0.984565645456314,0.0378584731373662,0.9701992869377136,4.026071786880493,0.7590208674124388,4.367242417972445e-05,0.0001322256172753,0.669712835684607,4.321632972955704,4.818722552061081,0.1031579580967491,0.2437635432288586,0.0435271997952927,4.600257870372361,2.5588211103323797,3.2264753758877633,0.2069299119853592,0.7269394625372081,True,1.5002550082884558,10.714285714285714,1.7769079672453123,0.9838030471879432,0.7931049200573692,extra5
