cohort,target,growth_count,true_min_nm,true_max_nm,true_range_nm,mae_nm,median_absolute_error_nm,rmse_nm,pearson_r,pearson_p,spearman_rho,spearman_p,confidence_vs_absolute_error_spearman,confidence_vs_absolute_error_p,interval_coverage
full28,Rq_nm,28,0.481030598282814,9.394835472106934,8.91380487382412,1.2838630719777657,0.9328352432466751,1.6646173550036591,0.6606982248248057,0.00012985076479100633,0.5062944718117133,0.0059768656460598485,-0.5288079972882207,0.003814422577998119,0.8928571428571429
full28,FSMI_nm,28,0.3286650711030523,8.69575314178455,8.367088070681497,1.1344918908066295,0.8390702921401128,1.4819808670028238,0.6611895241940313,0.0001278364855444451,0.49863163656267107,0.006917477178805763,-0.362392230025675,0.0580703886253916,0.8928571428571429
original23,Rq_nm,23,0.481030598282814,9.394835472106934,8.91380487382412,1.4356911551020985,0.9477186388742602,1.8071826458202351,0.6311624217178246,0.0012398643832862806,0.4782608695652174,0.020977370019714642,-0.525327419051968,0.01004906514702684,0.8695652173913043
original23,FSMI_nm,23,0.3286650711030523,8.69575314178455,8.367088070681497,1.2646300120495653,0.9235762940443512,1.6085411856212315,0.6345194344960132,0.0011458955686463367,0.49604743083003955,0.016070080574978426,-0.2648875791268625,0.22190496354882347,0.8695652173913043
extra5,Rq_nm,5,0.8041046559810638,2.0189785957336426,1.2148739397525787,0.5854538896058339,0.7829581742239715,0.7029532882182985,-0.14595957456871375,0.8148204899723501,0.09999999999999999,0.8728885715695384,0.0,1.0,1.0
extra5,FSMI_nm,5,0.7560989711345802,1.7769079672453123,1.020808996110732,0.5358565330891247,0.6995319953538315,0.6301071290239376,-0.11238684353887621,0.8572064347172228,-0.3,0.623837664781073,0.0,1.0,1.0
