method,cohort,growth_count,generated_sq_mae_nm,generated_fsmi_mae_nm,median_ssim,median_physical_psd_distance,median_sharpness_ratio,texture_gate_pass_fraction,median_island_feature_mae_z,median_afm_likeness_percentile,maximum_exact_training_pixel_equality
M10_dense_island_spectral_pareto,full28,28,1.2838630719777657,1.1397670673789355,0.01385710990023645,0.8462506007333176,0.8212517204607672,0.9642857142857143,1.4207689212580472,14.285714285714286,0.0
M10_dense_island_spectral_pareto,original23,23,1.4356911551020988,1.2849290772807826,0.0146226994526264,0.8440281199855114,0.7972910367955633,0.9565217391304348,1.4533012092124309,14.285714285714286,0.0
M10_dense_island_spectral_pareto,extra5,5,0.5854538896058339,0.47202182183043967,0.0052678902033559,0.8595479356934956,0.9398931335321794,1.0,0.996173742449147,14.285714285714286,0.0
M12a_edge_preserving_terrace,full28,28,1.2838630719777657,1.1401945729721001,0.013455096343655552,1.0178076607505457,0.7239129003072968,0.7857142857142857,1.7724197127871344,10.714285714285714,0.0
M12a_edge_preserving_terrace,original23,23,1.4356911551020988,1.2865829558062405,0.0128895490079065,1.075918666868623,0.7208863380773856,0.782608695652174,1.90043399536304,10.714285714285714,0.0
M12a_edge_preserving_terrace,extra5,5,0.5854538896058339,0.4668080119350539,0.0155624935206354,0.8236203590695942,0.7269394625372081,0.8,1.5002550082884558,10.714285714285714,0.0
