training_group_count,descriptor_mae_z_median,descriptor_mae_z_mean,descriptor_mae_z_q25,descriptor_mae_z_q75,rq_mae_nm_median,rq_mae_nm_mean,evaluation_count
5,1.0126149654388428,1.2765223696827888,0.6624907106161118,1.7388600707054138,1.5341217405375966,1.87374810285446,60
8,0.8240289986133575,1.0392923032244046,0.4825598746538162,1.4191107153892517,1.2599981965130127,1.7432057302733708,60
11,0.7652985751628876,0.8837404891848564,0.5371143221855164,1.1144662201404572,1.2385683340959583,1.6394906298361531,60
14,0.6375419497489929,0.8246271113554636,0.4963236451148987,1.0432073175907135,1.1188602556980216,1.5713621808959026,15
