method,group_count,median_true_rq_nm,median_generated_rq_nm,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_generated_pairwise_l1,median_real_pairwise_l1,median_diversity_ratio,median_unit_l1,median_unit_rmse,median_ssim,median_gradient_mae,median_physical_ra_error_nm,median_physical_robust_height_range_error_nm,median_physical_histogram_wasserstein_nm,median_reconstructed_rq_nm,median_rq_architectural_consistency_error_nm,median_normalized_psd_log_distance,median_psd_low_band_error,median_psd_mid_band_error,median_psd_high_band_error,median_psd_slope_error,median_correlation_length_abs_error_nm,median_correlation_length_relative_error,median_anisotropy_error,median_skewness_error,median_kurtosis_error,median_height_quantile_error,median_ra_rq_error,median_physical_psd_distance,median_physical_correlation_length_error_nm,median_ssim_penalty,median_composite_score,median_nearest_training_l1,median_max_training_ssim,median_exact_training_pixel_equality,median_generated_mean_gradient,median_real_mean_gradient,median_mean_gradient_relative_error,median_generated_rms_gradient,median_real_rms_gradient,median_rms_gradient_relative_error,median_generated_laplacian_rms,median_real_laplacian_rms,median_laplacian_rms_relative_error,median_generated_edge_energy_ratio,median_real_edge_energy_ratio,median_edge_energy_ratio_relative_error,median_generated_wrap_discontinuity_ratio,median_real_wrap_discontinuity_ratio,median_wrap_discontinuity_ratio_relative_error,median_generated_high_psd_fraction,median_real_high_psd_fraction,median_high_psd_fraction_relative_error,median_generated_robust_height_range,median_real_robust_height_range,median_robust_height_range_relative_error,median_generated_skewness,median_real_skewness,median_skewness_relative_error,median_generated_kurtosis,median_real_kurtosis,median_kurtosis_relative_error,median_sharpness_ratio,median_afm_texture_gate_pass,texture_gate_pass_fraction
diffusion_weight_0.10,1,9.867135047912598,2.818202725667025,7.048932322245573,0.8872553110122681,1.1099400520324707,1.1093645095825195,1.0005188037340114,1.1328151226043701,1.4029422998428345,0.0022075091105252876,37.73912586879888,0.19449936503036014,3.8709375762939473,0.9493220358863148,9.867125123895454,9.924017144058439e-06,1.0287780329767793,0.0020478140692601343,0.001963363942768384,8.445012649188623e-05,0.24214068527818844,55.118110236220474,1.75,0.1499999999999999,0.19884528870656326,0.25890206938281235,0.10501466966101103,0.019711838052166142,1.0287780329767793,55.118110236220474,0.9977924908894747,8.40949003319091,1.0731425285339355,0.03031974026439468,0.0,0.23657726496458054,0.3343275785446167,0.2923788519199028,0.2856987565755844,0.43132510781288147,0.33762549084082777,0.28310397267341614,0.45214322209358215,0.37386217720450354,1.016834318637848,0.9991855621337891,0.01766314203576903,0.9896006882190704,4.243812084197998,0.7668132639746497,2.4381497062071376e-05,8.677488393813045e-05,0.7190258752814338,4.476811519861221,4.084678220748902,0.09600102576511493,-0.010639297875687587,-0.31434681572393974,0.9661542686501045,2.7489696248982165,2.4684225292984654,0.11365440570641834,0.7076211480800972,1.0,1.0
diffusion_weight_0.20,1,9.867135047912598,2.818202725667025,7.048932322245573,0.876982569694519,1.112026572227478,1.1093645095825195,1.0023996284557186,1.1340734958648682,1.4043952226638794,0.003803463389792715,37.79448733364974,0.20209114197558886,3.5423384666442885,0.9586735499688004,9.867124847374626,1.0200537971627455e-05,1.0133122192029973,0.0020438940880495027,0.0019579845655044916,8.590952254520964e-05,0.28016727072761904,55.118110236220474,1.75,0.1499999999999999,0.18640288356009294,0.2451061785502584,0.1020605900032179,0.020481237974059763,1.0133122192029973,55.118110236220474,0.9961965366102072,8.41531987465235,1.0740349292755127,0.028289540442119766,0.0,0.23432809859514236,0.3343275785446167,0.29910628487422014,0.2880256175994873,0.43132510781288147,0.33223081062918486,0.28464558720588684,0.45214322209358215,0.37045260595110185,1.0106013119220734,0.9991855621337891,0.011425054785525168,0.9765058755874634,4.243812084197998,0.7698988889674164,2.293715222854699e-05,8.677488393813045e-05,0.7356706089644449,4.454921817779541,4.084678220748902,0.09064204743225932,-0.012403581163517169,-0.31434681572393974,0.9605417311610053,2.7017657115827705,2.4684225292984654,0.09453129661339707,0.7008937151257798,1.0,1.0
diffusion_weight_0.30,1,9.867135047912598,2.818202725667025,7.048932322245573,0.8649716973304749,1.1139920949935913,1.1093645095825195,1.0041713840411328,1.135377287864685,1.4059451818466187,0.006011459958378574,37.87541067519143,0.2035657089898013,3.1125330543518075,0.9713707734249462,9.867125127337545,9.920575053001812e-06,0.9937884743679107,0.0020335109141306207,0.001946761766807745,8.674914732286859e-05,0.308924802628582,55.118110236220474,1.75,0.1499999999999999,0.1777434593572022,0.22366202809841473,0.09637770938021806,0.020630680535119406,0.9937884743679107,55.118110236220474,0.9939885400416214,8.424574187759854,1.070199728012085,0.029101787988693714,0.0,0.2322617769241333,0.3343275785446167,0.3052868149998057,0.29113949835300446,0.43132510781288147,0.3250114749190364,0.2885123938322067,0.45214322209358215,0.3619004339016897,1.0038377046585083,0.9991855621337891,0.004655934494073809,0.9661032855510712,4.243812084197998,0.7723501261640696,2.2104251419924082e-05,8.677488393813045e-05,0.7452690177530612,4.457119526863098,4.084678220748902,0.09118008469365076,-0.016044856704909554,-0.31434681572393974,0.9489581064533505,2.650967444498253,2.4684225292984654,0.07395205360229291,0.6947131850001943,1.0,1.0
diffusion_weight_0.40,1,9.867135047912598,2.818202725667025,7.048932322245573,0.8569515347480774,1.1159440875053406,1.1093645095825195,1.0059309432255923,1.1365859508514404,1.4075729846954346,0.008278053499041253,37.981701266545976,0.19353261911866415,2.82663862228393,0.9922314581174092,9.867125468294482,9.579618115651556e-06,0.9641964433452492,0.0020164061221592533,0.0019295226669421594,8.688345521729265e-05,0.3246007097809547,55.118110236220474,1.75,0.1499999999999999,0.17385558204846263,0.19560714299876425,0.0931368665184288,0.019613861451102554,0.9641964433452492,55.118110236220474,0.9917219465009588,8.43624191094063,1.067119836807251,0.030808271055607662,0.0,0.23055079579353333,0.3343275785446167,0.31040449370895723,0.29497991502285004,0.43132510781288147,0.31610771160852763,0.29467645287513733,0.45214322209358215,0.3482674549212931,0.9964739382266998,0.9991855621337891,0.002713834156388813,0.9589444994926453,4.243812084197998,0.7740370024715956,2.1963424633473667e-05,8.677488393813045e-05,0.7468919157629372,4.461619790792465,4.084678220748902,0.09228182727560189,-0.030990481335974616,-0.31434681572393974,0.9014130896646635,2.610432632915014,2.4684225292984654,0.05753071118537734,0.6895955062910428,1.0,1.0
diffusion_weight_0.50,1,9.867135047912598,2.818202725667025,7.048932322245573,0.8436559438705444,1.117487370967865,1.1093645095825195,1.007322085135392,1.1377978324890137,1.4092543125152588,0.010217511568357191,38.11061604577866,0.1738565512685213,2.56500537872315,1.0220659837831523,9.867125402626977,9.645285620862865e-06,0.9249058067647278,0.00199274373533731,0.001906478502031174,8.626523330636311e-05,0.3249593759919187,55.118110236220474,1.75,0.1499999999999999,0.1754081150844822,0.1635010899287579,0.08792726542268488,0.01761975990541409,0.9249058067647278,55.118110236220474,0.9897824884316428,8.449262289841718,1.0647883415222168,0.03262747025597302,0.0,0.2294040247797966,0.3343275785446167,0.3138345757223191,0.29943113029003143,0.43132510781288147,0.30578785035641515,0.30291353166103363,0.45214322209358215,0.33004960185306453,0.988268256187439,0.9991855621337891,0.010926204661160116,0.9576777517795563,4.243812084197998,0.7743354953567555,2.2559305534934184e-05,8.677488393813045e-05,0.7400249414217744,4.479568268060684,4.084678220748902,0.09667592548805018,-0.058419560005526894,-0.31434681572393974,0.814155712470041,2.5910484641798908,2.4684225292984654,0.04967785434865404,0.6861654242776809,1.0,1.0
