growth_run_id,predicted_rq_absolute_error_nm,realized_rq_absolute_error_nm,rq_interval_lower_nm,rq_interval_upper_nm,rq_interval_covered,predicted_fsmi_absolute_error_nm,realized_fsmi_absolute_error_nm,fsmi_interval_lower_nm,fsmi_interval_upper_nm,fsmi_interval_covered,predicted_island_error_z,island_error_90_upper_z,realized_island_error_z,predicted_joint_error_index,realized_joint_error_index,joint_confidence_index
6028,0.4128447668158798,0.05885101276850602,4.993794852803465,7.269036376529934,True,0.8961973271246229,0.10604128995393669,3.530299620179013,6.130444263633141,True,2.2396630103593314,3.2433818192353656,2.4476496057713444,0.7,0.5,37.5
6029,0.0,0.03867512645903615,1.5396413300080911,3.6597587314121776,True,0.07848162141868768,0.30291998515814367,1.1677181249795079,3.8864923948140544,True,2.0738136600074926,3.0523384507530142,1.6829762642564348,0.3,0.33333333333333337,87.5
6047,0.6355618967950948,0.19843319267031045,1.5595425549884694,4.1767851878094415,True,0.7889413951923674,0.6974070662877723,0.7953828893432204,3.701898939622099,True,1.8570212520934248,2.887208608561898,1.6816283656040514,0.39999999999999997,0.43333333333333335,81.25
6048,3.310748033169576,0.9256792086759518,0.5140767167354077,2.545428132315625,True,3.487215335316633,0.7097909795539514,0.038094749149112594,2.4739485876136116,True,2.6438740763250204,3.4736768738304504,1.947877302275824,0.9666666666666667,0.6,12.5
6057,0.8975629427237293,0.2116898125147335,4.227990941307613,6.870056042120291,True,0.7475607717387702,0.04214593887565865,2.9249616571509214,5.401025059977801,True,1.9023063056509377,2.8767499474087663,1.1347925715398763,0.4,0.1,75.0
6062,0.2484663120532571,0.3174429736544533,2.110096552492892,4.707218863288932,True,1.0383696444549655,0.4165156904514773,1.4619840355674611,5.210373023887308,True,2.0555435636455246,2.6890544341230282,3.0974664998184833,0.6000000000000001,0.7333333333333334,43.75
6063,1.4456389859692385,1.1676356634406666,5.497904647468223,8.568546876039427,True,2.177062784166112,0.03818645040025537,2.6997850011961204,7.137270599139086,True,2.0699738956411964,3.0677950188438383,2.1663667316014115,0.7,0.3,37.5
6070,0.03697828642275991,0.4066041398012401,1.4051823357262583,3.8760684415255096,True,0.15212131640252036,0.6955651093866992,0.5370915884060168,3.3114301529344825,True,1.7899615746056758,2.810809842263516,1.5014064594076708,0.1,0.36666666666666664,100.0
6072,0.30106379977390624,0.0285260063633046,0.3770111148594959,2.620270552179247,True,0.6569643954223521,0.15097822787858095,0.017387646912855992,2.5344169867517135,True,1.9197831044638174,2.8986006371174886,2.3522914402766957,0.4,0.5,75.0
6078,0.47488580481550097,0.8980898882877946,1.0626242616519619,4.853150569748962,True,0.15301339257424712,0.9940855884082445,1.4018871574215135,4.011119785592472,True,1.954513406369728,2.9549728263483903,1.7786887097251256,0.26666666666666666,0.5666666666666667,93.75
6082,0.6829187201827814,0.10641188249325317,0.0,4.7146309771537185,True,0.2398573600383312,0.37889199969487963,0.0,4.852723119621219,True,2.0850777786180776,3.1298509386786506,2.3380498644905563,0.43333333333333335,0.5666666666666667,62.5
6084,0.6671974519598007,0.28083708787561257,0.9728412882809043,3.508170042522106,True,0.5882721167695059,0.1735147636393526,0.0,3.66543203938467,True,2.4839976215052695,3.483611338074573,2.239748766031105,0.5666666666666667,0.4666666666666667,56.25
6085,0.20024014185190242,1.1257716408348872,3.1686743423867365,5.333888356047135,False,0.6351742802865333,1.0449519157715224,1.903828061259654,5.096137265862763,True,2.6901630469194036,3.630280536273653,2.5022088277060885,0.7333333333333334,0.8666666666666667,25.0
6090,0.08388511741330797,0.10899911256640848,2.1894410027939903,7.398773591967733,True,0.36992875205526066,1.073526113366181,1.9122630434233612,6.584693419411674,True,2.487526380900828,3.362018200983244,1.8363543029641924,0.5666666666666667,0.6666666666666667,56.25
6095,0.2711324790340346,4.079361479192343,4.112167068144775,7.463380069295731,False,1.1348515023981236,4.001800132352004,2.34468559112413,6.785965131392564,False,2.508179745294855,3.2331401036058827,3.422742454710482,0.8666666666666667,1.0,18.75
