split,method,median_rq_absolute_error_nm,median_condition_descriptor_mae_z,median_psd_log_distance,median_sharpness_ratio,median_composite_error,texture_gate_pass_fraction,median_island_feature_mae_z,median_afm_prior_mahalanobis,median_q70_area_log_error,median_q70_count_log_error,median_fsmi_absolute_error_nm,median_generated_boundary_contrast
strict_15_growth_loo,M10_dense_island_spectral_pareto,0.8293883576494947,0.876477837562561,0.8597532946386037,0.8079704827839672,8.10627941529057,0.8666666666666667,1.5142667220499186,6.438357459868581,0.8107808264267717,0.5402968915827158,0.6841311154330696,1.324113376304767
strict_15_growth_loo,M12a_edge_preserving_terrace,0.31629208537046516,1.0949033498764038,1.082828461411146,0.7307231176824156,7.9628240610690435,0.8,2.1663667316014115,10.55094901054607,0.5735371519388006,0.5725661521515013,0.4382219813510382,1.5837955084731097
preexisting_validation,M10_dense_island_spectral_pareto,0.8332059922803217,0.7857670187950134,0.8785745157975872,0.8508901453059715,7.9097770475007385,1.0,1.4228877065126189,5.950812293574279,0.7652924864480761,0.28572512279121254,0.6591510685154547,1.3094849841662755
preexisting_validation,M12a_edge_preserving_terrace,0.476978963666316,1.1310666799545288,1.2870348092212862,0.7811189794642122,7.791921625530935,1.0,1.567107950714351,10.182997515044626,0.6642267752329878,0.4054651081081646,0.32869253922259567,1.5948131402312316
