sample_id,target_rq_nm,in_sample_prediction_nm,warning
6022,1.4471265822649002,1.455971686658187,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6028,5.7479071617126465,5.739661188775275,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6029,2.3621323108673096,2.3684186441933295,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6033,2.2941808700561523,2.298656468948736,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6047,4.191615502039592,4.181024568196992,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6048,1.9803074598312376,1.9844248895417644,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6056,2.764359931151072,2.7700847033978233,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6057,4.548365879058838,4.54567650832651,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6062,3.074277698993683,3.0750527561943137,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6063,5.763735413551331,5.752927227404928,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6070,2.6383082469304404,2.6452182933231745,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6072,1.269736334681511,1.2754210185931336,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6078,1.431350588798523,1.4255974655025514,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6080,3.5164570808410645,3.5100364660402885,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6081,1.122542753815651,1.1447325813646625,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6082,1.8729759057362871,1.883510616059302,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6084,1.765614032745361,1.7801544395919469,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6085,2.74203884601593,2.743905628008065,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6090,2.7626312573750815,2.759162023522634,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6094,2.4914984362465993,2.506257360122511,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6095,7.420876423517863,7.400169184852317,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6099,10.26789697011312,10.23231434821613,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
6101,1.193656861782074,1.1912144812916927,FULL-COHORT TRAINING FIT; NOT TEST PERFORMANCE
