sample_id,afm_file_id,scan_size_x_um,scan_size_y_um,resolution_h,resolution_w,primary_channel,height_unit,raw_afm_file,processed_height_path,second_order_height_path,second_order_metadata_path,source_sha256,second_order_sha256,rq_raw_nm,rq_second_order_nm,rq_second_order_manifest_nm,ra_second_order_nm,peak_to_valley_second_order_nm,fit_fraction,robust_iterations,is_representative
N6324,N6324_2um_1_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6324/AFM/N6324_2um_1.000,data/processed_afm_extra_five/N6324/N6324_2um_1_000/N6324_2um_1_000_height.npy,data/afm_second_order_extra_five/N6324/N6324_2um_1_000/N6324_2um_1_000_height.npy,data/afm_second_order_extra_five/_metadata/N6324/N6324_2um_1_000/N6324_2um_1_000_height.json,e2e6c3395c4993b7c1b57c3dd94af8d22ae125b84d97486b934f00c430cd6495,248c13049e3fa1cc8ec5499883d07f8067d08708a1fcb5984f70867a081e436c,14.073729288408575,0.9268646614606071,0.9268646614606072,0.6959362694770201,8.362409739671534,0.9831275939941406,5,False
N6324,N6324_2um_2_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6324/AFM/N6324_2um_2.000,data/processed_afm_extra_five/N6324/N6324_2um_2_000/N6324_2um_2_000_height.npy,data/afm_second_order_extra_five/N6324/N6324_2um_2_000/N6324_2um_2_000_height.npy,data/afm_second_order_extra_five/_metadata/N6324/N6324_2um_2_000/N6324_2um_2_000_height.json,ccf2258c75a74e70532ed8a1dfd529049cc5a6ca116abcd691bd30372a07a825,2e3eb2a3822201e32362b38542e54efa79e9f8d9a672a585728fd585237da2d1,10.695882204884663,1.4947776976519187,1.4947776976519187,1.1771187040456068,12.230737604230567,0.9938087463378906,5,False
N6324,N6324_2um_3_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6324/AFM/N6324_2um_3.000,data/processed_afm_extra_five/N6324/N6324_2um_3_000/N6324_2um_3_000_height.npy,data/afm_second_order_extra_five/N6324/N6324_2um_3_000/N6324_2um_3_000_height.npy,data/afm_second_order_extra_five/_metadata/N6324/N6324_2um_3_000/N6324_2um_3_000_height.json,3e952fa51e3e808b95165ed6ed8a50357d518f37b5b30927ce064d43162ae26a,808796d5b98f41c496c65810ddad869311862e8d6be2b376a13fd871989aa678,14.337814246206085,2.6574670508167078,2.657467050816708,1.6968786000573788,20.46306940648458,0.951618194580078,5,False
N6324,N6324_2um_4_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6324/AFM/N6324_2um_4.000,data/processed_afm_extra_five/N6324/N6324_2um_4_000/N6324_2um_4_000_height.npy,data/afm_second_order_extra_five/N6324/N6324_2um_4_000/N6324_2um_4_000_height.npy,data/afm_second_order_extra_five/_metadata/N6324/N6324_2um_4_000/N6324_2um_4_000_height.json,d59dbdb5f4eab1b14f98dcf026acdbf745dc56ff99edf4dec3dd977136a0f281,dfb43e518f1bb3e82af98279d029097c4d608f203108b936469d6d2cc7bf4993,6.730845732936218,1.3363686594523976,1.3363686594523976,0.9518864050780875,13.061927035569855,0.9468879699707032,5,False
N6324,N6324_2um_5_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6324/AFM/N6324_2um_5.000,data/processed_afm_extra_five/N6324/N6324_2um_5_000/N6324_2um_5_000_height.npy,data/afm_second_order_extra_five/N6324/N6324_2um_5_000/N6324_2um_5_000_height.npy,data/afm_second_order_extra_five/_metadata/N6324/N6324_2um_5_000/N6324_2um_5_000_height.json,3a479bf682499ee203cb7e79b9bf48146d64f4c11d43a6acefd13350f654ab2c,7d274336d390b14e13cd4435478a9e626edb1d9417e68ec2d800ee0a8b81cc3b,8.190356307103757,1.4869111517013327,1.4869111517013327,1.0172465941240008,12.886961859002156,0.9557876586914062,5,True
N6342,N6342_2um_1_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6342/AFM/N6342_2um_1.000,data/processed_afm_extra_five/N6342/N6342_2um_1_000/N6342_2um_1_000_height.npy,data/afm_second_order_extra_five/N6342/N6342_2um_1_000/N6342_2um_1_000_height.npy,data/afm_second_order_extra_five/_metadata/N6342/N6342_2um_1_000/N6342_2um_1_000_height.json,67243091d84b1adef413a275c15b5a1c0a0526b510d1f52fa22fbba50681648f,e149061cb6203bd41dc8f2baa0585572bd39298374ab124888db9f5a3044cdea,2.340258130147829,0.7257387502953981,0.7257387502953981,0.5681907693802353,5.961341516881788,0.9952049255371094,4,False
N6342,N6342_2um_2_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6342/AFM/N6342_2um_2.000,data/processed_afm_extra_five/N6342/N6342_2um_2_000/N6342_2um_2_000_height.npy,data/afm_second_order_extra_five/N6342/N6342_2um_2_000/N6342_2um_2_000_height.npy,data/afm_second_order_extra_five/_metadata/N6342/N6342_2um_2_000/N6342_2um_2_000_height.json,94507916b15dcc9bb601893c4f9ce19c61cc0006b5985189905011233ed3618b,629c3b168d8eee77de5f0256fa8b244c5eb7b5c9886dbd3c92813263deda24b7,13.704797929482693,1.6492784149199975,1.6492784149199975,1.1173864296647769,16.250649712041422,0.9596099853515624,5,False
N6342,N6342_2um_3_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6342/AFM/N6342_2um_3.000,data/processed_afm_extra_five/N6342/N6342_2um_3_000/N6342_2um_3_000_height.npy,data/afm_second_order_extra_five/N6342/N6342_2um_3_000/N6342_2um_3_000_height.npy,data/afm_second_order_extra_five/_metadata/N6342/N6342_2um_3_000/N6342_2um_3_000_height.json,b31a8d9524b1c3e2a358ad2a00cc603ae84ce95362a32473b48f86f4168f4828,5dffa10cbbe6d1893928830e68423a51dcb0635800708898c42f94e184063814,14.560931292858934,1.5947900254296015,1.5947900254296017,1.1554970696584053,13.597725495116665,0.9750251770019532,5,False
N6342,N6342_2um_4_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6342/AFM/N6342_2um_4.000,data/processed_afm_extra_five/N6342/N6342_2um_4_000/N6342_2um_4_000_height.npy,data/afm_second_order_extra_five/N6342/N6342_2um_4_000/N6342_2um_4_000_height.npy,data/afm_second_order_extra_five/_metadata/N6342/N6342_2um_4_000/N6342_2um_4_000_height.json,02edfc1c8781041bbff728541771448d7914482d2aebe1c761c47004063703f5,c9451457077d0671c5b8b6c4c5667eda95b7207352dc97e5b940c6b9de089308,9.553147403354972,1.2729987154645193,1.2729987154645193,0.9611168845233494,10.722427638745115,0.9848060607910156,5,True
N6342,N6342_2um_5_000,2.0,2.0,512,512,ZSensor,nm,data/pair_afm_extra_five/N6342/AFM/N6342_2um_5.000,data/processed_afm_extra_five/N6342/N6342_2um_5_000/N6342_2um_5_000_height.npy,data/afm_second_order_extra_five/N6342/N6342_2um_5_000/N6342_2um_5_000_height.npy,data/afm_second_order_extra_five/_metadata/N6342/N6342_2um_5_000/N6342_2um_5_000_height.json,19d2074459a93dbcbaf62755d18b176a2efbd1fb512fe6f19099c32942e77546,392cfa89b2996f310c56ff2a0a3a6696ebc82f91e17bfaab2d4957243347303d,7.051281280455238,0.9880059243945056,0.9880059243945056,0.7692763164850452,11.475456126418392,0.9962654113769532,5,False
