method,n_videos,median_iou,median_manual_area_coverage,minimum_manual_area_coverage,median_spot_energy_coverage,minimum_spot_energy_coverage,median_spot_peak_coverage,circular_edge_intrusion_rate,median_circular_edge_intrusion,full_manual_containment_rate,left_reference_margin_inclusion_rate,right_reference_boundary_inclusion_rate,vertical_reference_envelope_inclusion_rate,held_video_overlap
v7_orientation_conservative_q10_q90,25,0.7030306132896488,1.0,0.8624031007751938,1.0,0.8468451940057226,1.0,0.0,0.0,0.56,0.84,0.88,0.76,0
v7_orientation_extreme,25,0.6679023061363102,1.0,0.8624031007751938,1.0,0.8468451940057226,1.0,0.0,0.0,0.52,0.68,0.92,0.84,0
v7_orientation_conservative_q05_q95,25,0.7204525630703167,1.0,0.8624031007751938,1.0,0.8468451940057224,1.0,0.0,0.0,0.6,0.84,0.88,0.84,0
v7_global_conservative_q10_q90,25,0.6913387351385367,0.9953271028037384,0.8624031007751938,1.0,0.8366704714512124,1.0,0.0,0.0,0.48,0.68,0.88,0.8,0
v8_orientation_model_input_q20_q80,25,0.7267612484799352,0.9860759493670886,0.8193080785029667,1.0,0.7494372745288027,1.0,0.0,0.0,0.36,0.8,0.8,0.6,0
v8_orientation_model_input_q15_q85,25,0.7245188439878706,0.9936708860759493,0.8624031007751938,1.0,0.7494372745288026,1.0,0.0,0.0,0.44,0.8,0.84,0.64,0
v8_orientation_model_input_q25_q75,25,0.7413335199538115,0.977979274611399,0.7926243724326791,1.0,0.650115495437664,1.0,0.0,0.0,0.32,0.68,0.72,0.56,0
v7_global_median,25,0.7503857795714879,0.871715351410251,0.7187818623880965,0.9986651696952638,0.30534866444871006,0.918918918918919,0.0,0.0,0.16,0.52,0.52,0.24,0
v4_calibrated_safe,25,0.5531773641022918,0.7982646420824295,0.31001423825344093,0.501315161560936,0.06326373137213194,0.6547619047619048,0.72,0.014925373134328358,0.0,0.88,0.04,0.36,0
