epoch,kl_beta,train_total,train_reconstruction,train_kl,train_generated_pair_l1,train_condition_swap_l1,val_elbo_total,val_reconstruction,val_kl,val_prior_composite,val_rq_mae_nm,val_selection_score,val_prior_ssim,val_prior_psd_log_distance,val_diversity_ratio,val_diversity_log_penalty
1,0.0003333333333333333,2.080589842796326,2.080460238456726,0.3887913227081299,0.7408141016960144,0.7431613326072692,1.7904307842254639,1.7800006866455078,0.5215024352073669,7.710926656283316,1.2536243597666423,7.95313123728272,0.026251067932152268,0.9312123746859446,0.5575457450494761,0.5842107251136949
2,0.0006666666666666666,1.8262181043624879,1.8253668785095214,0.6317828297615051,0.566018569469452,0.49652326107025146,,,,,,,,,,
3,0.001,1.7143576622009278,1.7021103143692016,1.211827528476715,0.495604544878006,0.46527801752090453,,,,,,,,,,
4,0.0013333333333333333,1.7304094076156615,1.7215119361877442,1.3685926437377929,0.49485125541687014,0.5534916162490845,,,,,,,,,,
5,0.0016666666666666666,1.7586516380310058,1.7519505023956299,2.095662546157837,0.5084458231925965,0.5588866949081421,1.6920851469039917,1.6395702958106995,2.625741481781006,7.505605681231965,1.2536243597666423,7.742807167912769,0.025805228849610142,0.7231676122598184,0.5716689273438404,0.5591952535206954
6,0.002,1.642844843864441,1.633720064163208,2.781484031677246,0.5095635890960694,0.5550999999046325,,,,,,,,,,
7,0.0023333333333333335,1.64015634059906,1.6269525289535522,5.469554805755616,0.5421376168727875,0.565208375453949,,,,,,,,,,
8,0.0026666666666666666,1.6016605854034425,1.5796903610229491,6.828348064422608,0.5588653922080994,0.5996684193611145,,,,,,,,,,
9,0.003,1.6260140419006348,1.6096384525299072,5.372949886322021,0.547681725025177,0.5953040480613708,,,,,,,,,,
10,0.003333333333333333,1.552310585975647,1.5323134660720825,5.590259075164795,0.5450311422348022,0.576327097415924,1.6082587838172913,1.50557941198349,5.1339685916900635,7.26521589533212,1.2536243597666423,7.500712914162381,0.012747556839750152,0.815407820342693,0.5765617032172399,0.5506729142679839
11,0.0036666666666666666,1.5876118898391725,1.5692114591598512,4.898370361328125,0.6583496451377868,0.5019318073987961,,,,,,,,,,
12,0.004,1.535731554031372,1.5141518831253051,5.394921970367432,0.6114166021347046,0.5538619458675385,,,,,,,,,,
13,0.004333333333333334,1.5241258144378662,1.4996397018432617,5.65064001083374,0.5736307621002197,0.5210877478122711,,,,,,,,,,
14,0.004666666666666667,1.4831093788146972,1.462286615371704,4.424118137359619,0.5781127095222474,0.5264662146568299,,,,,,,,,,
15,0.005,1.471553421020508,1.4498729467391969,3.8554149150848387,0.5551600277423858,0.4964083254337311,1.5221898555755615,1.4386617541313171,4.176406145095825,6.5940376617062215,1.2536243597666423,6.815214700316264,0.011434040165676208,0.8010284838047566,0.6193572618067668,0.4790730131668879
16,0.005333333333333333,1.5388091564178468,1.5115198135375976,5.116752433776855,0.6016561627388001,0.514538025856018,,,,,,,,,,
17,0.005666666666666666,1.4848060131072998,1.4572393655776978,4.864701652526856,0.6652077436447144,0.5706629395484925,,,,,,,,,,
18,0.006,1.4627996921539306,1.435652494430542,4.524533653259278,0.654399037361145,0.5370307207107544,,,,,,,,,,
19,0.006333333333333333,1.4822304248809814,1.4571295976638794,3.963290071487427,0.5733134746551514,0.466069895029068,,,,,,,,,,
20,0.006666666666666666,1.4550616502761842,1.4316941499710083,3.2726179122924806,0.5414964914321899,0.5295820355415344,1.4848772287368774,1.4308120012283325,2.7032623291015625,6.475585683818192,1.2536243597666423,6.673425726128099,0.017790121892834167,0.7609802262998084,0.6960122406467661,0.36238803166621103
21,0.006999999999999999,1.5305256843566895,1.4943556785583496,3.0210471630096434,0.5897345840930939,0.4493340790271759,,,,,,,,,,
