alpha,standardized_mae,log_rq_standardized_mae
100.0,1.3986897114664316,2.169727443655332
10.0,1.6411325335778573,2.633254060645898
1.0,2.0565711570558722,4.005931146939596
0.1,2.8286573374298984,6.867008661230405
