metric,value
N,23.0
MAE,1.2600983407909774
median_AE,1.1205674310532974
RMSE,1.8393101333714263
R2,0.2939669042578328
Spearman,0.42885375494071143
Kendall,0.28063241106719367
pairwise_concordance,0.6403162055335968
low_high_balanced_accuracy,0.625
high_rq_sensitivity,0.625
high_rq_specificity,0.7333333333333333
