descriptor,count,mae,pearson,predictability
rq,5,2.514243867,0.08410236167334108,mean_like
ra,5,2.2091232159999996,-0.4934617658240024,mean_like
robust_range,5,10.392801089999999,0.23038636925943595,weak
mean_abs_gradient,5,0.65971279872,-0.15911750099445798,mean_like
gradient_std,5,0.4037999613,-0.09614306255161137,mean_like
gradient_anisotropy,5,0.08633117766399999,-0.8159997772497533,mean_like
psd_low_power,5,0.9062539519999998,0.5737358179140022,structured
psd_mid_power,5,1.0751525342000001,0.5659539112736179,structured
psd_high_power,5,0.7139956284,0.4672858772318078,structured
psd_slope,5,0.21088920020000002,0.9278138829982054,structured
autocorrelation_length_px,5,9.958897504,0.23014020484409722,weak
island_count,5,30.573562380000006,0.1390040440167635,weak
island_mean_area_px,5,285.70034852000003,0.8525046810146463,structured
