cross_validation_fold,growth_run_id,method,island_feature_mae_z,island_feature_rmse_z,afm_prior_mahalanobis,held_real_afm_prior_mahalanobis,afm_likeness_percentile,held_real_likeness_percentile,boundary_ratio_q70_absolute_error,median_area_q70_log_absolute_error,component_count_q70_log_absolute_error,generated__log_component_count_q55,true__log_component_count_q55,generated__log_component_count_q70,true__log_component_count_q70,generated__log_component_count_q82,true__log_component_count_q82,generated__log_median_area_q55,true__log_median_area_q55,generated__log_median_area_q70,true__log_median_area_q70,generated__log_median_area_q82,true__log_median_area_q82,generated__median_solidity_q70,true__median_solidity_q70,generated__median_eccentricity_q70,true__median_eccentricity_q70,generated__boundary_gradient_ratio_q55,true__boundary_gradient_ratio_q55,generated__boundary_gradient_ratio_q70,true__boundary_gradient_ratio_q70,generated__boundary_gradient_ratio_q82,true__boundary_gradient_ratio_q82,generated__log_valley_component_count_q18,true__log_valley_component_count_q18,generated__log_valley_median_area_q18,true__log_valley_median_area_q18,generated__gradient_p90,true__gradient_p90,generated__laplacian_rms,true__laplacian_rms,generated__flat_fraction,true__flat_fraction
0,6022,M10_dense_island_spectral_pareto,0.7671698816567033,0.9319880531916003,3.5273897877316194,5.150752994221237,21.73913043478261,13.043478260869565,0.12035185098648071,1.2171139554653503,0.3198292478044795,2.302585092994046,1.9459101490553132,2.80473589759248,2.4849066497880004,2.833213344056216,2.833213344056216,3.4078199950371655,3.8918202981106265,3.30467462158369,4.5217885770490405,3.8044353145956293,3.912023005428146,0.9147033106193089,0.875,0.8107536063288308,0.8332163932399214,1.3995660543441772,1.4820621013641357,1.370772898197174,1.4911247491836548,1.257329523563385,1.3905292749404907,2.995732273553991,2.6390573296152584,3.8770263195178787,4.343805421853684,0.4472368061542511,0.5511137843132019,0.18804963678121567,0.2186577022075653,0.108551025390625,0.26629638671875
0,6022,M12a_edge_preserving_terrace,0.7613202532218083,1.1238224726379218,7.187962280393592,5.150752994221237,8.695652173913043,13.043478260869565,0.1972324252128601,0.9319440798161511,0.03226926056878554,2.1383330595080277,1.9459101490553132,2.452637389219215,2.4849066497880004,2.6020033435383976,2.833213344056216,4.147524570217556,3.8918202981106265,3.5898444972328893,4.5217885770490405,3.9843328502331175,3.912023005428146,0.917887667887668,0.875,0.7517664879075262,0.8332163932399214,1.7744099497795105,1.4820621013641357,1.688357174396515,1.4911247491836548,1.4809783101081848,1.3905292749404907,2.6390573296152584,2.6390573296152584,4.245629904694866,4.343805421853684,0.44495217502117157,0.5511137843132019,0.1683082953095436,0.2186577022075653,0.20745849609375,0.26629638671875
1,6028,M10_dense_island_spectral_pareto,1.096325622381566,1.3351792786153325,2.834474120650822,2.57329419209445,39.130434782608695,47.82608695652174,0.3494008183479309,1.012130014270972,0.18232155679395445,2.1972245773362196,2.3978952727983707,2.70805020110221,2.8903717578961645,3.0342127941220554,2.833213344056216,3.4094620326377605,5.111987788356544,3.697400187041362,4.709530201312334,4.075233955812002,4.48863636973214,0.9045571370159077,0.8953145917001338,0.7461933829251508,0.816496580927726,1.4273180961608887,1.3104304075241089,1.4511645436286926,1.1017637252807617,1.4479742646217346,1.0615882873535156,2.9944807084449314,3.6109179126442243,3.3475903395085806,3.817712325956905,0.45280760526657104,0.5960701107978821,0.1865314245223999,0.2374238669872284,0.109344482421875,0.16900634765625
1,6028,M12a_edge_preserving_terrace,1.4520484592087881,2.1744871084525945,6.247819465183529,2.57329419209445,13.043478260869565,47.82608695652174,0.6521089673042297,0.5271596672000536,0.28836841435776694,2.1383330595080277,2.3978952727983707,2.6020033435383976,2.8903717578961645,2.5649493574615367,2.833213344056216,4.188620615494396,5.111987788356544,4.18237053411228,4.709530201312334,4.145240389643737,4.48863636973214,0.8978387386962704,0.8953145917001338,0.684940650434285,0.816496580927726,1.8041500449180603,1.3104304075241089,1.7538726925849915,1.1017637252807617,1.6285678148269653,1.0615882873535156,2.770631772579213,3.6109179126442243,3.6733275815882696,3.817712325956905,0.47896891832351685,0.5960701107978821,0.17412660270929337,0.2374238669872284,0.20263671875,0.16900634765625
2,6029,M10_dense_island_spectral_pareto,0.8747117928833563,1.0071244482826471,3.468151278249417,1.6305902196509767,21.73913043478261,86.95652173913044,0.17051881551742554,0.8536481726168099,0.5401315749999562,2.1972245773362196,2.4849066497880004,2.3502401828962083,2.8903717578961645,2.962127898707266,3.044522437723423,3.2419357926749774,4.543294782270004,3.781080815612826,4.634728988229636,3.6017027605415475,4.204692619390966,0.9023251381741948,0.8585365853658536,0.8116331686603079,0.8168899108266634,1.4665900468826294,1.3746683597564697,1.467654287815094,1.2971354722976685,1.420976996421814,1.1882182359695435,2.8029010331479984,3.6375861597263857,3.8894197090091067,3.676300671907076,0.4424057602882385,0.5702724456787109,0.17710459977388382,0.25343936681747437,0.123504638671875,0.10955810546875
2,6029,M12a_edge_preserving_terrace,1.400381835298281,1.9556614069541514,7.123385603007744,1.6305902196509767,8.695652173913043,86.95652173913044,0.4888721704483032,0.5946102801212847,0.36544375427139597,1.9459101490553132,2.4849066497880004,2.5249280036247685,2.8903717578961645,2.7403194616709956,3.044522437723423,3.4292825173956825,4.543294782270004,4.040118708108351,4.634728988229636,4.06539757301265,4.204692619390966,0.9299491452670644,0.8585365853658536,0.8058153598395428,0.8168899108266634,1.8827531337738037,1.3746683597564697,1.7860076427459717,1.2971354722976685,1.5953446626663208,1.1882182359695435,2.596478425445105,3.6375861597263857,3.951058773138224,3.676300671907076,0.4628268778324127,0.5702724456787109,0.1697406768798828,0.25343936681747437,0.226898193359375,0.10955810546875
