growth_run_id,source,display_vmin_nm,display_vmax_nm
6101,measured,-1.609283235669136,1.3367317438125608
6101,M17_standalone,-1.5299814083012322,1.5574733039540574
6101,M23,-1.537726210758247,1.395404477647549
N6342,measured,-2.1388833105564116,2.493307715654366
N6342,M17_standalone,-2.3075946205830213,2.3117375114176717
N6342,M23,-2.2475780795434845,2.0395571683147473
N6358,measured,-2.760531705617905,2.584107023477543
N6358,M17_standalone,-2.4090515686676737,2.3664569582653825
N6358,M23,-2.196932769846877,1.9935992523814252
N6382,measured,-2.4436091482639313,3.6616463541984507
N6382,M17_standalone,-2.5223381595263397,2.2671990010651935
N6382,M23,-2.568212767894104,2.330516037769773
6084,measured,-4.31242665052414,3.1380884230136865
6084,M17_standalone,-6.362752378721996,7.970694892891617
6084,M23,-7.761869123298291,7.043482028067914
6072,measured,-4.833671379089355,3.4679625034332267
6072,M17_standalone,-2.0557155343163576,2.2924707461839597
6072,M23,-2.014290692674583,1.827861313787404
6078,measured,-5.455948615074158,3.8174072623252857
6078,M17_standalone,-5.757508244957917,6.293178480035836
6078,M23,-7.2009359512965085,6.534465107893051
6048,measured,-4.960167813301086,4.324050498008728
6048,M17_standalone,-4.727594450016681,5.511755173050582
6048,M23,-9.04159014940422,8.196834765047258
6082,measured,-4.686821293830872,5.766191160678855
6082,M17_standalone,-5.750063174670752,6.735989346761785
6082,M23,-6.879825439145139,6.243073849297741
N6390,measured,-5.123338854312896,5.576300799846643
N6390,M17_standalone,-2.846267273031194,3.21622303376585
N6390,M23,-2.9568654692944865,2.683197624381014
N6389,measured,-5.474203562736511,6.396416938304899
N6389,M17_standalone,-5.9670740140563945,7.416388021703207
N6389,M23,-7.261569655129165,6.589486958488107
6033,measured,-5.503284549713134,5.575230908393853
6033,M17_standalone,-6.099777936246679,6.011862852804396
6033,M23,-5.513921558753614,5.003589571831638
6085,measured,-6.1893217921257015,5.50083788633346
6085,M17_standalone,-9.98521819146845,11.71905045881411
6085,M23,-12.990138491315872,10.284351419706377
6029,measured,-7.1097030401229855,5.172666132450103
6029,M17_standalone,-3.338097580763738,3.872319833133534
6029,M23,-3.8274712525671797,3.4732259140370316
6090,measured,-6.664083087444306,5.934444797039029
6090,M17_standalone,-11.074957643969217,12.42203105062043
6090,M23,-8.716476935850338,7.909737676643757
6056,measured,-7.3967965006828305,6.381874847412104
6056,M17_standalone,-4.1006488069044815,3.8326509819625247
6056,M23,-4.1635426401782345,3.7781927643129665
6070,measured,-8.638327407836915,6.022351884841916
6070,M17_standalone,-3.5491251936434094,4.196663815972769
6070,M23,-4.773553454256401,4.331745025712199
6062,measured,-11.597570328712463,6.431173684597019
6062,M17_standalone,-11.284372979196306,17.648777648704392
6062,M23,-11.527181912055703,7.787095011708979
6047,measured,-5.6832549452781675,4.832055711746213
6047,M17_standalone,-6.757594389491043,6.244681310248502
6047,M23,-6.803936253565548,6.174209067537633
6080,measured,-13.773000860214234,9.907225847244252
6080,M17_standalone,-6.748278820185659,7.6560204029550905
6080,M23,-7.94304097156803,7.207885812389585
6057,measured,-12.21581506729126,11.368843507766671
6057,M17_standalone,-2.6531024076651537,3.0334203540492357
6057,M23,-8.412629139949333,7.6340120162776435
6094,measured,-13.402230548858643,9.59099750518797
6094,M17_standalone,-7.482245084671888,6.3457738426930055
6094,M23,-7.868230134827761,7.139998970223803
6028,measured,-17.559216451644897,11.36472675800323
6028,M17_standalone,-9.186117989269032,9.856790818475393
6028,M23,-14.753130873818806,11.290981608348215
6063,measured,-16.465147142410277,10.43831726074219
6063,M17_standalone,-11.137730440584383,10.549826381251204
6063,M23,-13.870555409727842,9.9883394758742
6095,measured,-20.42763113975525,18.653486728668184
6095,M17_standalone,-18.21304338450396,18.884791737637318
6095,M23,-12.855525816975906,21.411394662373976
6099,measured,-19.43426718711853,19.83989449501038
6099,M17_standalone,-14.19134630082543,12.995385952940001
6099,M23,-15.337552609187552,19.55075234468213
