video_path,sample_id,sample_dir,matched_video_glob,selected_for_processing,discovery_reason
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066/videos/N6066_raw_crop_256x256.mp4,N6066,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6066,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6067/videos/N6067_raw_crop_256x256.mp4,N6067,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6067,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6068/videos/N6068_raw_crop_256x256.mp4,N6068,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6068,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6070/videos/N6070_raw_crop_256x256.mp4,N6070,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6070,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6072/videos/N6072_raw_crop_256x256.mp4,N6072,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6072,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6073/videos/N6073_raw_crop_256x256.mp4,N6073,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6073,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6078/videos/N6078_raw_crop_256x256.mp4,N6078,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6078,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6080/videos/N6080_raw_crop_256x256.mp4,N6080,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6080,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6081/videos/N6081_raw_crop_256x256.mp4,N6081,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6081,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6082/videos/N6082_raw_crop_256x256.mp4,N6082,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6082,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6084/videos/N6084_raw_crop_256x256.mp4,N6084,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6084,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6085/videos/N6085_raw_crop_256x256.mp4,N6085,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6085,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6087/videos/N6087_raw_crop_256x256.mp4,N6087,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6087,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6088/videos/N6088_raw_crop_256x256.mp4,N6088,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6088,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6090/videos/N6090_raw_crop_256x256.mp4,N6090,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6090,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6093/videos/N6093_raw_crop_256x256.mp4,N6093,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6093,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6094/videos/N6094_raw_crop_256x256.mp4,N6094,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6094,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6095/videos/N6095_raw_crop_256x256.mp4,N6095,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6095,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6097/videos/N6097_raw_crop_256x256.mp4,N6097,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6097,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099/videos/N6099_raw_crop_256x256.mp4,N6099,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6099,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6100/videos/N6100_raw_crop_256x256.mp4,N6100,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6100,1,1,matched_video_glob
data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6101/videos/N6101_raw_crop_256x256.mp4,N6101,data/rheed_roi_shadow_right_v2_main_raw_crop_videos_256/N6101,1,1,matched_video_glob
