growth_run_id,true__log_rq_nm,predicted__log_rq_nm,true__unit_ra,predicted__unit_ra,true__unit_psd_mid_fraction,predicted__unit_psd_mid_fraction,true__unit_psd_high_fraction,predicted__unit_psd_high_fraction,true__unit_psd_slope,predicted__unit_psd_slope,true__log_unit_autocorr_length_nm,predicted__log_unit_autocorr_length_nm,true__log_unit_anisotropy_ratio,predicted__log_unit_anisotropy_ratio,true__unit_skewness,predicted__unit_skewness,true__unit_kurtosis,predicted__unit_kurtosis
6022,-1.2080073356628418,-0.20405206084251404,-0.8590425848960876,-0.31700819730758667,-0.03574637696146965,0.25985094904899597,0.28542155027389526,0.2131434828042984,1.1733951568603516,0.17445752024650574,0.026913920417428017,-0.13095612823963165,-0.06294727325439453,-0.10818370431661606,-1.7614308595657349,-0.08073046803474426,2.2410619258880615,0.20728690922260284
6028,1.1289787292480469,-0.2695435881614685,-0.24456636607646942,-0.05918091908097267,-0.38804349303245544,0.05521920695900917,-0.3385198712348938,0.032335199415683746,-0.06990942358970642,0.04278483986854553,-0.41547536849975586,-0.0006749589811079204,-0.8680289387702942,0.02236214280128479,-0.4402477741241455,-0.019442571327090263,0.16349342465400696,0.0547499917447567
6029,-0.4190364181995392,-0.21621832251548767,0.058278195559978485,-0.37638768553733826,-0.31313544511795044,0.2637145519256592,-0.3891635835170746,0.2380240559577942,-0.4042412340641022,0.2921973168849945,-0.41547536849975586,-0.10093538463115692,-0.6206284165382385,-0.08022294193506241,0.22824759781360626,-0.24002300202846527,-0.4312456250190735,0.4038558900356293
6033,-0.4343737065792084,0.15695703029632568,0.32984498143196106,-0.4471905529499054,-0.28068017959594727,0.30109140276908875,-0.40250274538993835,0.27575239539146423,-0.527676522731781,0.3406614363193512,-0.2547667324542999,-0.13109833002090454,-0.7550994753837585,-0.08419331163167953,0.7878236770629883,-0.29889166355133057,-0.6618786454200745,0.4653150737285614
6047,-0.09601061791181564,-0.26691752672195435,-0.6516651511192322,-0.510945200920105,0.08582071214914322,0.38612455129623413,0.11795016378164291,0.34414875507354736,0.4564535617828369,0.37447917461395264,-0.7917320728302002,-0.12310352176427841,-0.5214161276817322,-0.13019876182079315,-0.6805778741836548,-0.2713669240474701,0.23858773708343506,0.5520071983337402
6048,-0.49452996253967285,-0.23070725798606873,0.4660174250602722,0.6029058694839478,-0.31829410791397095,-0.453860342502594,-0.3930670917034149,-0.4414418935775757,-0.4556666910648346,-0.4663242995738983,0.835552990436554,0.13068482279777527,1.5310254096984863,0.052130911499261856,0.4806034564971924,0.33912327885627747,-0.5902115106582642,-0.6348119378089905
6057,0.8975855112075806,-0.07069886475801468,-0.1221216470003128,-0.6727403998374939,-0.22563211619853973,0.4917353391647339,-0.1190318912267685,0.4361730217933655,0.4151536524295807,0.46594876050949097,-0.10805124789476395,-0.22329047322273254,-0.43439990282058716,-0.1723378598690033,0.26107656955718994,-0.4285130798816681,-0.11328285932540894,0.7011875510215759
6062,-0.08167457580566406,0.007394998334348202,-1.494355320930481,-0.31943732500076294,-0.7001729607582092,0.3320084512233734,-0.6063225269317627,0.2955358326435089,-0.7023243308067322,0.34041377902030945,-1.1451491117477417,-0.052064452320337296,-0.5550318956375122,-0.08797502517700195,-1.7199302911758423,-0.11381656676530838,2.01546573638916,0.27138805389404297
6063,1.0668017864227295,-0.2427729368209839,-0.6678692698478699,-0.2470974624156952,-0.36549949645996094,0.21061024069786072,-0.5202078819274902,0.19247685372829437,-1.3125594854354858,0.27787184715270996,-0.5931305289268494,-0.05373162031173706,-0.7938446998596191,-0.03376834839582443,-1.1766633987426758,-0.09165466576814651,0.24097467958927155,0.2685199975967407
6070,-0.10737038403749466,-0.2586832344532013,-0.06419991701841354,-1.0431811809539795,3.20504093170166,0.14465183019638062,1.637209415435791,0.37866905331611633,1.3583168983459473,0.504814088344574,-0.5931305289268494,-0.293099969625473,-0.5945403575897217,-0.262556254863739,-0.2829812169075012,-0.578016996383667,0.01708436757326126,1.0352487564086914
