method,role,hypothesis,full27_mean_psd_log_distance,full27_mean_island_mae_z,full27_mean_peak_signature_mae_z,full27_texture_gate_fraction,n6342_psd_log_distance,n6342_island_mae_z,n6342_peak_signature_mae_z,n6342_persistent_peaks_h050,n6342_bright_fraction_z150,n6342_bright_median_area_z100_px,n6342_kurtosis,n6342_fine_detail_fraction
M10_dense_island_spectral_pareto,ablation/baseline,preserved dense-island/spectral baseline,0.8618036240623135,1.3412796354134155,1.1196262184840051,1.0,0.3486281183266653,0.9854849871497756,1.3479175825723293,49.5,0.0576171875,22.75,3.1743303537368774,0.2578639239072799
M16b_baseline_dense_microisland_terrace,ablation/baseline,preserved fixed dense-maxima smooth renderer,1.4535162952792509,1.7377211316308545,1.4573569833013975,0.8518518518518519,2.8319856074122427,1.0095096434580295,0.6765919566951838,84.5,0.067962646484375,17.0,2.65108323097229,0.238869123160839
M17a_fixed_sparse_peak_terrace,ablation/baseline,fixed 12-peak sparse ablation,0.9681188460886476,1.715390688392375,1.3271593813516784,0.8148148148148148,0.2575505460989111,0.8873825346546292,0.6935958942753003,59.0,0.051300048828125,19.0,3.371901273727417,0.2934942692518234
M17b_topology_sparse_peak_terrace,selected,selected RHEED-conditioned q82 peak-count renderer,0.9687004668638904,1.7177500928794098,1.327411640300195,0.8148148148148148,0.2599274879399076,0.8898073355890533,0.689692264621699,58.5,0.0509033203125,19.5,3.3370628356933594,0.2933665066957474
M17c_topology_sparse_finetexture_terrace,ablation/baseline,stronger fine-residual ablation,1.086873255667629,1.740462945326902,1.3760082962760558,0.8148148148148148,0.8303863520290066,0.9564376223282308,0.6187913091054609,65.5,0.0472412109375,17.0,3.336652994155884,0.3527548760175705
M17d_multiscale_texture_no_peak_terrace,ablation/baseline,no explicit peak layer,1.128760594104088,1.7546739718216442,1.407802579713514,0.7407407407407407,0.982284033188746,1.013778951738229,0.6698661385616556,73.5,0.046234130859375,15.25,3.2079169750213623,0.3775759935379028
M17e_broad_sparse_peak_terrace,ablation/baseline,few broad-peak ablation,0.9729937433261566,1.7158380791557326,1.31964246973566,0.8148148148148148,0.3531301922916265,0.916823718310016,1.03675758835097,54.0,0.04925537109375,19.75,4.129650115966797,0.2699549943208694
M17f_broad_sparse_finetexture_terrace,ablation/baseline,broad peaks plus stronger fine residual,1.0361150748987586,1.726124692850971,1.3351981450837145,0.8148148148148148,0.5862097153421028,0.9648319681595374,0.7935519399068672,59.0,0.0489501953125,16.5,3.7124074697494502,0.312671035528183
M17g_moderate_broad_topology_terrace,ablation/baseline,moderately broadened topology peaks,0.9804401638741806,1.7206373519220053,1.327417634413327,0.8148148148148148,0.322199413468279,0.8690351475026301,0.8593243129605086,58.0,0.0496826171875,15.75,3.730715751647949,0.2928241938352585
M17h_hierarchical_sparse_island_terrace,ablation/baseline,two-level shoulder/peak hierarchy,1.0158422997107726,1.726195057328061,1.3712449692116744,0.8148148148148148,0.5101904663120131,0.9234811359996388,1.3609283117382378,56.5,0.054595947265625,24.5,5.128379583358765,0.3002161830663681
M17i_soft_hierarchical_island_terrace,ablation/baseline,lower-weight two-level hierarchy,1.0495954559793388,1.72799394734169,1.3292763889294064,0.8148148148148148,0.6585017940886628,0.95355903609532,0.8348928045374653,61.0,0.052001953125,20.5,4.112117767333984,0.3270168155431747
