growth_run_id,predicted_sq_nm,smooth_branch_can_change,max_absolute_unit_map_change,exactly_unchanged
6022,1.313524054588533,True,0.45596790313720703,False
6028,4.128777784872166,False,0.0,True
6029,1.598836977651232,True,0.0016782283782958984,False
6033,2.455710404967717,False,0.0,True
6047,2.762874043733275,False,0.0,True
6048,2.32348641798451,False,0.0,True
6056,1.6338508663940672,False,0.0,True
6057,1.0050684949564073,True,0.9697115421295166,False
6062,6.16861145497886,False,0.0,True
6063,4.675286143644223,False,0.0,True
6070,1.8311266539120452,False,0.0,True
6072,0.7607716381015716,True,1.3727178573608398,False
6078,2.730365987671745,False,0.0,True
6080,3.1211499677224896,False,0.0,True
6082,2.861394532579381,False,0.0,True
6084,3.0027959743893105,False,0.0,True
6085,4.712617056715483,False,0.0,True
6090,5.133664548461037,False,0.0,True
6094,2.870153960817008,False,0.0,True
6095,8.758984720320248,False,0.0,True
6099,5.517232036351522,False,0.0,True
6101,0.5666429826402098,True,1.1468573808670044,False
N6342,0.8327786888639845,True,1.1127667427062988,False
N6358,0.8342641554266957,True,1.2948089838027954,False
N6382,0.8296865787219431,True,1.110552191734314,False
N6389,2.8771848693734574,False,0.0,True
N6390,1.2286004274463789,True,0.6599035263061523,False
