growth_run_id,path,sha256,bytes,stored_growth_matches,stored_method_matches,predicted_sq_matches_strict_loo,retrieval_at_inference,measured_afm_patch_used_at_inference,ensemble_draw_count
6082,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6082.npz,4d8242ad9c6ef08781b0635c447187f839a81f26db5d5f846387957d5e682b60,243408,True,True,True,False,False,4
6084,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6084.npz,b93bfe3bb978b093bd79411b3d6016911735d8d2ca4cf6e968427b98522d1eca,242941,True,True,True,False,False,4
6085,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6085.npz,b151381a1cfd4073ba108ec55102ce2b4cadaba67562db19777354e6ab055791,243341,True,True,True,False,False,4
6090,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6090.npz,d451b2c0ab2e6d42ac52e42658c33526bd1c73627e7eec2d3aaa48bffe2a3504,243527,True,True,True,False,False,4
6094,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6094.npz,90e52b36295b62ce18897c443c2e15fd58e5da5bb997b0e17b60ad5a82fac891,243275,True,True,True,False,False,4
6095,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6095.npz,f8c47e45b2ec26ebd31e5d01b03ed8e50b06920fd0fd4d554f2301a49e6b0409,242778,True,True,True,False,False,4
6099,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6099.npz,9abd47f6499ed2872a937d25d31208a0a1c69a40ba859573d60b4a74c419ac20,243055,True,True,True,False,False,4
6101,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/6101.npz,ba503d876d7c05664510daf6107df7c8cb332af0b98702b2ae56f39eeb82af46,243689,True,True,True,False,False,4
N6342,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/N6342.npz,0de31097944eab6ea89ec89938ecaefbcf2101077044c21be42d4af5149d4954,244826,True,True,True,False,False,4
N6358,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/N6358.npz,2b0bca19d6f873d2fa0ade5ad2d049873ee23a0d4bd1f409d3fa0ad06934d70f,244824,True,True,True,False,False,4
N6382,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/N6382.npz,ac64654e94d5eb9f48787cae9d1ac36dd7f4513d2e7259249ca6b1f37eb55896,244771,True,True,True,False,False,4
N6389,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/N6389.npz,26f4a4b83a79b4e4ebdd274cbf6ee2e2d2c304b3cbed30afbf520b307933ffa0,243228,True,True,True,False,False,4
N6390,/Users/ziyi/Desktop/LAB/code-worktrees/n6342-sparse-island-20260804/outputs/rheed_m17_end_to_end_generation/20260804_m17_sparse_topology_line3_full27_v1/full27_loo/crossfit/generated_maps/M17b_topology_sparse_peak_terrace/N6390.npz,9d8d51622c94f462fedbf5679984a9837e76667369cbe2d200a00ad047d00ade,244427,True,True,True,False,False,4
