sweep_descriptor,base_row_id,sample_id,guidance_scale,requested_raw,requested_cond,sample_index,generated_std,generated_min,generated_max,generated_height_mean,generated_height_std,generated_rq,generated_ra,generated_peak_to_valley,generated_p01,generated_p05,generated_p50,generated_p95,generated_p99,generated_robust_range,generated_skewness,generated_kurtosis,generated_mean_abs_gradient,generated_gradient_std,generated_gradient_orientation_entropy,generated_gradient_anisotropy,generated_psd_low_power,generated_psd_mid_power,generated_psd_high_power,generated_psd_slope,generated_autocorrelation_length_px,generated_island_coverage,generated_island_count,generated_island_mean_area_px,generated_height_min,generated_height_max,generated_slope_p50,generated_slope_p95,generated_slope_p99,generated_psd_peak_frequency,generated_island_mean_height
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,0.1639490128,-1,0,0.6363111138,-0.9988006353,0.9991447926,0.1340083371,0.6363110928,0.6363110928,0.5586363469,1.997945428,-0.9748315227,-0.9028365642,0.1958830953,0.9751893133,0.9942149818,1.969046504,-0.233645954,1.697923662,0.1660279674,0.1320232876,0.9967617212,0.1569520714,9.15718764,3.905276275,1.169608916,-4.09345116,6,0.25,29,141.2413793,-0.9988006353,0.9991447926,0.1390780435,0.4179951707,0.5774257744,0.02816836934,0.8996267662
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,0.1639490128,-1,1,0.6264949441,-0.9974278212,0.9999223948,0.05514308963,0.6264949646,0.6264949646,0.5486140295,1.997350216,-0.9823647225,-0.9217636019,0.08819228411,0.9610068649,0.9971406311,1.979505354,-0.1027366639,1.696492714,0.158213355,0.1181474863,0.9972290733,0.1448297949,8.939229539,3.711376715,1.157167739,-4.083887466,7,0.25,29,141.2413793,-0.9974278212,0.9999223948,0.1363368585,0.38727563,0.5144897553,0.01746928107,0.8444339322
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,14.8434782,0,0,0.6349385381,-0.9987686872,0.9995331764,0.08771264455,0.6349385339,0.6349385339,0.5585041197,1.998301864,-0.9759077489,-0.9134523511,0.1195275821,0.9678248823,0.9928679961,1.968775745,-0.1379050753,1.668232314,0.1618613225,0.1264834552,0.998011341,0.1168244869,9.10791937,3.878793292,1.216061193,-4.064772142,7,0.25,25,163.84,-0.9987686872,0.9995331764,0.1355677985,0.4054039227,0.5539210858,0.0078125,0.8777214375
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,14.8434782,0,1,0.656755507,-0.9966708422,0.9985012412,0.08101752449,0.6567554848,0.6567554848,0.5847205196,1.995172083,-0.9836998701,-0.9296877742,0.1232632957,0.9699779242,0.9926229674,1.976322837,-0.1346598752,1.590071398,0.1569602025,0.1260754152,0.9977355604,0.1134772869,9.056773086,3.827291874,1.060629572,-4.156962497,7,0.25,28,146.2857143,-0.9966708422,0.9985012412,0.1281260325,0.4066874356,0.5211044611,0.015625,0.8872421163
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,29.52300739,1,0,0.6357277632,-0.9918324947,0.9992392063,0.08923880681,0.6357277615,0.6357277615,0.5589177548,1.991071701,-0.9713223904,-0.9146410614,0.1256300509,0.9695496947,0.993769961,1.965092351,-0.1340424998,1.664874512,0.161504053,0.1289684647,0.9984845965,0.1053322131,9.153247314,4.025126814,1.194408675,-4.071763128,7,0.25,21,195.047619,-0.9918324947,0.9992392063,0.1318739366,0.4148101517,0.5655331654,0.015625,0.8819446253
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,29.52300739,1,1,0.6457032561,-0.9977245927,0.9996865392,0.050139444,0.6457032697,0.6457032697,0.5685866778,1.997411132,-0.982427724,-0.935806942,0.08377321064,0.9593188137,0.992134611,1.974562335,-0.1064181275,1.640853437,0.1575491866,0.12473312,0.9991896512,0.0516709148,9.06503949,3.854821208,1.177075122,-4.096728651,7,0.25,27,151.7037037,-0.9977245927,0.9996865392,0.1323493373,0.3945414466,0.5595329551,0.02470529422,0.8596930578
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,44.20253658,2,0,0.629445672,-0.9994679689,0.9997230768,0.1229213074,0.6294456482,0.6294456482,0.5523044399,1.999191046,-0.9843509686,-0.9077592254,0.1848326996,0.9700662702,0.9927029014,1.97705387,-0.2292071444,1.713240643,0.1681971882,0.1334146172,0.998487314,0.09730991093,9.112961349,3.910268103,1.185109165,-4.046745255,6,0.25,34,120.4705882,-0.9994679689,0.9997230768,0.1406143126,0.4293542055,0.5923154793,0.01746928107,0.8820898775
autocorrelation_length_px,afmv2_06e9a8457ab9,6058,1.5,44.20253658,2,1,0.6329393983,-0.9982538819,0.9995242357,0.130872631,0.6329394055,0.6329394055,0.5593340376,1.997778118,-0.9703000957,-0.8818233997,0.188682273,0.9757048547,0.9964448208,1.966744916,-0.2028324485,1.66275695,0.1616426546,0.1282529892,0.9990647091,0.02496151243,9.098362558,3.892944733,1.098740253,-4.14002776,7,0.25,26,157.5384615,-0.9982538819,0.9995242357,0.1342252461,0.4097516702,0.5675470176,0.0078125,0.8964355997
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,-14.51558018,-2,0,0.6250540018,-0.9957731366,0.9999759793,0.1223829791,0.6250540161,0.6250540161,0.5511373028,1.995749116,-0.9568815362,-0.8730124593,0.1511344314,0.973098582,0.9972646612,1.954146197,-0.1481388933,1.667346859,0.1566812394,0.1249500278,0.9979199708,0.09377655285,9.013069742,3.801879372,1.165010857,-4.077827245,7,0.25,34,120.4705882,-0.9957731366,0.9999759793,0.128850373,0.4045436823,0.5445648959,0.01104854346,0.8958307337
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,-14.51558018,-2,1,0.6336892247,-0.9944424629,0.9991125464,0.04458290733,0.6336892096,0.6336892096,0.5613001857,1.993555009,-0.9770400494,-0.9215567768,0.07247053832,0.9635444582,0.99443295,1.971472999,-0.06925817285,1.638305241,0.1631479995,0.1260882112,0.9955723567,0.2159261536,9.072691814,3.881253946,1.247553848,-4.026953628,7,0.25,32,128,-0.9944424629,0.9991125464,0.1363124372,0.4057256282,0.5536981202,0.01746928107,0.8445336522
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,0.1639490128,-1,0,0.6356863976,-0.9958851337,0.9998042583,0.07465566362,0.6356864212,0.6356864212,0.5604286203,1.995689392,-0.9752483457,-0.9102957785,0.1173775122,0.968930462,0.9961786675,1.971427013,-0.11212366,1.649249948,0.1676498007,0.1333779133,0.9985085987,0.0188997614,9.143625059,3.984463809,1.209928016,-4.055013077,6,0.25,28,146.2857143,-0.9958851337,0.9998042583,0.1372788853,0.4258388294,0.5854513203,0.015625,0.8706546898
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,0.1639490128,-1,1,0.6297956109,-0.9984933734,0.9999155402,0.03931817333,0.6297956331,0.6297956331,0.5521710851,1.998408914,-0.9827717507,-0.9204439521,0.03111706674,0.974530375,0.9949778301,1.977749581,-0.002814233319,1.68292817,0.1590669279,0.1238359235,0.9978073156,0.107626353,9.026958139,3.7988908,1.187840511,-4.062557836,7,0.25,25,163.84,-0.9984933734,0.9999155402,0.1343753742,0.3979127264,0.5359041309,0.02209708691,0.8584422676
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,14.8434782,0,0,0.6123837233,-0.9985415339,0.9999321103,0.1651184569,0.6123837295,0.6123837295,0.5371690505,1.998473644,-0.9707314378,-0.8576613307,0.2063633278,0.97556144,0.9950197041,1.965751142,-0.2310468734,1.751364609,0.1631990705,0.1272087651,0.9975815675,0.1494840533,9.10125931,3.879120777,1.252761786,-4.021060522,6,0.25,28,146.2857143,-0.9985415339,0.9999321103,0.1367614871,0.4102767289,0.5613541059,0.01746928107,0.9066877736
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,14.8434782,0,1,0.6268321872,-0.9977211356,0.9993163347,0.09641392807,0.6268322173,0.6268322173,0.5533476709,1.99703747,-0.9789156759,-0.8847775817,0.1149040088,0.9730835199,0.9946820039,1.97359768,-0.1008937721,1.663829388,0.1660257309,0.132673769,0.9989810245,0.060083977,9.103909082,3.966906861,1.288817497,-3.954604317,6,0.25,29,141.2413793,-0.9977211356,0.9993163347,0.1347667056,0.4264394103,0.5670566504,0.0390625,0.8859775976
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,29.52300739,1,0,0.6232892275,-0.9964911342,0.9996455312,0.1671419778,0.6232892126,0.6232892126,0.5487982083,1.996136665,-0.9687395895,-0.869764933,0.2553453892,0.9757106155,0.9970676404,1.96580723,-0.2955551116,1.734772656,0.1606264401,0.1270359569,0.9976469033,0.08049930805,9.024928303,3.776481413,1.115271938,-4.110552182,7,0.25,34,120.4705882,-0.9964911342,0.9996455312,0.1327804418,0.4075992679,0.5492719638,0.02209708691,0.8992670556
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,29.52300739,1,1,0.6301908493,-0.9998663664,0.9996916056,0.05827690501,0.630190858,0.630190858,0.5546673664,1.999557972,-0.9806568909,-0.9193522006,0.09523201361,0.960469982,0.9956105936,1.976267484,-0.09993473408,1.665407252,0.1687694524,0.129003709,0.9971801802,0.137174616,9.100669141,3.925519185,1.241443999,-4.018945567,6,0.25,30,136.5333333,-0.9998663664,0.9996916056,0.1427717867,0.4223747153,0.5562066139,0.03314563037,0.8509869442
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,44.20253658,2,0,0.6417336464,-0.9981927276,0.9989079833,0.0001446403559,0.6417336397,0.6417336397,0.5676298738,1.997100711,-0.9825861752,-0.9340364933,-0.008881674614,0.9487478197,0.9884015518,1.970987727,0.01358187617,1.616970019,0.1667714205,0.129634323,0.9975415791,0.1438641467,9.137657775,3.950507541,1.232127364,-4.053899029,7,0.25,24,170.6666667,-0.9981927276,0.9989079833,0.1409073036,0.4242868708,0.5648955982,0.01746928107,0.8311388305
autocorrelation_length_px,afmv2_84343ccdd8fc,6058,1.5,44.20253658,2,1,0.6295636296,-0.9995310307,0.9999429584,0.03871497597,0.6295636484,0.6295636484,0.5517262338,1.999473989,-0.9857076383,-0.9289972544,0.03756063804,0.9622314006,0.9948222274,1.980529866,-0.03709191719,1.685571144,0.1642168065,0.1271722899,0.9965058151,0.08348485618,9.097271827,3.894279416,1.141167297,-4.098481342,7,0.25,32,128,-0.9995310307,0.9999429584,0.137714512,0.4140231048,0.5513549648,0.01746928107,0.8495421777
gradient_anisotropy,afmv2_06e9a8457ab9,6058,0.0,-0.03772445023,-2,0,0.6348454952,-0.9974164367,0.999484241,0.07330372702,0.6348455103,0.6348455103,0.555273512,1.996900678,-0.9760424125,-0.9236842096,0.0991679728,0.966900152,0.9937065405,1.969748953,-0.1234576077,1.68663288,0.1694944187,0.1298206534,0.9985432184,0.05639427144,9.127218975,4.00901717,1.268924782,-4.005864263,6,0.25,33,124.1212121,-0.9974164367,0.999484241,0.1456017202,0.4179429078,0.5559716706,0.02209708691,0.8694101248
