sample_id,growth_run_id,afm_file_id,raw_afm_file,raw_afm_sha256,decoded_zsensor_path,decoded_zsensor_sha256,height_array_path,afm_path,afm_preprocessing_variant,roughness_metric,line_flatten_order,selected_array_sha256,scan_size_um,scan_size_x_um,scan_size_y_um,resolution_x,resolution_y,height_unit,channel,sq_nm,rq_recomputed_nm,provenance_decision,provenance_reason,provenance_review_status,provenance_excluded,include_for_modeling,sq_order_0_nm,sq_order_1_nm,sq_order_2_nm,sq_order_3_nm,duplicate_group_size,duplicate_rank,excluded_by_hash_deduplication,key,raw_rms_nm,line0_sq_nm,line1_sq_nm,line2_sq_nm,line3_sq_nm
6033,6033,N6033_1um_016,data/pair/6033/AFM/N6033_1um.016,0097762bb45fbd5f86ecf7298739580601daf4d02c3bfa46a65795a076276e15,data/processed_afm/6033/N6033_1um_016/N6033_1um_016_height.npy,dadd14432293bb7ec50305d27c773cfbc43759d8dee3c93c4242e8f795266882,data/afm_metrology_line3_v1/order_3/6033/N6033_1um_016/N6033_1um_016_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6033/N6033_1um_016/N6033_1um_016_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,ca439ea6e6473f5995c9c21500df3f38c6020e28824477c91fef793ee64ec1ba,1.0,1.0,1.0,256,256,nm,ZSensor,2.0502288469039893,2.0502288469039893,include,,not_flagged,False,True,2.2223860764160333,2.1354517877696604,2.108900965558823,2.0502288469039893,2,0,False,data/pair/6033/AFM/N6033_1um.016,8.205862104353361,2.222386076385651,2.1354517877920345,2.1089009654748683,2.050228846851853
6033,6033,N6033_1um_018,data/pair/6033/AFM/N6033_1um.018,7fa6e8997f4a879f2da589db6712db440eb9a38c73641382ad1fae613846f0a9,data/processed_afm/6033/N6033_1um_018/N6033_1um_018_height.npy,79e9ccc4755ee9347acc5cf5543ffeb60c3d78352b056b98c2a1738a90b56f8f,data/afm_metrology_line3_v1/order_3/6033/N6033_1um_018/N6033_1um_018_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6033/N6033_1um_018/N6033_1um_018_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,5dd175ac509ca63502293a621650c865569a3a058d2785cd9f832b23d9368e41,1.0,1.0,1.0,256,256,nm,ZSensor,2.0052845979986333,2.0052845979986333,include,,not_flagged,False,True,2.2151095638674603,2.162021838584715,2.088383189375798,2.0052845979986333,1,0,False,data/pair/6033/AFM/N6033_1um.018,7.600321843423751,2.215109564169668,2.1620218382972394,2.088383189139313,2.0052845980370853
6047,6047,N6047_1um_006,data/pair/6047/AFM/N6047_1um.006,70cf8efcaefc1aaf574a5d06ba43a75388ffcd57ad7372d8afa71345dda75102,data/processed_afm/6047/N6047_1um_006/N6047_1um_006_height.npy,29131cb372db66009417331926a0cc79a3bb681a430f9efd1430275e100eceef,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_006/N6047_1um_006_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_006/N6047_1um_006_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,129709fb2bf71590f8619cad92da05d662c28ded4212858619e21403937d3e3c,1.0,1.0,1.0,256,256,nm,ZSensor,5.025601540949032,5.025601540949032,include,,not_flagged,False,True,5.328616533162287,5.177486594356702,5.084906451644493,5.025601540949032,1,0,False,data/pair/6047/AFM/N6047_1um.006,7.777365093083527,5.328616531386868,5.17748659498128,5.0849064502311085,5.025601539935055
6047,6047,N6047_1um_007,data/pair/6047/AFM/N6047_1um.007,74b93187c469a7a3c7f434476187131edc25d2b1ab80cdd74ad83a3bf441971e,data/processed_afm/6047/N6047_1um_007/N6047_1um_007_height.npy,2b7a655133b5666f40668de6988da447ec090d3c5c2421766892bed74b1c5e39,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_007/N6047_1um_007_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_007/N6047_1um_007_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,a85be6d510ddedd8729939cb0bd0659f0903fad120e507855e641499611fbe7f,1.0,1.0,1.0,256,256,nm,ZSensor,5.234367122046856,5.234367122046856,include,,not_flagged,False,True,5.609070507041723,5.501129372964632,5.348826210843048,5.234367122046856,1,0,False,data/pair/6047/AFM/N6047_1um.007,9.98111060828812,5.609070506458595,5.501129374667659,5.348826211692339,5.234367122378144
6047,6047,N6047_1um_008,data/pair/6047/AFM/N6047_1um.008,40370729e3320ca59c5f59125c77f3e71c4da8422dce3b78ef4f027f7cd1507f,data/processed_afm/6047/N6047_1um_008/N6047_1um_008_height.npy,5fde228b40c40059eef07d43fb1273a26b86f94a0659cdbafdbb1c68c6b820a1,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_008/N6047_1um_008_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_008/N6047_1um_008_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,0887d2ed6a53c4818af930064f91c2df923d964689a2389d4c41447693556a3c,1.0,1.0,1.0,256,256,nm,ZSensor,4.693406793135006,4.693406793135006,include,,not_flagged,False,True,4.693406795173101,4.693406793867055,4.6934067944296345,4.693406793135006,1,0,False,data/pair/6047/AFM/N6047_1um.008,4.69340679423369,4.693406794102701,4.693406793976378,4.693406793846133,4.693406793697147
6047,6047,N6047_1um_011,data/pair/6047/AFM/N6047_1um.011,3af349cc60891fe031de33e99649ac3c5f95d648223dcf6cca445d982592fa70,data/processed_afm/6047/N6047_1um_011/N6047_1um_011_height.npy,483d40d9c85710fc54763e10ba7a32c3b5ac4983f4510c1c5d23836a81a449a5,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_011/N6047_1um_011_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_011/N6047_1um_011_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,86cc274d19f6d57d9dae0a9da10b76a0c668712ef986a7c0697afcabe90155f7,1.0,1.0,1.0,256,256,nm,ZSensor,1.897481736109114,1.897481736109114,include,,not_flagged,False,True,1.897481736924796,1.8974817371835104,1.8974817366511716,1.897481736109114,1,0,False,data/pair/6047/AFM/N6047_1um.011,1.8974817368767247,1.8974817368230656,1.8974817367472103,1.8974817366806147,1.8974817366009835
6047,6047,N6047_1um_012,data/pair/6047/AFM/N6047_1um.012,cd37e715716d3bea08c28196a3502939d3bc47c1b695217dcd1ea12b24b12bbb,data/processed_afm/6047/N6047_1um_012/N6047_1um_012_height.npy,796fc37d031caee7efb00a6be0fa439e23d87f87eae2c4eac7c32e1c7cb20e21,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_012/N6047_1um_012_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_012/N6047_1um_012_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,c31ff472cdeeb7102d98acc6af9f57b442766a8d1f3c6909645919a212aafe0b,1.0,1.0,1.0,256,256,nm,ZSensor,1.8641512574581376,1.8641512574581376,include,,not_flagged,False,True,1.8641512568245744,1.8641512568338792,1.8641512569724428,1.8641512574581376,1,0,False,data/pair/6047/AFM/N6047_1um.012,1.8641512574807857,1.8641512574289587,1.8641512573675008,1.864151257308946,1.864151257240931
6047,6047,N6047_1um_013,data/pair/6047/AFM/N6047_1um.013,0e3232c160c28e6d4e4f712faae4b37f298365597e4aff86743b99dc2c6aeb02,data/processed_afm/6047/N6047_1um_013/N6047_1um_013_height.npy,38ef3109f85e1c4e76a6ebb78fde23c13e16642a493701f9a56bbb79641905fb,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_013/N6047_1um_013_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6047/N6047_1um_013/N6047_1um_013_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,aab6ed7cb9bb8ebb0008b59517e65195663c562e65cb60ad75756a24b39968ab,1.0,1.0,1.0,256,256,nm,ZSensor,2.0036654463184367,2.0036654463184367,include,,not_flagged,False,True,2.0036654460763343,2.003665446125052,2.003665446930608,2.0036654463184367,1,0,False,data/pair/6047/AFM/N6047_1um.013,2.003665446511695,2.003665446466638,2.003665446423468,2.0036654463630468,2.003665446307839
6048,6048,N6048_1um_026,data/pair/6048/AFM/N6048_1um.026,c710888f86d139ddf562be7f685b76648561fab12223e7c19bf8bfb62cdba24f,data/processed_afm/6048/N6048_1um_026/N6048_1um_026_height.npy,389bfa88ef7b92eee63e0fc1bf0f8765bd0ee43e388956eec64c0bf880272355,data/afm_metrology_line3_v1/order_3/6048/N6048_1um_026/N6048_1um_026_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6048/N6048_1um_026/N6048_1um_026_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,35a41456d8f611c76875c4a523148440f678fa2b4b56beed29dabbc046b2e357,1.0,1.0,1.0,256,256,nm,ZSensor,1.7628175269866806,1.7628175269866806,include,,not_flagged,False,True,1.9126667518696967,1.837002383021881,1.7996974286965073,1.7628175269866806,1,0,False,data/pair/6048/AFM/N6048_1um.026,14.131152693033062,1.9126667522222296,1.837002383192285,1.7996974287145429,1.7628175266059485
6048,6048,N6048_1um_027,data/pair/6048/AFM/N6048_1um.027,e4361554f7c0b3c6c6970281a433a789a92bdf0c0f0c690c3b6a8b2835c353db,data/processed_afm/6048/N6048_1um_027/N6048_1um_027_height.npy,0b21d686a8b09d3e4b548ac6bedbc5e058f8b3e698954d617fc18523115dbb02,data/afm_metrology_line3_v1/order_3/6048/N6048_1um_027/N6048_1um_027_line_flatten_o3.npy,data/afm_metrology_line3_v1/order_3/6048/N6048_1um_027/N6048_1um_027_line_flatten_o3.npy,line3_scanline_flatten_v1,Sq_areal_RMS_height_nm,3,5b8f7968456cb6d09b4ddad727475a91e995a0d1cefe56280cf63a6e9fd5369a,1.0,1.0,1.0,256,256,nm,ZSensor,1.8681482024778508,1.8681482024778508,include,,not_flagged,False,True,1.8681482021041231,1.8681482022955191,1.8681482023592937,1.8681482024778508,1,0,False,data/pair/6048/AFM/N6048_1um.027,1.8681482023968377,1.868148202366904,1.8681482023033795,1.868148202263865,1.8681482022198752
