raw_path,channel_id,channel_title,xres,yres,z_unit,raw_rms_nm,line0_sq_nm,line1_sq_nm,line2_sq_nm,line3_sq_nm
/Users/ziyi/Desktop/LAB/code/data/pair/6101/AFM/N6101_1um.002,0,ZSensor,256,256,m,12.310453924737295,1.0795559802627837,0.8425391073493403,0.6445973040211902,0.5678061457081044
/Users/ziyi/Desktop/LAB/code/data/pair/6101/AFM/N6101_1um.002,1,Peak Force Error,256,256,V,1259301.3293747362,1259189.3596994237,1258973.6183424282,1258762.9233088205,1258154.530077406
/Users/ziyi/Desktop/LAB/code/data/pair/6081/AFM/N6081_1um.000,0,ZSensor,256,256,m,0.9417254299388289,0.9417254299159513,0.9417254298853804,0.9417254298603923,0.9417254298297244
/Users/ziyi/Desktop/LAB/code/data/pair/6081/AFM/N6081_1um.000,1,Peak Force Error,256,256,V,743809.5354745376,743447.390588485,742885.1648521314,741641.3101906745,740003.6422038791
/Users/ziyi/Desktop/LAB/code/data/pair/6095/AFM/N6095_1um.003,0,ZSensor,256,256,m,8.14955112715475,8.149551127091401,8.149551127004035,8.149551126930348,8.149551126848692
/Users/ziyi/Desktop/LAB/code/data/pair/6095/AFM/N6095_1um.003,1,Peak Force Error,256,256,V,4013795.032311789,4012843.8528656405,4008863.270961071,4003468.677825776,3991438.1114908564
/Users/ziyi/Desktop/LAB/code/data/pair/6099/AFM/N6099_1um.000,0,ZSensor,256,256,m,12.899638369504233,9.97043570004973,9.710525062846393,9.468586455446404,9.32081355685937
/Users/ziyi/Desktop/LAB/code/data/pair/6099/AFM/N6099_1um.000,1,Peak Force Error,256,256,V,7467850.1956692375,7465630.836714732,7456790.930772322,7440149.371974139,7418185.958771214
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,0,ZSensor,512,512,m,9.553147403354725,1.229570636016236,0.8861625791669046,0.8738295882743647,0.8606519388220015
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,1,Peak Force Error,512,512,V,2312293.293209276,2312189.9060077355,2311984.1731134574,2311634.4054876515,2311247.9248932246
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,2,Stiffness,512,512,V,80469158.7637706,80140342.33441348,79943846.45320645,79631747.07446624,79396167.8452999
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,3,LogDMTModulus,512,512,V,21590976.520320483,21503664.733924586,21448789.06524829,21363796.75774456,21298959.379163813
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,4,Adhesion,512,512,V,4801912.359841357,4692236.401424071,4554614.273806275,4481860.64913676,4416415.491183451
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,5,Deformation,512,512,m,0.3883558423530309,0.3840368393162029,0.3790277723389827,0.3722271278598583,0.3675789073938867
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,6,Dissipation,512,512,V,327187.6617427834,326399.6001915116,325500.5261095816,324479.79906489287,323710.5908497346
/Users/ziyi/Desktop/LAB/code/data/AFM-extra-five/N6342/N6342_2um_4.000,7,Height,512,512,m,24.391816681487274,1.5602209951764734,0.9029649153704999,0.8902387680457443,0.8770514090806655
