growth_run_id,clip_cache_path,local_peak_count,local_peak_aspect,local_peak_horizontal_alignment,local_peak_horizontal_aspect,local_peak_horizontal_aspect_q75,local_peak_strong_streak_fraction
6022,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6022.npz,24.0,1.6462431190369764,0.9870525197915265,1.6288008413927262,2.0034743494414173,0.25
6028,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6028.npz,24.0,1.6439598340815378,0.9983269499849798,1.6416683557123903,1.7494460021557516,0.08333333333333333
6029,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6029.npz,24.0,1.6217531261691667,0.9977101542514288,1.616087894780118,1.8064676289236243,0.125
6033,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6033.npz,24.0,1.5738058947903322,0.9976088285419018,1.568708876538104,1.7783386057749078,0.125
6047,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6047.npz,24.0,1.685537870831276,0.9978365120386166,1.6835954263960395,1.8229084815304617,0.14583333333333331
6048,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6048.npz,24.0,1.7095192825096186,0.9984975185838084,1.705052556246245,1.8795430460237235,0.1875
6056,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6056.npz,24.0,1.6925100040612866,0.997515396610577,1.6890384669622114,1.7495601597613626,0.14583333333333331
6057,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6057.npz,24.0,1.4226568063461835,0.996514561258925,1.4176490552415792,1.4298727377340217,0.041666666666666664
6062,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6062.npz,24.0,1.6373828482458785,0.9972715150066194,1.633894203350779,1.7434996976483514,0.0625
6063,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6063.npz,24.0,1.5664486783257636,0.9980841740183106,1.563987279971065,1.6378589682155797,0.0625
6070,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6070.npz,24.0,1.7185057411088656,0.9984145308702087,1.715408453609018,1.9233575642345166,0.1875
6072,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6072.npz,24.0,1.684841632132366,0.9997310270615547,1.6838449089745446,1.9737975917034603,0.25
6078,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6078.npz,24.0,1.4478532275990315,0.9985954748976249,1.445487613445877,1.5155945618520024,0.041666666666666664
6080,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6080.npz,24.0,1.6020052735702985,0.9994426014566207,1.6010196897163351,1.8191362531068385,0.10416666666666666
6081,/Users/ziyi/Desktop/LAB/code/outputs/rheed_manual_vs_auto_selection/20260729_m14i_human_vs_auto_full23_v1/machine_dataset/clip_variants/selected_16/6081.npz,24.0,1.3841671065782326,0.9976766526950621,1.3789229844695718,1.4680932568480738,0.0
