target,method,excluded_growth_count,excluded_growth_run_ids,growth_group_count,mae,median_absolute_error,rmse,pearson_r,spearman_rho,selection_used_afm_target
Rq_nm,M12a_frozen_alpha1,0,,23,1.9100747989313351,1.3221523767382153,2.4849764459756263,0.265392757850007,0.30335968379446643,False
FSMI_nm,M12a_frozen_alpha1,0,,23,1.7480819285347646,0.9787549067821608,2.352490931470062,0.15802735810837595,0.23715415019762848,False
Rq_nm,M12a_frozen_alpha1,2,6101;6063,21,1.9603882201978882,1.5937597158224448,2.594350267549891,0.2707514185897102,0.21818181818181817,False
FSMI_nm,M12a_frozen_alpha1,2,6101;6063,21,1.6880711936658737,1.2998185655445105,2.3987733119437333,0.20987184882926618,0.3246753246753247,False
Rq_nm,M12a_frozen_alpha1,3,6101;6063;6029,20,2.3208410126133074,1.5630047780897853,3.2276370087386557,0.25331884883508254,0.21804511278195485,False
FSMI_nm,M12a_frozen_alpha1,3,6101;6063;6029,20,1.9658209690757407,1.2594564658964285,2.8532655897808437,0.2111345263303384,0.29774436090225564,False
Rq_nm,M12a_frozen_alpha1,4,6101;6063;6029;6028,19,2.040705434293272,1.6258807265539443,2.662059792856576,0.15596172009095316,0.19122807017543858,False
FSMI_nm,M12a_frozen_alpha1,4,6101;6063;6029;6028,19,1.7149299237511504,1.1402742303842768,2.379245409027198,0.13543883627668843,0.24912280701754386,False
