row_id,sample_id,group_id,split,source_kind,height_mean,height_std,rq,ra,peak_to_valley,p01,p05,p50,p95,p99,robust_range,skewness,kurtosis,mean_abs_gradient,gradient_std,gradient_orientation_entropy,gradient_anisotropy,psd_low_power,psd_mid_power,psd_high_power,psd_slope,autocorrelation_length_px,island_coverage,island_count,island_mean_area_px
afm_00001_00571d45e8,6022,6022,train,physical_height,-1.662331661e-10,1.359708218,1.359708218,0.9400447195,18.97526312,-4.268743157,-2.265856147,0.04228600487,1.996894449,3.242276061,7.511019218,-1.210529342,10.08185735,0.2568888632,0.289454561,0.997095407,0.1650240181,12.00867504,7.708312715,5.410889073,-3.058968714,8,0.25,144,113.7777778
afm_00002_313e18b304,6023,6023,test,physical_height,-5.159823679e-10,10.28980427,10.28980427,7.278920406,108.0130234,-38.47190437,-17.14092875,1.239253938,13.72373581,16.73582201,55.20772638,-1.891907992,10.97121847,0.7733402188,0.9016093488,0.9901390393,0.08106280357,14.33349205,10.00636709,6.562877645,-3.852440567,19,0.25,17,963.7647059
afm_00003_b76327ec18,6028,6028,test,physical_height,-1.081919554e-10,2.319946932,2.319946932,1.810980193,19.10214138,-5.850485229,-3.959911585,0.09507948905,3.704199553,5.451411605,11.30189683,-0.117880424,3.379155092,0.500456025,0.425482084,0.9952389597,0.1476109225,13.11231593,8.009672616,5.430478005,-3.625305381,8,0.25,99,165.4949495
afm_00004_f989167d9f,6029,6029,train,physical_height,-6.166578359e-11,2.965615884,2.965615884,2.336985371,20.98334217,-6.791986299,-4.922605991,0.04803492315,4.459757924,8.014020252,14.80600655,0.05490388246,3.225960629,0.5496961146,0.4844783459,0.9936722092,0.07693579061,13.39273312,8.298558569,5.543723505,-3.791014803,10,0.25,56,292.5714286
afm_00005_2c304fd671,6033,6033,train,physical_height,-2.13537299e-10,2.549088625,2.549088625,2.036069658,16.90186167,-5.902049303,-4.069279552,-0.09698341414,4.428282022,5.972692585,11.87474189,0.07787297556,2.893888784,0.4758792773,0.3963770871,0.9951490903,0.1552295678,13.0993392,7.936114798,5.077964505,-3.859142874,11,0.25,57,287.4385965
afm_00006_4b0fb6ea95,6041,6041,train,physical_height,1.994105853e-10,3.190454958,3.190454958,2.55259888,21.98829651,-7.499547086,-5.390916038,0.1046832204,5.32628839,6.922397528,14.42194461,-0.1271190216,2.833564341,0.2945548738,0.203918957,0.9988418829,0.1019294549,13.48286079,9.32662082,6.577238614,-3.443988055,20,0.25,104,630.1538462
afm_00007_9e449ffc89,6043,6043,train,physical_height,-2.816466954e-10,5.958147964,5.958147964,4.760742933,41.43667221,-14.64535666,-10.7574861,0.5003019273,8.724581003,12.39077268,27.03612933,-0.3751314707,3.004047181,2.560856141,1.50289326,0.9939106167,0.2514288736,13.80622233,9.32111458,6.313216348,-3.301445374,4,0.25,63,42.92063492
afm_00008_1d28ad0abe,6047,6047,train,physical_height,-1.593703225e-10,2.003665446,2.003665446,1.57302551,14.84079647,-4.974616647,-3.279775083,-0.009732018225,3.345926166,4.492361283,9.46697793,-0.1023761115,3.163373449,0.4598123673,0.385124463,0.9964620421,0.1954872579,12.89630958,7.811069203,5.139405607,-3.576914228,8,0.25,96,170.6666667
afm_00009_e897664da5,6048,6048,test,physical_height,-2.356060624e-10,1.868148203,1.868148203,1.467842961,14.67003345,-4.926150608,-3.153000295,0.05208306946,2.916844964,4.014709282,8.94085989,-0.2265457313,3.331853008,0.4010003632,0.3362239666,0.9974324821,0.1851127098,12.6649781,7.645261632,4.874828569,-3.638755868,8,0.25,76,215.5789474
afm_00010_758feda8e0,6056,6056,train,physical_height,-1.239819358e-10,3.555016521,3.555016521,2.790400085,31.05485058,-8.057305813,-5.517651343,-0.1650984064,6.335570049,9.022379103,17.07968492,0.2304415235,3.299756424,0.3364630339,0.314923265,0.9899668912,0.2265653147,14.03267527,9.255851068,5.851295838,-3.932891056,30,0.25,86,762.0465116
