target,confidence_method,confidence_vs_absolute_error_spearman,p_value,aurc_nm,risk_at_50pct_coverage_nm
Rq_nm,old_density_amplitude_risk,-0.1456736253497965,0.45951371875971986,1.0871380659108127,1.0111946615019958
Rq_nm,tta_variance_only,0.013136288998357963,0.9471037547724636,1.3406692412243701,1.8923596847745894
Rq_nm,m15a_tta_centrality_only,0.14479668635677376,0.46224972404564524,1.317557773520149,1.1957716181434652
Rq_nm,rotation_period_only,-0.07260278332313312,0.7135090404701461,1.2002970048702817,1.7279497622980584
Rq_nm,m15b_angular_coverage_x_tta,-0.03886152162014231,0.8443485073804999,1.1373473934874834,1.0337890611779248
Rq_nm,m15b_final_with_conflict_veto,-0.29720853858784896,0.12455730163013452,1.023470408591509,0.9270311315481189
FSMI_nm,old_density_amplitude_risk,-0.08817087850119262,0.6554847124012974,0.9733841519267414,0.9728672159943342
FSMI_nm,tta_variance_only,0.02079912424740011,0.9163346143465214,1.17197413150142,1.7014360696791597
FSMI_nm,m15a_tta_centrality_only,0.21446186369012932,0.27312277789021744,1.325210831232371,1.298067800946102
FSMI_nm,rotation_period_only,-0.07068497395233336,0.7207740632970232,1.0647492787847441,1.5332362179388537
FSMI_nm,m15b_angular_coverage_x_tta,0.04297837554957947,0.8280901567377776,1.0807578615484748,1.413313931678888
FSMI_nm,m15b_final_with_conflict_veto,-0.24989736103734234,0.19966465247388795,0.9021474752734354,0.75181482577118
