target,growth_run_id,method,true_target,raw_predicted_target,predicted_target,range_calibration_log_scale,absolute_error,predicted_absolute_error,confidence,interval_lower,interval_upper,interval_radius,interval_covered,outer_target_used_for_training,outer_fit_growth_count,inner_selection_score,selected_by_inner_cv,uncertainty_risk_score,nearest_training_rheed_distance,knn_training_rheed_distance,maximum_absolute_robust_z,ledoit_wolf_mahalanobis,density_ood_z,support_confidence,core_head_disagreement_log_std,core_head_log_range,r3d_knn_training_distance,r3d_density_ood_z,r3d_support_confidence,training_target_q25_nm,training_target_median_nm,training_target_q75_nm,training_target_iqr_nm
Rq_nm,6022,M12a_frozen_alpha1,1.649340271949768,4.672119815197897,3.27320339295043,0.8333333333333334,1.623863121000662,8.929820461742947,0.006843605884886805,0.0,22.469888091861385,19.196684698910957,True,False,27,24840.988475291342,False,4.507346835104289,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6022,M14a_regularized_alpha10,1.649340271949768,2.3661311324424794,2.2046397663793353,1.2,0.5552994944295673,10.021913158670772,0.009986074169776333,0.0,18.568809716507218,16.36416995012788,True,False,27,3.068121236779495,False,4.026821279854452,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6022,M14b_rheed_density_weighted,1.649340271949768,2.2873505889642507,2.1752156015062605,1.2,0.5258753295564924,9.057228197571135,0.011338663511538425,0.0,17.751526403850253,15.576310802343993,True,False,27,2.364794751671919,False,4.026821279854452,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6022,M14c_residual_self_paced,1.649340271949768,2.2352175013027353,2.0176240200754205,1.1882799170457712,0.36828374812565245,8.882363650244042,0.006601412008728819,0.0,20.038704466015464,18.021080445940044,True,False,27,4.306041581614405,False,4.026821279854452,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6022,M14d_r3d_causal_temporal,1.649340271949768,1.61556453714584,1.6016231824879592,1.2,0.04771708946180886,5.530058742832461,0.010522413152449209,0.0,14.163288288693286,12.561665106205327,True,False,27,1.868244813117836,True,4.026821279854452,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6022,M14e_multiview_curated20_r3d80,1.649340271949768,1.74368170616866,1.7073234461835116,1.2,0.05798317423374355,6.504407606732947,0.006601412008728819,0.0,14.272274166969858,12.564950720786346,True,False,27,1.8763384516202999,False,4.026821279854452,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6022,M14f_multiview_curated40_r3d60,1.649340271949768,1.8819587967675133,1.819999474133397,1.2,0.17065920218362884,7.266437497322211,0.006601412008728819,0.0,14.388234334152243,12.568234860018846,True,False,27,2.0376995932257,False,4.026821279854452,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6022,M14g_multiview_curated60_r3d40,1.649340271949768,2.0312015089685427,1.9401116368724705,1.2,0.2907713649227024,8.023084745013369,0.006601412008728819,0.0,15.560912019242236,13.620800382369765,True,False,27,2.242429158925459,False,4.026821279854452,5.780009924854872,12.907457287208599,64.6382978723438,11.84506158766683,62.55738314551932,6.7869351206103205e-28,0.13731891055212384,0.38157173350947216,9.752736927543419,4.026821279854452,0.017830919467821518,1.4865635931491852,2.2395859956741333,3.637578010559082,2.151014417409897
Rq_nm,6028,M12a_frozen_alpha1,5.214306831359862,2.2261804826647387,2.2354446268157027,0.9669982154877724,2.9788622045441597,1.9760499209437397,0.9444075346273395,0.0,5.359630721155119,3.1241860943394157,True,False,27,3.000857807582392,False,0.10682112262970626,0.8857655864102246,0.9364500645307009,2.2430765048026937,1.1908366327299393,0.27921749883215896,0.7563753745626599,0.08374524854778154,0.24463164454399833,3.396146715424629,-0.6990017281789126,1.0,1.4865635931491852,2.0502288341522217,3.2204509377479553,1.7338873445987701
Rq_nm,6028,M14a_regularized_alpha10,5.214306831359862,2.1306685125619302,2.088332683853654,1.2,3.1259741475062084,1.1258670954951795,0.9849616125667522,0.0,4.63474935860846,2.546416674754805,False,False,27,1.9435421899387775,False,0.021975966212643267,0.8857655864102246,0.9364500645307009,2.2430765048026937,1.1908366327299393,0.27921749883215896,0.7563753745626599,0.08374524854778154,0.24463164454399833,3.396146715424629,-0.6990017281789126,1.0,1.4865635931491852,2.0502288341522217,3.2204509377479553,1.7338873445987701
